;ENSCAFT00000020369_90_90;ENST00000281171_90_90;ENST00000348962_90_90;ENST00000442921_90_90;ENST00000445537_90_90;ENST00000535311_90_90;ENST00000535322_90_90;ENST00000542557_90_90;ENST00000543886_90_90;ENST00000544244_90_90;ENSMUST00000077115_90_90;ENSMUST00000167002_90_90;ENSMUST00000167679_90_90;ENSMUST00000203914_90_90
ENSCAFT00000020369_90_90;;0.937;0.894;0.433;0.433;0.103;0.079;0.389;0.368;0.389;0.885;0.433;0.845;0.389
ENST00000281171_90_90;0.937;;;;;;;;;;0.937;0.433;0.896;0.389
ENST00000348962_90_90;0.894;;;;;;;;;;0.896;0.389;0.933;0.408
ENST00000442921_90_90;0.433;;;;;;;;;;0.4;1.0;0.36;0.903
ENST00000445537_90_90;0.433;;;;;;;;;;0.4;1.0;0.36;0.903
ENST00000535311_90_90;0.103;;;;;;;;;;0.095;0.069;0.099;0.076
ENST00000535322_90_90;0.079;;;;;;;;;;0.075;0.198;0.078;0.216
ENST00000542557_90_90;0.389;;;;;;;;;;0.36;0.903;0.377;1.0
ENST00000543886_90_90;0.368;;;;;;;;;;0.352;0.042;0.364;0.046
ENST00000544244_90_90;0.389;;;;;;;;;;0.36;0.903;0.377;1.0
ENSMUST00000077115_90_90;0.885;0.937;0.896;0.4;0.4;0.095;0.075;0.36;0.352;0.36;;;;
ENSMUST00000167002_90_90;0.433;0.433;0.389;1.0;1.0;0.069;0.198;0.903;0.042;0.903;;;;
ENSMUST00000167679_90_90;0.845;0.896;0.933;0.36;0.36;0.099;0.078;0.377;0.364;0.377;;;;
ENSMUST00000203914_90_90;0.389;0.389;0.408;0.903;0.903;0.076;0.216;1.0;0.046;1.0;;;;
