;ENSCAFT00000031307_90_90;ENST00000293872_90_90;ENST00000337351_90_90;ENST00000397780_90_90;ENST00000397783_90_90;ENST00000418978_90_90;ENST00000419516_90_90;ENST00000426094_90_90;ENST00000428363_90_90;ENST00000429378_90_90;ENST00000430864_90_90;ENST00000442701_90_90;ENST00000443357_90_90;ENST00000629543_90_90;ENSMUST00000025023_90_90;ENSMUST00000114976_90_90;ENSMUST00000119928_90_90;ENSMUST00000140427_90_90;ENSMUST00000148894_90_90;ENSMUST00000152107_90_90;ENSMUST00000154235_90_90;ENSMUST00000155151_90_90
ENSCAFT00000031307_90_90;1.0;0.75;0.789;0.706;0.789;0.095;0.095;0.095;0.118;0.333;0.412;0.176;0.176;0.095;0.789;0.75;0.789;0.294;0.182;0.333;0.091;0.235
ENST00000293872_90_90;0.75;1.0;0.842;0.579;0.842;0.2;0.2;0.043;0.111;0.389;0.389;0.105;0.167;0.2;0.75;0.8;0.75;0.278;0.227;0.316;0.042;0.222
ENST00000337351_90_90;0.789;0.842;1.0;0.706;1.0;0.211;0.211;0.045;0.118;0.263;0.412;0.176;0.176;0.211;0.889;0.75;0.889;0.294;0.238;0.263;0.043;0.235
ENST00000397780_90_90;0.706;0.579;0.706;1.0;0.706;0.0;0.0;0.0;0.167;0.357;0.583;0.25;0.25;0.0;0.706;0.579;0.706;0.417;0.05;0.357;0.0;0.333
ENST00000397783_90_90;0.789;0.842;1.0;0.706;1.0;0.211;0.211;0.045;0.118;0.263;0.412;0.176;0.176;0.211;0.889;0.75;0.889;0.294;0.238;0.263;0.043;0.235
ENST00000418978_90_90;0.095;0.2;0.211;0.0;0.211;1.0;1.0;0.091;0.0;0.0;0.0;0.0;0.0;1.0;0.15;0.143;0.15;0.0;0.5;0.0;0.083;0.0
ENST00000419516_90_90;0.095;0.2;0.211;0.0;0.211;1.0;1.0;0.091;0.0;0.0;0.0;0.0;0.0;1.0;0.15;0.143;0.15;0.0;0.5;0.0;0.083;0.0
ENST00000426094_90_90;0.095;0.043;0.045;0.0;0.045;0.091;0.091;1.0;0.0;0.0;0.0;0.0;0.0;0.091;0.045;0.043;0.045;0.0;0.071;0.0;0.625;0.0
ENST00000428363_90_90;0.118;0.111;0.118;0.167;0.118;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.118;0.111;0.118;0.0;0.1;0.0;0.0;0.5
ENST00000429378_90_90;0.333;0.389;0.263;0.357;0.263;0.0;0.0;0.0;0.0;1.0;0.4;0.25;0.111;0.0;0.263;0.316;0.263;0.2;0.0;0.75;0.0;0.0
ENST00000430864_90_90;0.412;0.389;0.412;0.583;0.412;0.0;0.0;0.0;0.0;0.4;1.0;0.111;0.429;0.0;0.412;0.389;0.412;0.714;0.0;0.4;0.0;0.1
ENST00000442701_90_90;0.176;0.105;0.176;0.25;0.176;0.0;0.0;0.0;0.0;0.25;0.111;1.0;0.0;0.0;0.176;0.105;0.176;0.0;0.0;0.25;0.0;0.0
ENST00000443357_90_90;0.176;0.167;0.176;0.25;0.176;0.0;0.0;0.0;0.0;0.111;0.429;0.0;1.0;0.0;0.176;0.167;0.176;0.6;0.0;0.111;0.0;0.167
ENST00000629543_90_90;0.095;0.2;0.211;0.0;0.211;1.0;1.0;0.091;0.0;0.0;0.0;0.0;0.0;1.0;0.15;0.143;0.15;0.0;0.5;0.0;0.083;0.0
ENSMUST00000025023_90_90;0.789;0.75;0.889;0.706;0.889;0.15;0.15;0.045;0.118;0.263;0.412;0.176;0.176;0.15;1.0;0.842;1.0;0.294;0.3;0.263;0.043;0.235
ENSMUST00000114976_90_90;0.75;0.8;0.75;0.579;0.75;0.143;0.143;0.043;0.111;0.316;0.389;0.105;0.167;0.143;0.842;1.0;0.842;0.278;0.286;0.389;0.042;0.222
ENSMUST00000119928_90_90;0.789;0.75;0.889;0.706;0.889;0.15;0.15;0.045;0.118;0.263;0.412;0.176;0.176;0.15;1.0;0.842;1.0;0.294;0.3;0.263;0.043;0.235
ENSMUST00000140427_90_90;0.294;0.278;0.294;0.417;0.294;0.0;0.0;0.0;0.0;0.2;0.714;0.0;0.6;0.0;0.294;0.278;0.294;1.0;0.0;0.2;0.0;0.125
ENSMUST00000148894_90_90;0.182;0.227;0.238;0.05;0.238;0.5;0.5;0.071;0.1;0.0;0.0;0.0;0.0;0.5;0.3;0.286;0.3;0.0;1.0;0.0;0.067;0.083
ENSMUST00000152107_90_90;0.333;0.316;0.263;0.357;0.263;0.0;0.0;0.0;0.0;0.75;0.4;0.25;0.111;0.0;0.263;0.389;0.263;0.2;0.0;1.0;0.0;0.0
ENSMUST00000154235_90_90;0.091;0.042;0.043;0.0;0.043;0.083;0.083;0.625;0.0;0.0;0.0;0.0;0.0;0.083;0.043;0.042;0.043;0.0;0.067;0.0;1.0;0.0
ENSMUST00000155151_90_90;0.235;0.222;0.235;0.333;0.235;0.0;0.0;0.0;0.5;0.0;0.1;0.0;0.167;0.0;0.235;0.222;0.235;0.125;0.083;0.0;0.0;1.0
