;ENSCAFT00000009605_90_90;ENST00000301244_90_90;ENST00000454580_90_90;ENST00000587090_90_90;ENST00000587334_90_90;ENST00000587516_90_90;ENST00000590510_90_90;ENST00000590738_90_90;ENST00000592007_90_90;ENSMUST00000098604_90_90;ENSMUST00000108236_90_90;ENSMUST00000207601_90_90
ENSCAFT00000009605_90_90;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.5;0.5
ENST00000301244_90_90;1.0;1.0;0.87;0.783;0.4;0.783;0.087;0.467;0.13;0.632;0.526;0.5
ENST00000454580_90_90;1.0;0.87;1.0;0.81;0.455;0.652;0.048;0.519;0.095;0.526;0.588;0.583
ENST00000587090_90_90;0.0;0.783;0.81;1.0;0.5;0.565;0.111;0.56;0.167;0.421;0.389;0.308
ENST00000587334_90_90;0.0;0.4;0.455;0.5;1.0;0.304;0.0;0.375;0.0;0.353;0.4;0.0
ENST00000587516_90_90;1.0;0.783;0.652;0.565;0.304;1.0;0.053;0.444;0.05;0.421;0.316;0.417
ENST00000590510_90_90;0.0;0.087;0.048;0.111;0.0;0.053;1.0;0.0;0.667;0.118;0.062;0.125
ENST00000590738_90_90;0.0;0.467;0.519;0.56;0.375;0.444;0.0;1.0;0.0;0.421;0.471;0.133
ENST00000592007_90_90;0.0;0.13;0.095;0.167;0.0;0.05;0.667;0.0;1.0;0.176;0.125;0.25
ENSMUST00000098604_90_90;1.0;0.632;0.526;0.421;0.353;0.421;0.118;0.421;0.176;1.0;0.762;0.217
ENSMUST00000108236_90_90;0.5;0.526;0.588;0.389;0.4;0.316;0.062;0.471;0.125;0.762;1.0;0.278
ENSMUST00000207601_90_90;0.5;0.5;0.583;0.308;0.0;0.417;0.125;0.133;0.25;0.217;0.278;1.0
