;ENSCAFT00000014740_90_90;ENST00000262493_90_90;ENST00000262494_90_90;ENST00000562316_90_90;ENST00000563661_90_90;ENST00000564727_90_90;ENST00000568375_90_90;ENST00000569295_90_90;ENST00000570235_90_90;ENST00000638705_90_90;ENST00000639268_90_90;ENST00000639341_90_90;ENST00000639770_90_90;ENST00000640469_90_90;ENST00000640893_90_90;ENSMUST00000034198_90_90;ENSMUST00000125716_90_90;ENSMUST00000127900_90_90;ENSMUST00000137202_90_90;ENSMUST00000138659_90_90;ENSMUST00000142466_90_90;ENSMUST00000149530_90_90
ENSCAFT00000014740_90_90;1.0;0.605;0.286;0.145;0.294;0.26;0.085;0.152;0.152;0.605;0.063;0.32;0.121;0.32;0.286;1.0;1.0;0.283;0.508;0.681;0.285;0.17
ENST00000262493_90_90;0.605;1.0;0.516;0.493;0.283;0.279;0.193;0.151;0.14;1.0;0.213;0.553;0.115;0.401;0.412;0.445;0.445;0.12;0.104;0.17;0.257;0.141
ENST00000262494_90_90;0.286;0.516;1.0;0.31;0.283;0.02;0.1;0.151;0.14;0.516;0.213;0.177;0.115;0.062;0.412;0.173;0.173;0.123;0.106;0.173;0.0;0.0
ENST00000562316_90_90;0.145;0.493;0.31;1.0;0.0;0.29;0.17;0.0;0.0;0.493;0.189;0.522;0.0;0.313;0.152;0.106;0.106;0.0;0.0;0.0;0.256;0.34
ENST00000563661_90_90;0.294;0.283;0.283;0.0;1.0;0.0;0.0;0.514;0.4;0.283;0.142;0.0;0.349;0.0;0.678;0.294;0.294;0.327;0.225;0.295;0.0;0.0
ENST00000564727_90_90;0.26;0.279;0.02;0.29;0.0;1.0;0.282;0.0;0.0;0.279;0.0;0.496;0.0;0.673;0.0;0.249;0.249;0.0;0.0;0.0;0.857;0.485
ENST00000568375_90_90;0.085;0.193;0.1;0.17;0.0;0.282;1.0;0.0;0.0;0.193;0.0;0.349;0.0;0.39;0.0;0.077;0.077;0.0;0.0;0.0;0.208;0.0
ENST00000569295_90_90;0.152;0.151;0.151;0.0;0.514;0.0;0.0;1.0;0.636;0.151;0.0;0.0;0.59;0.0;0.367;0.152;0.152;0.0;0.007;0.152;0.0;0.0
ENST00000570235_90_90;0.152;0.14;0.14;0.0;0.4;0.0;0.0;0.636;1.0;0.14;0.0;0.0;0.417;0.0;0.304;0.152;0.152;0.0;0.007;0.152;0.0;0.0
ENST00000638705_90_90;0.605;1.0;0.516;0.493;0.283;0.279;0.193;0.151;0.14;1.0;0.213;0.553;0.115;0.401;0.412;0.445;0.445;0.12;0.104;0.17;0.257;0.141
ENST00000639268_90_90;0.063;0.213;0.213;0.189;0.142;0.0;0.0;0.0;0.0;0.213;1.0;0.0;0.0;0.0;0.112;0.056;0.056;0.153;0.099;0.056;0.0;0.0
ENST00000639341_90_90;0.32;0.553;0.177;0.522;0.0;0.496;0.349;0.0;0.0;0.553;0.0;1.0;0.0;0.726;0.138;0.262;0.262;0.0;0.0;0.0;0.444;0.241
ENST00000639770_90_90;0.121;0.115;0.115;0.0;0.349;0.0;0.0;0.59;0.417;0.115;0.0;0.0;1.0;0.0;0.26;0.121;0.121;0.0;0.008;0.121;0.0;0.0
ENST00000640469_90_90;0.32;0.401;0.062;0.313;0.0;0.673;0.39;0.0;0.0;0.401;0.0;0.726;0.0;1.0;0.0;0.298;0.298;0.0;0.0;0.0;0.591;0.318
ENST00000640893_90_90;0.286;0.412;0.412;0.152;0.678;0.0;0.0;0.367;0.304;0.412;0.112;0.138;0.26;0.0;1.0;0.255;0.255;0.24;0.179;0.255;0.0;0.0
ENSMUST00000034198_90_90;1.0;0.445;0.173;0.106;0.294;0.249;0.077;0.152;0.152;0.445;0.056;0.262;0.121;0.298;0.255;1.0;1.0;0.283;0.508;0.516;0.279;0.164
ENSMUST00000125716_90_90;1.0;0.445;0.173;0.106;0.294;0.249;0.077;0.152;0.152;0.445;0.056;0.262;0.121;0.298;0.255;1.0;1.0;0.283;0.508;0.516;0.279;0.164
ENSMUST00000127900_90_90;0.283;0.12;0.123;0.0;0.327;0.0;0.0;0.0;0.0;0.12;0.153;0.0;0.0;0.0;0.24;0.283;0.283;1.0;0.558;0.283;0.0;0.0
ENSMUST00000137202_90_90;0.508;0.104;0.106;0.0;0.225;0.0;0.0;0.007;0.007;0.104;0.099;0.0;0.008;0.0;0.179;0.508;0.508;0.558;1.0;0.508;0.0;0.0
ENSMUST00000138659_90_90;0.681;0.17;0.173;0.0;0.295;0.0;0.0;0.152;0.152;0.17;0.056;0.0;0.121;0.0;0.255;0.516;0.516;0.283;0.508;1.0;0.02;0.021
ENSMUST00000142466_90_90;0.285;0.257;0.0;0.256;0.0;0.857;0.208;0.0;0.0;0.257;0.0;0.444;0.0;0.591;0.0;0.279;0.279;0.0;0.0;0.02;1.0;0.596
ENSMUST00000149530_90_90;0.17;0.141;0.0;0.34;0.0;0.485;0.0;0.0;0.0;0.141;0.0;0.241;0.0;0.318;0.0;0.164;0.164;0.0;0.0;0.021;0.596;1.0
