;ENSCAFT00000048678_90_90;ENST00000222597_90_90;ENST00000415884_90_90;ENST00000420796_90_90;ENST00000432748_90_90;ENST00000440859_90_90;ENSMUST00000064240_90_90;ENSMUST00000085487_90_90;ENSMUST00000101499_90_90;ENSMUST00000185739_90_90;ENSMUST00000188326_90_90
ENSCAFT00000048678_90_90;1.0;0.997;0.25;0.656;0.12;0.999;0.994;0.847;1.0;0.998;0.676
ENST00000222597_90_90;0.997;1.0;0.248;0.655;0.121;0.998;0.992;0.844;0.997;0.999;0.678
ENST00000415884_90_90;0.25;0.248;1.0;0.196;0.465;0.251;0.244;0.295;0.25;0.248;0.354
ENST00000420796_90_90;0.656;0.655;0.196;1.0;0.027;0.657;0.651;0.541;0.656;0.654;0.513
ENST00000432748_90_90;0.12;0.121;0.465;0.027;1.0;0.121;0.115;0.142;0.12;0.121;0.168
ENST00000440859_90_90;0.999;0.998;0.251;0.657;0.121;1.0;0.994;0.846;0.999;0.997;0.676
ENSMUST00000064240_90_90;0.994;0.992;0.244;0.651;0.115;0.994;1.0;0.841;0.994;0.992;0.68
ENSMUST00000085487_90_90;0.847;0.844;0.295;0.541;0.142;0.846;0.841;1.0;0.847;0.845;0.798
ENSMUST00000101499_90_90;1.0;0.997;0.25;0.656;0.12;0.999;0.994;0.847;1.0;0.998;0.676
ENSMUST00000185739_90_90;0.998;0.999;0.248;0.654;0.121;0.997;0.992;0.845;0.998;1.0;0.678
ENSMUST00000188326_90_90;0.676;0.678;0.354;0.513;0.168;0.676;0.68;0.798;0.676;0.678;1.0
