;transcript38_ENSRNOG00000031503;transcript38_ENSCGRG00015005362;transcript38_ENSCGRG00000018457;transcript38_ENSSTOG00000019743;transcript37_ENSMUGG00000013649;transcript37_ENSMUGG00000013592;transcript37_ENSCGRG00001010245;transcript37_ENSPEMG00000024651;transcript37_ENSSTOG00000019743;transcript57_ENSMUGG00000013649;transcript57_ENSPEMG00000024651;transcript58_ENSMUGG00000013649;transcript58_ENSPEMG00000024651;transcript59_ENSMUGG00000013649;transcript59_ENSPEMG00000024651;transcript51_ENSMUGG00000013592;transcript8_ENSCGRG00000018457;transcript8_ENSCGRG00015005362;transcript8_ENSPEMG00000024651;transcript8_ENSNGAG00000018584;transcript8_ENSSTOG00000019743;transcript9_ENSCGRG00015005362;transcript9_ENSPEMG00000024651;transcript54_ENSCGRG00015005362;transcript52_ENSCGRG00000018457;transcript52_ENSCGRG00001010245;transcript56_ENSCGRG00000018457;transcript56_ENSPEMG00000024651;transcript65_ENSCGRG00000018457;transcript33_ENSPEMG00000024651;transcript33_ENSNGAG00000018584;transcript39_ENSPEMG00000024651;transcript39_ENSSTOG00000019743;transcript26_ENSSTOG00000019743;transcript29_ENSSTOG00000019743;transcript40_ENSSTOG00000019743
transcript38_ENSRNOG00000031503;1.0;1.0;1.0;1.0;0.988;0.998;0.972;0.93;0.975;0.875;0.747;0.963;0.855;0.946;0.861;0.974;0.73;0.726;0.727;0.745;0.767;1.0;0.948;0.983;0.898;0.898;0.934;0.858;0.898;0.948;1.0;0.873;0.901;0.987;0.987;0.987
transcript38_ENSCGRG00015005362;1.0;1.0;1.0;1.0;0.943;0.953;0.933;0.901;0.935;0.819;0.712;0.905;0.82;0.888;0.825;0.917;0.729;0.725;0.714;0.734;0.754;0.956;0.915;0.934;0.869;0.869;0.936;0.847;0.879;0.915;0.953;0.844;0.863;0.938;0.938;0.938
transcript38_ENSCGRG00000018457;1.0;1.0;1.0;1.0;0.949;0.959;0.939;0.907;0.94;0.824;0.717;0.912;0.826;0.893;0.831;0.923;0.729;0.725;0.714;0.734;0.754;0.956;0.915;0.941;0.869;0.869;0.936;0.847;0.879;0.915;0.953;0.851;0.869;0.944;0.944;0.944
transcript38_ENSSTOG00000019743;1.0;1.0;1.0;1.0;0.943;0.953;0.933;0.901;0.935;0.819;0.712;0.905;0.82;0.888;0.824;0.917;0.729;0.725;0.714;0.734;0.754;0.956;0.915;0.934;0.869;0.869;0.936;0.847;0.879;0.915;0.953;0.842;0.861;0.934;0.934;0.934
transcript37_ENSMUGG00000013649;0.988;0.943;0.949;0.943;1.0;1.0;0.983;0.94;0.996;0.849;0.796;0.911;0.908;0.894;0.911;0.956;0.664;0.657;0.652;0.667;0.686;0.973;0.911;0.978;0.883;0.877;0.896;0.818;0.87;0.911;0.98;0.93;0.979;0.978;0.978;0.978
transcript37_ENSMUGG00000013592;0.998;0.953;0.959;0.953;1.0;1.0;0.989;0.946;0.999;0.859;0.809;0.947;0.924;0.925;0.922;0.956;0.669;0.662;0.657;0.674;0.691;0.984;0.921;0.991;0.893;0.887;0.898;0.82;0.88;0.921;0.991;0.941;0.991;0.991;0.991;0.991
transcript37_ENSCGRG00001010245;0.972;0.933;0.939;0.933;0.983;0.989;1.0;0.955;0.984;0.85;0.751;0.938;0.86;0.919;0.861;0.953;0.681;0.676;0.672;0.683;0.703;0.959;0.906;0.98;0.877;0.871;0.895;0.822;0.865;0.906;0.967;0.88;0.903;0.976;0.976;0.976
transcript37_ENSPEMG00000024651;0.93;0.901;0.907;0.901;0.94;0.946;0.955;1.0;0.942;0.802;0.755;0.888;0.851;0.872;0.862;0.909;0.681;0.675;0.671;0.688;0.7;0.918;0.875;0.935;0.85;0.844;0.869;0.811;0.84;0.875;0.927;0.889;0.873;0.929;0.929;0.929
transcript37_ENSSTOG00000019743;0.975;0.935;0.94;0.935;0.996;0.999;0.984;0.942;1.0;0.852;0.743;0.939;0.852;0.92;0.854;0.96;0.683;0.675;0.668;0.684;0.703;0.962;0.906;0.98;0.88;0.875;0.892;0.82;0.869;0.906;0.973;0.87;0.905;0.975;0.975;0.975
transcript57_ENSMUGG00000013649;0.875;0.819;0.824;0.819;0.849;0.859;0.85;0.802;0.852;1.0;0.784;0.885;0.823;0.91;0.823;0.899;0.607;0.602;0.589;0.594;0.628;0.867;0.805;0.872;0.776;0.772;0.757;0.691;0.763;0.805;0.862;0.808;0.853;0.872;0.872;0.872
transcript57_ENSPEMG00000024651;0.747;0.712;0.717;0.712;0.796;0.809;0.751;0.755;0.743;0.784;1.0;0.82;0.86;0.804;0.842;0.82;0.518;0.511;0.501;0.524;0.521;0.746;0.712;0.764;0.697;0.692;0.663;0.627;0.687;0.712;0.763;0.837;0.792;0.759;0.759;0.759
transcript58_ENSMUGG00000013649;0.963;0.905;0.912;0.905;0.911;0.947;0.938;0.888;0.939;0.885;0.82;1.0;0.918;0.93;0.903;0.988;0.647;0.639;0.626;0.647;0.665;0.952;0.887;0.96;0.863;0.858;0.844;0.774;0.85;0.887;0.951;0.892;0.941;0.96;0.96;0.96
transcript58_ENSPEMG00000024651;0.855;0.82;0.826;0.82;0.908;0.924;0.86;0.851;0.852;0.823;0.86;0.918;1.0;0.891;0.945;0.909;0.613;0.607;0.601;0.631;0.632;0.854;0.806;0.873;0.791;0.786;0.773;0.724;0.781;0.806;0.866;0.939;0.908;0.867;0.867;0.867
transcript59_ENSMUGG00000013649;0.946;0.888;0.893;0.888;0.894;0.925;0.919;0.872;0.92;0.91;0.804;0.93;0.891;1.0;0.892;0.964;0.648;0.641;0.632;0.645;0.668;0.935;0.874;0.941;0.845;0.841;0.826;0.76;0.832;0.874;0.936;0.877;0.921;0.941;0.941;0.941
transcript59_ENSPEMG00000024651;0.861;0.825;0.831;0.824;0.911;0.922;0.861;0.862;0.854;0.823;0.842;0.903;0.945;0.892;1.0;0.899;0.619;0.61;0.617;0.637;0.638;0.859;0.821;0.873;0.794;0.788;0.778;0.738;0.784;0.821;0.869;0.965;0.92;0.874;0.874;0.874
transcript51_ENSMUGG00000013592;0.974;0.917;0.923;0.917;0.956;0.956;0.953;0.909;0.96;0.899;0.82;0.988;0.909;0.964;0.899;1.0;0.635;0.628;0.622;0.639;0.658;0.964;0.898;0.97;0.873;0.867;0.862;0.791;0.859;0.898;0.968;0.904;0.952;0.97;0.97;0.97
transcript8_ENSCGRG00000018457;0.73;0.729;0.729;0.729;0.664;0.669;0.681;0.681;0.683;0.607;0.518;0.647;0.613;0.648;0.619;0.635;1.0;0.995;0.778;0.809;0.812;0.697;0.686;0.686;0.764;0.764;0.716;0.692;0.774;0.686;0.694;0.623;0.613;0.689;0.689;0.689
transcript8_ENSCGRG00015005362;0.726;0.725;0.725;0.725;0.657;0.662;0.676;0.675;0.675;0.602;0.511;0.639;0.607;0.641;0.61;0.628;0.995;1.0;0.773;0.803;0.808;0.693;0.682;0.679;0.76;0.76;0.712;0.688;0.77;0.682;0.689;0.615;0.605;0.681;0.681;0.681
transcript8_ENSPEMG00000024651;0.727;0.714;0.714;0.714;0.652;0.657;0.672;0.671;0.668;0.589;0.501;0.626;0.601;0.632;0.617;0.622;0.778;0.773;1.0;0.931;0.933;0.685;0.727;0.671;0.616;0.616;0.702;0.736;0.623;0.727;0.668;0.624;0.612;0.673;0.673;0.673
transcript8_ENSNGAG00000018584;0.745;0.734;0.734;0.734;0.667;0.674;0.683;0.688;0.684;0.594;0.524;0.647;0.631;0.645;0.637;0.639;0.809;0.803;0.931;1.0;0.996;0.7;0.686;0.688;0.629;0.629;0.719;0.697;0.635;0.686;0.701;0.637;0.622;0.692;0.692;0.692
transcript8_ENSSTOG00000019743;0.767;0.754;0.754;0.754;0.686;0.691;0.703;0.7;0.703;0.628;0.521;0.665;0.632;0.668;0.638;0.658;0.812;0.808;0.933;0.996;1.0;0.721;0.701;0.704;0.641;0.641;0.741;0.705;0.649;0.701;0.703;0.64;0.631;0.705;0.705;0.705
transcript9_ENSCGRG00015005362;1.0;0.956;0.956;0.956;0.973;0.984;0.959;0.918;0.962;0.867;0.746;0.952;0.854;0.935;0.859;0.964;0.697;0.693;0.685;0.7;0.721;1.0;0.942;0.978;0.912;0.912;0.895;0.836;0.901;0.942;1.0;0.862;0.891;0.981;0.981;0.981
transcript9_ENSPEMG00000024651;0.948;0.915;0.915;0.915;0.911;0.921;0.906;0.875;0.906;0.805;0.712;0.887;0.806;0.874;0.821;0.898;0.686;0.682;0.727;0.686;0.701;0.942;1.0;0.922;0.868;0.868;0.855;0.888;0.861;1.0;0.939;0.827;0.851;0.923;0.923;0.923
transcript54_ENSCGRG00015005362;0.983;0.934;0.941;0.934;0.978;0.991;0.98;0.935;0.98;0.872;0.764;0.96;0.873;0.941;0.873;0.97;0.686;0.679;0.671;0.688;0.704;0.978;0.922;1.0;0.897;0.892;0.879;0.817;0.885;0.922;0.988;0.876;0.907;0.996;0.996;0.996
