;ENSCAFT00000011926_90_90;ENST00000419482_90_90;ENST00000438570_90_90;ENST00000444564_90_90;ENSMUST00000074301_90_90;ENSMUST00000114186_90_90;ENSMUST00000114188_90_90;ENSMUST00000129630_90_90;ENSMUST00000173297_90_90;ENSMUST00000173730_90_90
ENSCAFT00000011926_90_90;1.0;0.889;0.218;0.854;0.183;0.189;0.137;0.182;0.092;0.029
ENST00000419482_90_90;0.889;1.0;0.218;0.962;0.183;0.189;0.137;0.182;0.092;0.0
ENST00000438570_90_90;0.218;0.218;1.0;0.227;0.0;0.0;0.058;0.0;0.315;0.0
ENST00000444564_90_90;0.854;0.962;0.227;1.0;0.189;0.194;0.141;0.19;0.097;0.0
ENSMUST00000074301_90_90;0.183;0.183;0.0;0.189;1.0;0.962;0.748;0.188;0.0;0.134
ENSMUST00000114186_90_90;0.189;0.189;0.0;0.194;0.962;1.0;0.712;0.196;0.0;0.14
ENSMUST00000114188_90_90;0.137;0.137;0.058;0.141;0.748;0.712;1.0;0.0;0.096;0.151
ENSMUST00000129630_90_90;0.182;0.182;0.0;0.19;0.188;0.196;0.0;1.0;0.0;0.0
ENSMUST00000173297_90_90;0.092;0.092;0.315;0.097;0.0;0.0;0.096;0.0;1.0;0.0
ENSMUST00000173730_90_90;0.029;0.0;0.0;0.0;0.134;0.14;0.151;0.0;0.0;1.0
