;transcript24_ENSPEMG00000024651;transcript15_ENSPEMG00000024651;transcript22_ENSPEMG00000024651;transcript31_ENSPEMG00000024651;transcript29_ENSCGRG00001010245;transcript43_ENSCGRG00000018457;transcript37_ENSCGRG00001010245;transcript38_ENSCGRG00001010245;transcript7_ENSCGRG00001010245;transcript32_ENSCGRG00015005362;transcript22_ENSCGRG00000018457;transcript26_ENSCGRG00000018457;transcript26_ENSCGRG00001010245;transcript33_ENSCGRG00015005362;transcript42_ENSCGRG00000018457;transcript14_ENSSTOG00000019743;transcript12_ENSSTOG00000019743;transcript5_ENSSTOG00000019743;transcript13_ENSSTOG00000019743;transcript8_MGP-PahariEiJ-G0020237;transcript8_ENSRNOG00000031503;transcript20_ENSNGAG00000018584;transcript17_ENSNGAG00000018584;transcript37_MGP-PahariEiJ-G0020237;transcript36_MGP-PahariEiJ-G0020237;transcript38_MGP-PahariEiJ-G0020237;transcript5_ENSNGAG00000018584
transcript24_ENSPEMG00000024651;1.0;1.0;0.963;0.961;0.902;0.883;0.243;0.116;0.817;0.914;0.914;0.914;0.914;0.82;0.899;0.934;0.934;0.934;0.885;0.432;0.942;0.823;0.824;0.432;0.432;0.256;0.849
transcript15_ENSPEMG00000024651;1.0;1.0;0.963;0.961;0.902;0.883;0.243;0.116;0.817;0.914;0.914;0.914;0.914;0.82;0.899;0.934;0.934;0.934;0.885;0.432;0.942;0.823;0.824;0.432;0.432;0.256;0.849
transcript22_ENSPEMG00000024651;0.963;0.963;1.0;0.998;0.898;0.917;0.244;0.116;0.812;0.949;0.949;0.949;0.949;0.853;0.934;0.929;0.929;0.929;0.88;0.416;0.942;0.821;0.819;0.416;0.416;0.244;0.844
transcript31_ENSPEMG00000024651;0.961;0.961;0.998;1.0;0.896;0.915;0.245;0.117;0.811;0.947;0.947;0.947;0.947;0.851;0.932;0.927;0.927;0.927;0.878;0.416;0.942;0.819;0.817;0.416;0.416;0.244;0.842
transcript29_ENSCGRG00001010245;0.902;0.902;0.898;0.896;1.0;0.978;0.255;0.12;0.9;0.943;0.943;0.943;0.943;0.836;0.927;0.965;0.965;0.965;0.907;0.431;1.0;0.829;0.831;0.431;0.431;0.249;0.856
transcript43_ENSCGRG00000018457;0.883;0.883;0.917;0.915;0.978;1.0;0.262;0.123;0.878;0.964;0.964;0.964;0.964;0.854;0.947;0.943;0.943;0.943;0.886;0.431;1.0;0.817;0.816;0.431;0.431;0.249;0.84
transcript37_ENSCGRG00001010245;0.243;0.243;0.244;0.245;0.255;0.262;1.0;0.606;0.291;0.251;0.251;0.251;0.251;0.285;0.256;0.244;0.244;0.244;0.174;0.993;1.0;0.186;0.186;0.993;0.993;0.984;0.218
transcript38_ENSCGRG00001010245;0.116;0.116;0.116;0.117;0.12;0.123;0.606;1.0;0.138;0.117;0.117;0.117;0.117;0.135;0.12;0.114;0.114;0.114;0.039;0.603;0.615;0.069;0.069;0.603;0.603;0.984;0.104
transcript7_ENSCGRG00001010245;0.817;0.817;0.812;0.811;0.9;0.878;0.291;0.138;1.0;0.846;0.846;0.846;0.846;0.936;0.83;0.868;0.868;0.868;0.81;0.431;1.0;0.73;0.732;0.431;0.431;0.249;0.757
transcript32_ENSCGRG00015005362;0.914;0.914;0.949;0.947;0.943;0.964;0.251;0.117;0.846;1.0;1.0;1.0;1.0;0.89;0.983;0.979;0.979;0.979;0.921;0.431;1.0;0.853;0.851;0.431;0.431;0.249;0.876
transcript22_ENSCGRG00000018457;0.914;0.914;0.949;0.947;0.943;0.964;0.251;0.117;0.846;1.0;1.0;1.0;1.0;0.89;0.983;0.979;0.979;0.979;0.921;0.431;1.0;0.853;0.851;0.431;0.431;0.249;0.876
transcript26_ENSCGRG00000018457;0.914;0.914;0.949;0.947;0.943;0.964;0.251;0.117;0.846;1.0;1.0;1.0;1.0;0.89;0.983;0.979;0.979;0.979;0.921;0.431;1.0;0.853;0.851;0.431;0.431;0.249;0.876
transcript26_ENSCGRG00001010245;0.914;0.914;0.949;0.947;0.943;0.964;0.251;0.117;0.846;1.0;1.0;1.0;1.0;0.89;0.983;0.979;0.979;0.979;0.921;0.431;1.0;0.853;0.851;0.431;0.431;0.249;0.876
transcript33_ENSCGRG00015005362;0.82;0.82;0.853;0.851;0.836;0.854;0.285;0.135;0.936;0.89;0.89;0.89;0.89;1.0;0.874;0.871;0.871;0.871;0.814;0.431;1.0;0.744;0.743;0.431;0.431;0.249;0.768
transcript42_ENSCGRG00000018457;0.899;0.899;0.934;0.932;0.927;0.947;0.256;0.12;0.83;0.983;0.983;0.983;0.983;0.874;1.0;0.962;0.962;0.962;0.905;0.431;1.0;0.841;0.84;0.431;0.431;0.249;0.864
transcript14_ENSSTOG00000019743;0.934;0.934;0.929;0.927;0.965;0.943;0.244;0.114;0.868;0.979;0.979;0.979;0.979;0.871;0.962;1.0;1.0;1.0;0.943;0.431;1.0;0.865;0.867;0.431;0.431;0.249;0.891
transcript12_ENSSTOG00000019743;0.934;0.934;0.929;0.927;0.965;0.943;0.244;0.114;0.868;0.979;0.979;0.979;0.979;0.871;0.962;1.0;1.0;1.0;0.943;0.431;1.0;0.865;0.867;0.431;0.431;0.249;0.891
transcript5_ENSSTOG00000019743;0.934;0.934;0.929;0.927;0.965;0.943;0.244;0.114;0.868;0.979;0.979;0.979;0.979;0.871;0.962;1.0;1.0;1.0;0.943;0.431;1.0;0.865;0.867;0.431;0.431;0.249;0.891
transcript13_ENSSTOG00000019743;0.885;0.885;0.88;0.878;0.907;0.886;0.174;0.039;0.81;0.921;0.921;0.921;0.921;0.814;0.905;0.943;0.943;0.943;1.0;0.309;0.714;0.829;0.831;0.309;0.309;0.086;0.853
transcript8_MGP-PahariEiJ-G0020237;0.432;0.432;0.416;0.416;0.431;0.431;0.993;0.603;0.431;0.431;0.431;0.431;0.431;0.431;0.431;0.431;0.431;0.431;0.309;1.0;0.993;0.32;0.32;1.0;1.0;1.0;0.376
transcript8_ENSRNOG00000031503;0.942;0.942;0.942;0.942;1.0;1.0;1.0;0.615;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.714;0.993;1.0;0.69;0.69;0.993;0.993;0.984;0.818
transcript20_ENSNGAG00000018584;0.823;0.823;0.821;0.819;0.829;0.817;0.186;0.069;0.73;0.853;0.853;0.853;0.853;0.744;0.841;0.865;0.865;0.865;0.829;0.32;0.69;1.0;0.998;0.32;0.32;0.148;0.97
transcript17_ENSNGAG00000018584;0.824;0.824;0.819;0.817;0.831;0.816;0.186;0.069;0.732;0.851;0.851;0.851;0.851;0.743;0.84;0.867;0.867;0.867;0.831;0.32;0.69;0.998;1.0;0.32;0.32;0.148;0.972
transcript37_MGP-PahariEiJ-G0020237;0.432;0.432;0.416;0.416;0.431;0.431;0.993;0.603;0.431;0.431;0.431;0.431;0.431;0.431;0.431;0.431;0.431;0.431;0.309;1.0;0.993;0.32;0.32;1.0;1.0;1.0;0.376
transcript36_MGP-PahariEiJ-G0020237;0.432;0.432;0.416;0.416;0.431;0.431;0.993;0.603;0.431;0.431;0.431;0.431;0.431;0.431;0.431;0.431;0.431;0.431;0.309;1.0;0.993;0.32;0.32;1.0;1.0;1.0;0.376
transcript38_MGP-PahariEiJ-G0020237;0.256;0.256;0.244;0.244;0.249;0.249;0.984;0.984;0.249;0.249;0.249;0.249;0.249;0.249;0.249;0.249;0.249;0.249;0.086;1.0;0.984;0.148;0.148;1.0;1.0;1.0;0.222
transcript5_ENSNGAG00000018584;0.849;0.849;0.844;0.842;0.856;0.84;0.218;0.104;0.757;0.876;0.876;0.876;0.876;0.768;0.864;0.891;0.891;0.891;0.853;0.376;0.818;0.97;0.972;0.376;0.376;0.222;1.0
