;ENSCAFT00000009524_90_90;ENSCAFT00000009525_90_90;ENST00000305852_90_90;ENST00000357996_90_90;ENST00000379245_90_90;ENST00000405912_90_90;ENST00000413938_90_90;ENST00000414288_90_90;ENST00000432869_90_90;ENST00000441005_90_90;ENST00000451623_90_90;ENSMUST00000070039_90_90;ENSMUST00000112487_90_90
ENSCAFT00000009524_90_90;1.0;0.9;0.389;0.444;0.889;0.778;0.056;0.278;0.333;0.389;0.611;0.895;1.0
ENSCAFT00000009525_90_90;0.9;1.0;0.438;0.5;0.778;0.875;0.062;0.312;0.294;0.438;0.688;1.0;0.895
ENST00000305852_90_90;0.389;0.438;1.0;0.636;0.45;0.5;0.0;0.6;0.455;0.727;0.222;0.467;0.412
ENST00000357996_90_90;0.444;0.5;0.636;1.0;0.45;0.5;0.111;0.455;0.333;0.462;0.375;0.533;0.471
ENST00000379245_90_90;0.889;0.778;0.45;0.45;1.0;0.9;0.05;0.286;0.286;0.364;0.65;0.765;0.882
ENST00000405912_90_90;0.778;0.875;0.5;0.5;0.9;1.0;0.056;0.316;0.25;0.4;0.722;0.867;0.765
ENST00000413938_90_90;0.056;0.062;0.0;0.111;0.05;0.056;1.0;0.0;0.0;0.0;0.077;0.067;0.059
ENST00000414288_90_90;0.278;0.312;0.6;0.455;0.286;0.316;0.0;1.0;0.556;0.545;0.111;0.333;0.294
ENST00000432869_90_90;0.333;0.294;0.455;0.333;0.286;0.25;0.0;0.556;1.0;0.417;0.053;0.312;0.353
ENST00000441005_90_90;0.389;0.438;0.727;0.462;0.364;0.4;0.0;0.545;0.417;1.0;0.15;0.467;0.412
ENST00000451623_90_90;0.611;0.688;0.222;0.375;0.65;0.722;0.077;0.111;0.053;0.15;1.0;0.667;0.588
ENSMUST00000070039_90_90;0.895;1.0;0.467;0.533;0.765;0.867;0.067;0.333;0.312;0.467;0.667;1.0;0.895
ENSMUST00000112487_90_90;1.0;0.895;0.412;0.471;0.882;0.765;0.059;0.294;0.353;0.412;0.588;0.895;1.0
