;ENSCAFT00000028452_90_90;ENST00000331224_90_90;ENST00000341267_90_90;ENST00000392848_90_90;ENST00000556051_90_90;ENSMUST00000056110_90_90;ENSMUST00000109841_90_90;ENSMUST00000109842_90_90;ENSMUST00000109843_90_90;ENSMUST00000109844_90_90;ENSMUST00000109846_90_90;ENSMUST00000124293_90_90;ENSMUST00000173539_90_90;ENSMUST00000173812_90_90
ENSCAFT00000028452_90_90;1.0;0.785;0.973;0.236;0.201;0.719;0.511;0.556;0.507;0.719;0.605;0.215;0.551;0.318
ENST00000331224_90_90;0.785;1.0;0.809;0.313;0.243;0.544;0.597;0.65;0.592;0.544;0.614;0.244;0.645;0.296
ENST00000341267_90_90;0.973;0.809;1.0;0.253;0.202;0.707;0.5;0.544;0.496;0.707;0.593;0.207;0.54;0.318
ENST00000392848_90_90;0.236;0.313;0.253;1.0;0.6;0.071;0.09;0.085;0.09;0.071;0.08;0.035;0.085;0.0
ENST00000556051_90_90;0.201;0.243;0.202;0.6;1.0;0.073;0.091;0.086;0.091;0.073;0.082;0.102;0.087;0.0
ENSMUST00000056110_90_90;0.719;0.544;0.707;0.071;0.073;1.0;0.758;0.81;0.753;1.0;0.868;0.404;0.805;0.316
ENSMUST00000109841_90_90;0.511;0.597;0.5;0.09;0.091;0.758;1.0;0.936;0.993;0.758;0.874;0.524;0.929;0.247
ENSMUST00000109842_90_90;0.556;0.65;0.544;0.085;0.086;0.81;0.936;1.0;0.929;0.81;0.934;0.493;0.994;0.295
ENSMUST00000109843_90_90;0.507;0.592;0.496;0.09;0.091;0.753;0.993;0.929;1.0;0.753;0.868;0.528;0.935;0.241
ENSMUST00000109844_90_90;0.719;0.544;0.707;0.071;0.073;1.0;0.758;0.81;0.753;1.0;0.868;0.404;0.805;0.316
ENSMUST00000109846_90_90;0.605;0.614;0.593;0.08;0.082;0.868;0.874;0.934;0.868;0.868;1.0;0.462;0.928;0.36
ENSMUST00000124293_90_90;0.215;0.244;0.207;0.035;0.102;0.404;0.524;0.493;0.528;0.404;0.462;1.0;0.496;0.0
ENSMUST00000173539_90_90;0.551;0.645;0.54;0.085;0.087;0.805;0.929;0.994;0.935;0.805;0.928;0.496;1.0;0.289
ENSMUST00000173812_90_90;0.318;0.296;0.318;0.0;0.0;0.316;0.247;0.295;0.241;0.316;0.36;0.0;0.289;1.0
