;ENSCAFT00000023912_90_90;ENST00000336604_90_90;ENST00000356896_90_90;ENST00000396840_90_90;ENST00000436152_90_90;ENST00000465801_90_90;ENST00000487279_90_90;ENST00000615885_90_90;ENST00000619571_90_90;ENSMUST00000117675_90_90;ENSMUST00000119527_90_90;ENSMUST00000144364_90_90;ENSMUST00000148835_90_90
ENSCAFT00000023912_90_90;1.0;0.809;0.849;0.809;0.335;0.295;0.35;0.335;0.887;0.963;0.889;0.603;0.766
ENST00000336604_90_90;0.809;1.0;0.981;0.979;0.405;0.412;0.28;0.405;0.942;0.708;0.627;0.552;0.467
ENST00000356896_90_90;0.849;0.981;1.0;0.961;0.424;0.405;0.278;0.424;0.96;0.691;0.614;0.536;0.493
ENST00000396840_90_90;0.809;0.979;0.961;1.0;0.385;0.391;0.284;0.385;0.923;0.71;0.629;0.553;0.469
ENST00000436152_90_90;0.335;0.405;0.424;0.385;1.0;0.953;0.0;1.0;0.407;0.255;0.274;0.097;0.382
ENST00000465801_90_90;0.295;0.412;0.405;0.391;0.953;1.0;0.0;0.953;0.39;0.261;0.283;0.103;0.345
ENST00000487279_90_90;0.35;0.28;0.278;0.284;0.0;0.0;1.0;0.0;0.272;0.389;0.436;0.509;0.15
ENST00000615885_90_90;0.335;0.405;0.424;0.385;1.0;0.953;0.0;1.0;0.407;0.255;0.274;0.097;0.382
ENST00000619571_90_90;0.887;0.942;0.96;0.923;0.407;0.39;0.272;0.407;1.0;0.686;0.609;0.533;0.49
ENSMUST00000117675_90_90;0.963;0.708;0.691;0.71;0.255;0.261;0.389;0.255;0.686;1.0;0.897;0.524;0.712
ENSMUST00000119527_90_90;0.889;0.627;0.614;0.629;0.274;0.283;0.436;0.274;0.609;0.897;1.0;0.561;0.669
ENSMUST00000144364_90_90;0.603;0.552;0.536;0.553;0.097;0.103;0.509;0.097;0.533;0.524;0.561;1.0;0.319
ENSMUST00000148835_90_90;0.766;0.467;0.493;0.469;0.382;0.345;0.15;0.382;0.49;0.712;0.669;0.319;1.0
