;ENSCAFT00000007417_90_90;ENST00000283628_90_90;ENST00000283629_90_90;ENST00000411650_90_90;ENST00000447368_90_90;ENST00000456378_90_90;ENSMUST00000009885_90_90;ENSMUST00000084885_90_90;ENSMUST00000116492_90_90;ENSMUST00000214095_90_90;ENSMUST00000216558_90_90
ENSCAFT00000007417_90_90;1.0;0.937;0.937;0.316;0.842;0.2;0.904;1.0;0.904;0.904;1.0
ENST00000283628_90_90;0.937;1.0;1.0;0.212;0.911;0.193;0.856;0.944;0.856;0.856;0.944
ENST00000283629_90_90;0.937;1.0;1.0;0.212;0.911;0.193;0.856;0.944;0.856;0.856;0.944
ENST00000411650_90_90;0.316;0.212;0.212;1.0;0.23;0.0;0.325;0.294;0.325;0.325;0.294
ENST00000447368_90_90;0.842;0.911;0.911;0.23;1.0;0.209;0.937;0.856;0.937;0.937;0.856
ENST00000456378_90_90;0.2;0.193;0.193;0.0;0.209;1.0;0.209;0.193;0.209;0.209;0.193
ENSMUST00000009885_90_90;0.904;0.856;0.856;0.325;0.937;0.209;1.0;0.911;1.0;1.0;0.911
ENSMUST00000084885_90_90;1.0;0.944;0.944;0.294;0.856;0.193;0.911;1.0;0.911;0.911;1.0
ENSMUST00000116492_90_90;0.904;0.856;0.856;0.325;0.937;0.209;1.0;0.911;1.0;1.0;0.911
ENSMUST00000214095_90_90;0.904;0.856;0.856;0.325;0.937;0.209;1.0;0.911;1.0;1.0;0.911
ENSMUST00000216558_90_90;1.0;0.944;0.944;0.294;0.856;0.193;0.911;1.0;0.911;0.911;1.0
