;transcript7_ENSMSIG00000000513;transcript7_ENSMUSG00000054036;transcript26_ENSMSIG00000000513;transcript26_MGP-PahariEiJ-G0020237;transcript41_ENSMSIG00000000513;transcript41_MGP-SPRETEiJ-G0021131;transcript43_ENSMSIG00000000513;transcript43_MGP-CAROLIEiJ-G0020234;transcript46_ENSMSIG00000000513;transcript47_ENSMSIG00000000513;transcript48_ENSMSIG00000000513;transcript49_ENSMSIG00000000513;transcript22_MGP-SPRETEiJ-G0021131;transcript22_MGP-CAROLIEiJ-G0020234;transcript36_ENSMUSG00000054036;transcript8_MGP-CAROLIEiJ-G0020234;transcript32_MGP-CAROLIEiJ-G0020234;transcript32_ENSRNOG00000031503;transcript32_ENSMUGG00000013592;transcript33_MGP-CAROLIEiJ-G0020234;transcript33_ENSRNOG00000031503;transcript33_ENSMUGG00000013592;transcript42_MGP-CAROLIEiJ-G0020234;transcript9_ENSRNOG00000031503;transcript18_ENSRNOG00000031503;transcript18_ENSMUGG00000013592;transcript19_ENSRNOG00000031503;transcript21_ENSRNOG00000031503;transcript23_ENSRNOG00000031503;transcript34_ENSMUGG00000013592;transcript35_ENSMUGG00000013592
transcript7_ENSMSIG00000000513;1.0;0.564;0.469;0.461;0.867;0.75;0.867;0.405;0.653;0.469;0.653;0.476;0.368;0.366;0.373;0.357;0.274;0.368;0.251;0.302;0.301;0.279;0.274;0.385;0.295;0.296;0.326;0.353;0.353;0.302;0.302
transcript7_ENSMUSG00000054036;0.564;1.0;0.357;0.349;0.576;0.653;0.576;0.387;0.443;0.357;0.443;0.361;0.36;0.357;0.373;0.355;0.316;0.297;0.307;0.279;0.275;0.27;0.316;0.342;0.287;0.289;0.317;0.344;0.344;0.295;0.295
transcript26_ENSMSIG00000000513;0.469;0.357;1.0;0.985;0.543;0.456;0.543;0.374;0.72;1.0;0.72;0.986;0.649;0.655;0.66;0.65;0.531;0.669;0.504;0.513;0.581;0.489;0.531;0.707;0.658;0.639;0.726;0.654;0.654;0.645;0.645
transcript26_MGP-PahariEiJ-G0020237;0.461;0.349;0.985;1.0;0.535;0.448;0.535;0.361;0.713;0.985;0.713;0.972;0.64;0.645;0.649;0.639;0.52;0.656;0.494;0.502;0.568;0.478;0.52;0.696;0.648;0.63;0.715;0.643;0.643;0.637;0.637
transcript41_ENSMSIG00000000513;0.867;0.576;0.543;0.535;1.0;0.811;1.0;0.382;0.758;0.543;0.758;0.55;0.424;0.422;0.429;0.413;0.284;0.402;0.258;0.296;0.307;0.271;0.284;0.449;0.348;0.344;0.381;0.411;0.411;0.351;0.351
transcript41_MGP-SPRETEiJ-G0021131;0.75;0.653;0.456;0.448;0.811;1.0;0.811;0.365;0.623;0.456;0.623;0.462;0.416;0.409;0.416;0.401;0.257;0.328;0.231;0.281;0.236;0.256;0.257;0.392;0.334;0.332;0.367;0.398;0.398;0.339;0.339
transcript43_ENSMSIG00000000513;0.867;0.576;0.543;0.535;1.0;0.811;1.0;0.382;0.758;0.543;0.758;0.55;0.424;0.422;0.429;0.413;0.284;0.402;0.258;0.296;0.307;0.271;0.284;0.449;0.348;0.344;0.381;0.411;0.411;0.351;0.351
transcript43_MGP-CAROLIEiJ-G0020234;0.405;0.387;0.374;0.361;0.382;0.365;0.382;1.0;0.326;0.374;0.326;0.378;0.392;0.408;0.402;0.419;0.49;0.409;0.465;0.559;0.447;0.53;0.49;0.369;0.299;0.319;0.33;0.359;0.359;0.326;0.326
transcript46_ENSMSIG00000000513;0.653;0.443;0.72;0.713;0.758;0.623;0.758;0.326;1.0;0.72;1.0;0.707;0.456;0.455;0.461;0.447;0.326;0.443;0.299;0.342;0.354;0.315;0.326;0.483;0.469;0.459;0.518;0.447;0.447;0.465;0.465
transcript47_ENSMSIG00000000513;0.469;0.357;1.0;0.985;0.543;0.456;0.543;0.374;0.72;1.0;0.72;0.986;0.649;0.655;0.66;0.65;0.531;0.669;0.504;0.513;0.581;0.489;0.531;0.707;0.658;0.639;0.726;0.654;0.654;0.645;0.645
