;transcript33_ENSMUSG00000054036;transcript33_MGP-PahariEiJ-G0020237;transcript27_ENSRNOG00000031503;transcript27_ENSMUGG00000013649;transcript34_ENSRNOG00000031503;transcript37_ENSMUGG00000013649;transcript38_ENSMUGG00000013649;transcript40_ENSMUGG00000013649;transcript45_ENSMUGG00000013649;transcript46_ENSMUGG00000013649;transcript49_ENSMUGG00000013649;transcript39_ENSMUGG00000013592
transcript33_ENSMUSG00000054036;1.0;1.0;0.95;1.0;0.95;0.504;1.0;1.0;1.0;0.992;0.999;1.0
transcript33_MGP-PahariEiJ-G0020237;1.0;1.0;0.95;1.0;0.95;0.508;1.0;1.0;1.0;0.992;0.999;1.0
transcript27_ENSRNOG00000031503;0.95;0.95;1.0;0.955;1.0;0.582;0.907;0.955;0.907;0.898;0.905;0.955
transcript27_ENSMUGG00000013649;1.0;1.0;0.955;1.0;0.955;0.565;0.954;1.0;0.954;0.946;0.953;1.0
transcript34_ENSRNOG00000031503;0.95;0.95;1.0;0.955;1.0;0.582;0.907;0.955;0.907;0.898;0.905;0.955
transcript37_ENSMUGG00000013649;0.504;0.508;0.582;0.565;0.582;1.0;0.469;0.565;0.469;0.45;0.465;0.565
transcript38_ENSMUGG00000013649;1.0;1.0;0.907;0.954;0.907;0.469;1.0;0.954;1.0;0.992;0.999;0.954
transcript40_ENSMUGG00000013649;1.0;1.0;0.955;1.0;0.955;0.565;0.954;1.0;0.954;0.946;0.953;1.0
transcript45_ENSMUGG00000013649;1.0;1.0;0.907;0.954;0.907;0.469;1.0;0.954;1.0;0.992;0.999;0.954
transcript46_ENSMUGG00000013649;0.992;0.992;0.898;0.946;0.898;0.45;0.992;0.946;0.992;1.0;0.993;0.946
transcript49_ENSMUGG00000013649;0.999;0.999;0.905;0.953;0.905;0.465;0.999;0.953;0.999;0.993;1.0;0.953
transcript39_ENSMUGG00000013592;1.0;1.0;0.955;1.0;0.955;0.565;0.954;1.0;0.954;0.946;0.953;1.0
