;ENSCAFT00000013561_90_90;ENSCAFT00000013564_90_90;ENST00000233330_90_90;ENST00000272430_90_90;ENST00000305557_90_90;ENST00000640304_90_90;ENSMUST00000065512_90_90;ENSMUST00000087938_90_90;ENSMUST00000121093_90_90;ENSMUST00000129316_90_90;ENSMUST00000130622_90_90;ENSMUST00000135490_90_90;ENSMUST00000213056_90_90
ENSCAFT00000013561_90_90;1.0;0.438;0.615;0.714;0.714;0.059;0.786;0.667;0.667;0.077;0.267;0.231;0.059
ENSCAFT00000013564_90_90;0.438;1.0;0.5;0.5;0.5;0.25;0.467;0.467;0.467;0.1;0.231;0.3;0.25
ENST00000233330_90_90;0.615;0.5;1.0;0.727;0.727;0.083;0.667;0.667;0.667;0.125;0.167;0.375;0.083
ENST00000272430_90_90;0.714;0.5;0.727;1.0;0.692;0.067;0.917;0.643;0.643;0.091;0.214;0.273;0.067
ENST00000305557_90_90;0.714;0.5;0.727;0.692;1.0;0.067;0.643;0.769;0.769;0.091;0.308;0.273;0.067
ENST00000640304_90_90;0.059;0.25;0.083;0.067;0.067;1.0;0.062;0.062;0.062;0.0;0.0;0.0;0.667
ENSMUST00000065512_90_90;0.786;0.467;0.667;0.917;0.643;0.062;1.0;0.714;0.714;0.083;0.2;0.25;0.062
ENSMUST00000087938_90_90;0.667;0.467;0.667;0.643;0.769;0.062;0.714;1.0;1.0;0.083;0.2;0.25;0.062
ENSMUST00000121093_90_90;0.667;0.467;0.667;0.643;0.769;0.062;0.714;1.0;1.0;0.083;0.2;0.25;0.062
ENSMUST00000129316_90_90;0.077;0.1;0.125;0.091;0.091;0.0;0.083;0.083;0.083;1.0;0.167;0.333;0.0
ENSMUST00000130622_90_90;0.267;0.231;0.167;0.214;0.308;0.0;0.2;0.2;0.2;0.167;1.0;0.286;0.0
ENSMUST00000135490_90_90;0.231;0.3;0.375;0.273;0.273;0.0;0.25;0.25;0.25;0.333;0.286;1.0;0.0
ENSMUST00000213056_90_90;0.059;0.25;0.083;0.067;0.067;0.667;0.062;0.062;0.062;0.0;0.0;0.0;1.0
