;ENSCAFT00000008733_90_90;ENST00000323039_90_90;ENST00000348817_90_90;ENST00000430012_90_90;ENST00000593685_90_90;ENST00000597639_90_90;ENST00000600611_90_90;ENST00000601972_90_90;ENSMUST00000085901_90_90;ENSMUST00000172467_90_90;ENSMUST00000172761_90_90
ENSCAFT00000008733_90_90;1.0;0.87;0.87;0.787;0.87;0.87;0.299;0.263;0.883;1.0;0.81
ENST00000323039_90_90;0.87;1.0;0.922;0.802;1.0;0.922;0.304;0.142;0.944;0.901;0.746
ENST00000348817_90_90;0.87;0.922;1.0;0.865;0.922;1.0;0.331;0.151;0.867;0.825;0.802
ENST00000430012_90_90;0.787;0.802;0.865;1.0;0.802;0.865;0.396;0.165;0.746;0.705;0.916
ENST00000593685_90_90;0.87;1.0;0.922;0.802;1.0;0.922;0.304;0.142;0.944;0.901;0.746
ENST00000597639_90_90;0.87;0.922;1.0;0.865;0.922;1.0;0.331;0.151;0.867;0.825;0.802
ENST00000600611_90_90;0.299;0.304;0.331;0.396;0.304;0.331;1.0;0.434;0.248;0.236;0.313
ENST00000601972_90_90;0.263;0.142;0.151;0.165;0.142;0.151;0.434;1.0;0.21;0.201;0.272
ENSMUST00000085901_90_90;0.883;0.944;0.867;0.746;0.944;0.867;0.248;0.21;1.0;0.907;0.802
ENSMUST00000172467_90_90;1.0;0.901;0.825;0.705;0.901;0.825;0.236;0.201;0.907;1.0;0.728
ENSMUST00000172761_90_90;0.81;0.746;0.802;0.916;0.746;0.802;0.313;0.272;0.802;0.728;1.0
