;ENSCAFT00000011194_90_90;ENST00000313726_90_90;ENST00000524757_90_90;ENST00000525169_90_90;ENST00000526057_90_90;ENST00000526062_90_90;ENST00000526099_90_90;ENST00000526126_90_90;ENST00000526155_90_90;ENST00000526241_90_90;ENST00000526757_90_90;ENST00000526828_90_90;ENST00000527347_90_90;ENST00000527392_90_90;ENST00000527473_90_90;ENST00000527510_90_90;ENST00000527516_90_90;ENST00000527930_90_90;ENST00000528196_90_90;ENST00000528523_90_90;ENST00000528527_90_90;ENST00000530338_90_90;ENST00000530438_90_90;ENST00000530580_90_90;ENST00000530593_90_90;ENST00000530938_90_90;ENST00000530959_90_90;ENST00000530991_90_90;ENST00000531060_90_90;ENST00000531093_90_90;ENST00000531578_90_90;ENST00000532734_90_90;ENST00000533016_90_90;ENST00000533020_90_90;ENST00000533225_90_90;ENST00000533471_90_90;ENST00000533580_90_90;ENST00000533681_90_90;ENST00000534127_90_90;ENST00000534248_90_90;ENST00000534278_90_90;ENST00000534665_90_90;ENST00000626808_90_90;ENSMUST00000077909_90_90;ENSMUST00000079282_90_90;ENSMUST00000084738_90_90;ENSMUST00000168005_90_90;ENSMUST00000207394_90_90;ENSMUST00000207745_90_90;ENSMUST00000208583_90_90;ENSMUST00000208734_90_90
ENSCAFT00000011194_90_90;1.0;0.997;0.051;0.035;0.042;0.052;0.567;0.064;0.11;0.125;0.631;0.046;0.099;0.047;0.074;0.121;0.084;0.134;0.131;0.136;0.158;0.081;0.631;0.12;0.191;0.065;0.123;0.536;0.092;0.068;0.024;0.266;0.09;0.302;0.067;0.065;0.121;0.128;0.997;0.108;0.289;0.027;0.266;1.0;1.0;0.635;0.635;0.084;0.053;0.089;0.024
ENST00000313726_90_90;0.997;1.0;0.05;0.035;0.041;0.049;0.564;0.064;0.109;0.125;0.631;0.046;0.098;0.047;0.073;0.121;0.084;0.131;0.131;0.135;0.158;0.081;0.631;0.119;0.191;0.065;0.123;0.536;0.088;0.068;0.023;0.256;0.089;0.303;0.067;0.065;0.12;0.127;1.0;0.108;0.287;0.026;0.256;0.997;0.997;0.63;0.63;0.084;0.053;0.089;0.024
ENST00000524757_90_90;0.051;0.05;1.0;0.698;0.0;0.0;0.0;0.259;0.461;0.404;0.036;0.913;0.513;0.93;0.688;0.158;0.604;0.313;0.149;0.372;0.0;0.0;0.036;0.16;0.0;0.775;0.411;0.0;0.0;0.248;0.465;0.069;0.466;0.0;0.25;0.775;0.369;0.397;0.05;0.467;0.0;0.523;0.069;0.051;0.051;0.036;0.036;0.601;0.295;0.568;0.465
ENST00000525169_90_90;0.035;0.035;0.698;1.0;0.0;0.0;0.0;0.311;0.322;0.282;0.037;0.764;0.358;0.75;0.48;0.177;0.421;0.219;0.165;0.26;0.0;0.0;0.037;0.179;0.0;0.541;0.286;0.0;0.0;0.295;0.667;0.072;0.325;0.0;0.299;0.541;0.258;0.277;0.035;0.326;0.0;0.75;0.072;0.035;0.035;0.037;0.037;0.42;0.365;0.396;0.667
ENST00000526057_90_90;0.042;0.041;0.0;0.0;1.0;0.0;0.072;0.0;0.0;0.0;0.066;0.0;0.0;0.0;0.0;0.191;0.0;0.0;0.262;0.0;0.262;0.0;0.066;0.178;0.216;0.0;0.0;0.077;0.324;0.0;0.0;0.132;0.0;0.136;0.0;0.0;0.0;0.0;0.041;0.0;0.0;0.0;0.132;0.041;0.041;0.066;0.066;0.0;0.0;0.0;0.0
ENST00000526062_90_90;0.052;0.049;0.0;0.0;0.0;1.0;0.083;0.0;0.0;0.0;0.076;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.076;0.0;0.0;0.0;0.0;0.088;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.049;0.0;0.154;0.0;0.0;0.051;0.051;0.081;0.081;0.0;0.0;0.0;0.0
ENST00000526099_90_90;0.567;0.564;0.0;0.0;0.072;0.083;1.0;0.0;0.0;0.0;0.892;0.0;0.0;0.0;0.0;0.09;0.0;0.0;0.106;0.0;0.276;0.14;0.892;0.088;0.335;0.0;0.0;0.937;0.151;0.006;0.0;0.299;0.0;0.53;0.005;0.0;0.0;0.0;0.564;0.0;0.502;0.0;0.299;0.566;0.566;0.895;0.895;0.0;0.0;0.0;0.0
ENST00000526126_90_90;0.064;0.064;0.259;0.311;0.0;0.0;0.0;1.0;0.157;0.142;0.101;0.272;0.169;0.269;0.207;0.525;0.19;0.117;0.487;0.134;0.0;0.0;0.101;0.533;0.0;0.223;0.144;0.0;0.0;0.939;0.369;0.203;0.158;0.0;0.952;0.223;0.133;0.14;0.064;0.158;0.0;0.352;0.203;0.063;0.063;0.1;0.1;0.19;0.829;0.182;0.37
ENST00000526155_90_90;0.11;0.109;0.461;0.322;0.0;0.0;0.0;0.157;1.0;0.876;0.033;0.421;0.898;0.429;0.67;0.113;0.764;0.679;0.108;0.807;0.0;0.0;0.033;0.114;0.0;0.595;0.89;0.0;0.0;0.153;0.214;0.059;0.714;0.0;0.154;0.595;0.8;0.861;0.109;0.987;0.0;0.241;0.059;0.109;0.109;0.033;0.033;0.773;0.171;0.819;0.216
ENST00000526241_90_90;0.125;0.125;0.404;0.282;0.0;0.0;0.0;0.142;0.876;1.0;0.032;0.369;0.786;0.376;0.587;0.105;0.669;0.776;0.101;0.922;0.0;0.0;0.032;0.106;0.0;0.521;0.984;0.0;0.0;0.139;0.188;0.057;0.636;0.0;0.139;0.521;0.87;0.984;0.125;0.864;0.0;0.211;0.057;0.124;0.124;0.032;0.032;0.676;0.153;0.716;0.189
