;ENSCAFT00000026849_90_90;ENST00000259021_90_90;ENST00000424009_90_90;ENST00000435742_90_90;ENST00000454930_90_90;ENST00000506533_90_90;ENST00000509773_90_90;ENST00000510819_90_90;ENSMUST00000072621_90_90;ENSMUST00000092766_90_90;ENSMUST00000103159_90_90;ENSMUST00000107733_90_90;ENSMUST00000107734_90_90;ENSMUST00000138671_90_90
ENSCAFT00000026849_90_90;1.0;1.0;0.923;0.615;0.692;0.077;0.692;0.615;0.786;0.857;0.846;0.923;1.0;0.154
ENST00000259021_90_90;1.0;1.0;0.923;0.615;0.692;0.077;0.692;0.615;0.786;0.857;0.846;0.923;1.0;0.154
ENST00000424009_90_90;0.923;0.923;1.0;0.667;0.615;0.083;0.75;0.667;0.846;0.786;0.917;1.0;0.923;0.167
ENST00000435742_90_90;0.615;0.615;0.667;1.0;0.545;0.125;0.545;0.6;0.667;0.615;0.727;0.667;0.615;0.25
ENST00000454930_90_90;0.692;0.692;0.615;0.545;1.0;0.0;0.8;0.889;0.5;0.571;0.667;0.615;0.692;0.222
ENST00000506533_90_90;0.077;0.077;0.083;0.125;0.0;1.0;0.0;0.0;0.083;0.077;0.091;0.083;0.077;0.0
ENST00000509773_90_90;0.692;0.692;0.75;0.545;0.8;0.0;1.0;0.889;0.615;0.571;0.667;0.75;0.692;0.222
ENST00000510819_90_90;0.615;0.615;0.667;0.6;0.889;0.0;0.889;1.0;0.538;0.5;0.727;0.667;0.615;0.25
ENSMUST00000072621_90_90;0.786;0.786;0.846;0.667;0.5;0.083;0.615;0.538;1.0;0.923;0.769;0.846;0.786;0.167
ENSMUST00000092766_90_90;0.857;0.857;0.786;0.615;0.571;0.077;0.571;0.5;0.923;1.0;0.714;0.786;0.857;0.154
ENSMUST00000103159_90_90;0.846;0.846;0.917;0.727;0.667;0.091;0.667;0.727;0.769;0.714;1.0;0.917;0.846;0.182
ENSMUST00000107733_90_90;0.923;0.923;1.0;0.667;0.615;0.083;0.75;0.667;0.846;0.786;0.917;1.0;0.923;0.167
ENSMUST00000107734_90_90;1.0;1.0;0.923;0.615;0.692;0.077;0.692;0.615;0.786;0.857;0.846;0.923;1.0;0.154
ENSMUST00000138671_90_90;0.154;0.154;0.167;0.25;0.222;0.0;0.222;0.25;0.167;0.154;0.182;0.167;0.154;1.0
