;ENSCAFT00000009009_90_90;ENST00000227214_90_90;ENST00000354190_90_90;ENST00000398492_90_90;ENST00000398494_90_90;ENST00000535129_90_90;ENST00000535582_90_90;ENST00000536527_90_90;ENST00000538227_90_90;ENST00000539157_90_90;ENST00000540431_90_90;ENST00000541597_90_90;ENST00000542389_90_90;ENST00000543085_90_90;ENST00000543524_90_90;ENST00000545798_90_90;ENST00000546251_90_90;ENSMUST00000079176_90_90;ENSMUST00000107043_90_90;ENSMUST00000107044_90_90;ENSMUST00000107045_90_90;ENSMUST00000107046_90_90;ENSMUST00000107047_90_90;ENSMUST00000116287_90_90;ENSMUST00000138830_90_90;ENSMUST00000139708_90_90;ENSMUST00000151123_90_90;ENSMUST00000208812_90_90
ENSCAFT00000009009_90_90;1.0;0.0;0.125;0.129;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.737;0.294;0.647;0.706;0.647;0.684;0.706;0.25;0.412;0.684;0.167
ENST00000227214_90_90;0.0;1.0;0.65;0.684;0.929;1.0;0.538;0.143;0.643;0.333;0.857;0.846;0.571;0.923;0.769;0.231;0.429;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000354190_90_90;0.125;0.65;1.0;0.95;0.7;0.65;0.35;0.095;0.429;0.286;0.571;0.55;0.45;0.6;0.5;0.15;0.286;0.156;0.0;0.103;0.1;0.103;0.161;0.1;0.0;0.0;0.125;0.087
ENST00000398492_90_90;0.129;0.684;0.95;1.0;0.65;0.684;0.368;0.1;0.45;0.238;0.6;0.579;0.4;0.632;0.526;0.158;0.3;0.161;0.0;0.107;0.103;0.107;0.167;0.103;0.0;0.0;0.129;0.091
ENST00000398494_90_90;0.0;0.929;0.7;0.65;1.0;0.929;0.5;0.133;0.6;0.4;0.8;0.786;0.643;0.857;0.714;0.214;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000535129_90_90;0.0;1.0;0.65;0.684;0.929;1.0;0.538;0.143;0.643;0.333;0.857;0.846;0.571;0.923;0.769;0.231;0.429;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000535582_90_90;0.0;0.538;0.35;0.368;0.5;0.538;1.0;0.25;0.7;0.556;0.538;0.636;0.778;0.462;0.7;0.429;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000536527_90_90;0.0;0.143;0.095;0.1;0.133;0.143;0.25;1.0;0.182;0.25;0.143;0.167;0.2;0.071;0.182;0.5;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000538227_90_90;0.0;0.643;0.429;0.45;0.6;0.643;0.7;0.182;1.0;0.417;0.643;0.75;0.727;0.571;0.818;0.3;0.545;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000539157_90_90;0.0;0.333;0.286;0.238;0.4;0.333;0.556;0.25;0.417;1.0;0.429;0.385;0.6;0.267;0.417;0.429;0.556;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000540431_90_90;0.0;0.857;0.571;0.6;0.8;0.857;0.538;0.143;0.643;0.429;1.0;0.846;0.571;0.786;0.769;0.231;0.429;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000541597_90_90;0.0;0.846;0.55;0.579;0.786;0.846;0.636;0.167;0.75;0.385;0.846;1.0;0.667;0.769;0.909;0.273;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000542389_90_90;0.0;0.571;0.45;0.4;0.643;0.571;0.778;0.2;0.727;0.6;0.571;0.667;1.0;0.5;0.727;0.333;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000543085_90_90;0.0;0.923;0.6;0.632;0.857;0.923;0.462;0.071;0.571;0.267;0.786;0.769;0.5;1.0;0.692;0.154;0.357;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000543524_90_90;0.0;0.769;0.5;0.526;0.714;0.769;0.7;0.182;0.818;0.417;0.769;0.909;0.727;0.692;1.0;0.3;0.545;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000545798_90_90;0.0;0.231;0.15;0.158;0.214;0.231;0.429;0.5;0.3;0.429;0.231;0.273;0.333;0.154;0.3;1.0;0.429;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000546251_90_90;0.0;0.429;0.286;0.3;0.4;0.429;0.75;0.25;0.545;0.556;0.429;0.5;0.6;0.357;0.545;0.429;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENSMUST00000079176_90_90;0.737;0.0;0.156;0.161;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.353;0.706;0.765;0.706;0.941;0.765;0.235;0.471;0.941;0.294
ENSMUST00000107043_90_90;0.294;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.353;1.0;0.5;0.462;0.5;0.375;0.462;0.429;0.75;0.375;0.1
ENSMUST00000107044_90_90;0.647;0.0;0.103;0.107;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.706;0.5;1.0;0.923;1.0;0.75;0.923;0.333;0.667;0.647;0.062
ENSMUST00000107045_90_90;0.706;0.0;0.1;0.103;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.765;0.462;0.923;1.0;0.923;0.706;1.0;0.308;0.615;0.706;0.059
ENSMUST00000107046_90_90;0.647;0.0;0.103;0.107;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.706;0.5;1.0;0.923;1.0;0.75;0.923;0.333;0.667;0.647;0.062
ENSMUST00000107047_90_90;0.684;0.0;0.161;0.167;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.941;0.375;0.75;0.706;0.75;1.0;0.706;0.25;0.5;0.882;0.312
ENSMUST00000116287_90_90;0.706;0.0;0.1;0.103;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.765;0.462;0.923;1.0;0.923;0.706;1.0;0.308;0.615;0.706;0.059
ENSMUST00000138830_90_90;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.235;0.429;0.333;0.308;0.333;0.25;0.308;1.0;0.5;0.25;0.125
ENSMUST00000139708_90_90;0.412;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.471;0.75;0.667;0.615;0.667;0.5;0.615;0.5;1.0;0.5;0.083
ENSMUST00000151123_90_90;0.684;0.0;0.125;0.129;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.941;0.375;0.647;0.706;0.647;0.882;0.706;0.25;0.5;1.0;0.312
ENSMUST00000208812_90_90;0.167;0.0;0.087;0.091;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.294;0.1;0.062;0.059;0.062;0.312;0.059;0.125;0.083;0.312;1.0
