;ENSCAFT00000013561_90_90;ENSCAFT00000013564_90_90;ENST00000233330_90_90;ENST00000272430_90_90;ENST00000305557_90_90;ENST00000640304_90_90;ENSMUST00000065512_90_90;ENSMUST00000087938_90_90;ENSMUST00000121093_90_90;ENSMUST00000129316_90_90;ENSMUST00000130622_90_90;ENSMUST00000135490_90_90;ENSMUST00000213056_90_90
ENSCAFT00000013561_90_90;1.0;0.533;0.8;1.0;0.9;0.091;1.0;0.909;0.909;0.091;0.273;0.273;0.083
ENSCAFT00000013564_90_90;0.533;1.0;0.6;0.636;0.7;0.25;0.583;0.636;0.636;0.125;0.375;0.375;0.25
ENST00000233330_90_90;0.8;0.6;1.0;0.667;0.667;0.1;0.667;0.727;0.727;0.125;0.2;0.375;0.1
ENST00000272430_90_90;1.0;0.636;0.667;1.0;0.714;0.071;1.0;0.769;0.769;0.083;0.333;0.25;0.071
ENST00000305557_90_90;0.9;0.7;0.667;0.714;1.0;0.071;0.769;1.0;1.0;0.091;0.364;0.273;0.077
ENST00000640304_90_90;0.091;0.25;0.1;0.071;0.071;1.0;0.071;0.077;0.077;0.0;0.0;0.0;1.0
ENSMUST00000065512_90_90;1.0;0.583;0.667;1.0;0.769;0.071;1.0;0.733;0.733;0.077;0.286;0.231;0.067
ENSMUST00000087938_90_90;0.909;0.636;0.727;0.769;1.0;0.077;0.733;1.0;1.0;0.077;0.286;0.231;0.067
ENSMUST00000121093_90_90;0.909;0.636;0.727;0.769;1.0;0.077;0.733;1.0;1.0;0.077;0.286;0.231;0.067
ENSMUST00000129316_90_90;0.091;0.125;0.125;0.083;0.091;0.0;0.077;0.077;0.077;1.0;0.2;0.333;0.0
ENSMUST00000130622_90_90;0.273;0.375;0.2;0.333;0.364;0.0;0.286;0.286;0.286;0.2;1.0;0.333;0.0
ENSMUST00000135490_90_90;0.273;0.375;0.375;0.25;0.273;0.0;0.231;0.231;0.231;0.333;0.333;1.0;0.0
ENSMUST00000213056_90_90;0.083;0.25;0.1;0.071;0.077;1.0;0.067;0.067;0.067;0.0;0.0;0.0;1.0
