id_transcript;recent-paralogs;ortho-orthologs;para-orthologs;#cluster
transcript8_ENSMSIG00000000513;null;null;null;0
transcript49_ENSMSIG00000000513;transcript60_ENSMSIG00000000513|0.968;transcript49_MGP-SPRETEiJ-G0021131|0.708&transcript38_MGP-PahariEiJ-G0020237|0.734;null;1
transcript60_ENSMSIG00000000513;transcript49_ENSMSIG00000000513|0.968;null;null;1
transcript40_MGP-SPRETEiJ-G0021131;transcript49_MGP-SPRETEiJ-G0021131|0.987;transcript46_ENSMUSG00000054036|0.828&transcript47_MGP-CAROLIEiJ-G0020234|0.776&transcript38_MGP-PahariEiJ-G0020237|0.875;null;1
transcript49_MGP-SPRETEiJ-G0021131;transcript40_MGP-SPRETEiJ-G0021131|0.987;transcript49_ENSMSIG00000000513|0.708;null;1
transcript7_ENSMUSG00000054036;transcript46_ENSMUSG00000054036|0.994;null;null;1
transcript46_ENSMUSG00000054036;transcript7_ENSMUSG00000054036|0.994;transcript40_MGP-SPRETEiJ-G0021131|0.828&transcript47_MGP-CAROLIEiJ-G0020234|0.774&transcript38_MGP-PahariEiJ-G0020237|0.847;null;1
transcript38_MGP-CAROLIEiJ-G0020234;transcript47_MGP-CAROLIEiJ-G0020234|0.966;transcript38_MGP-PahariEiJ-G0020237|0.859;null;1
transcript47_MGP-CAROLIEiJ-G0020234;transcript38_MGP-CAROLIEiJ-G0020234|0.966;transcript40_MGP-SPRETEiJ-G0021131|0.776&transcript46_ENSMUSG00000054036|0.774;null;1
transcript38_MGP-PahariEiJ-G0020237;null;transcript49_ENSMSIG00000000513|0.734&transcript40_MGP-SPRETEiJ-G0021131|0.875&transcript46_ENSMUSG00000054036|0.847&transcript38_MGP-CAROLIEiJ-G0020234|0.859;null;1
transcript61_ENSMSIG00000000513;transcript62_ENSMSIG00000000513|0.982;null;null;2
transcript62_ENSMSIG00000000513;transcript61_ENSMSIG00000000513|0.982;null;null;2
transcript65_MGP-SPRETEiJ-G0021131;null;null;null;3
transcript66_MGP-SPRETEiJ-G0021131;null;null;null;4
