;transcript8_ENSMSIG00000000513;transcript49_ENSMSIG00000000513;transcript60_ENSMSIG00000000513;transcript61_ENSMSIG00000000513;transcript62_ENSMSIG00000000513;transcript40_MGP-SPRETEiJ-G0021131;transcript49_MGP-SPRETEiJ-G0021131;transcript65_MGP-SPRETEiJ-G0021131;transcript66_MGP-SPRETEiJ-G0021131;transcript7_ENSMUSG00000054036;transcript46_ENSMUSG00000054036;transcript38_MGP-CAROLIEiJ-G0020234;transcript47_MGP-CAROLIEiJ-G0020234;transcript38_MGP-PahariEiJ-G0020237
transcript8_ENSMSIG00000000513;1.0;0.161;0.167;0.168;0.171;0.114;0.116;0.127;0.129;0.134;0.133;0.112;0.116;0.119
transcript49_ENSMSIG00000000513;0.161;1.0;0.968;0.96;0.943;0.699;0.708;0.643;0.669;0.635;0.64;0.66;0.67;0.734
transcript60_ENSMSIG00000000513;0.167;0.968;1.0;0.956;0.94;0.674;0.683;0.619;0.643;0.631;0.637;0.645;0.667;0.711
transcript61_ENSMSIG00000000513;0.168;0.96;0.956;1.0;0.982;0.667;0.675;0.61;0.635;0.603;0.609;0.629;0.638;0.704
transcript62_ENSMSIG00000000513;0.171;0.943;0.94;0.982;1.0;0.654;0.662;0.598;0.644;0.591;0.596;0.623;0.633;0.692
transcript40_MGP-SPRETEiJ-G0021131;0.114;0.699;0.674;0.667;0.654;1.0;0.987;0.896;0.879;0.822;0.828;0.763;0.776;0.875
transcript49_MGP-SPRETEiJ-G0021131;0.116;0.708;0.683;0.675;0.662;0.987;1.0;0.908;0.891;0.81;0.816;0.751;0.764;0.864
transcript65_MGP-SPRETEiJ-G0021131;0.127;0.643;0.619;0.61;0.598;0.896;0.908;1.0;0.799;0.734;0.74;0.692;0.703;0.785
transcript66_MGP-SPRETEiJ-G0021131;0.129;0.669;0.643;0.635;0.644;0.879;0.891;0.799;1.0;0.718;0.724;0.683;0.695;0.771
transcript7_ENSMUSG00000054036;0.134;0.635;0.631;0.603;0.591;0.822;0.81;0.734;0.718;1.0;0.994;0.744;0.769;0.841
transcript46_ENSMUSG00000054036;0.133;0.64;0.637;0.609;0.596;0.828;0.816;0.74;0.724;0.994;1.0;0.749;0.774;0.847
transcript38_MGP-CAROLIEiJ-G0020234;0.112;0.66;0.645;0.629;0.623;0.763;0.751;0.692;0.683;0.744;0.749;1.0;0.966;0.859
transcript47_MGP-CAROLIEiJ-G0020234;0.116;0.67;0.667;0.638;0.633;0.776;0.764;0.703;0.695;0.769;0.774;0.966;1.0;0.829
transcript38_MGP-PahariEiJ-G0020237;0.119;0.734;0.711;0.704;0.692;0.875;0.864;0.785;0.771;0.841;0.847;0.859;0.829;1.0
