;ENSCAFT00000013778_90_90;ENST00000320672_90_90;ENST00000504985_90_90;ENST00000505980_90_90;ENST00000509013_90_90;ENST00000509053_90_90;ENST00000512923_90_90;ENST00000514493_90_90;ENST00000515395_90_90;ENST00000615665_90_90;ENSMUST00000004094_90_90;ENSMUST00000042122_90_90;ENSMUST00000138488_90_90
ENSCAFT00000013778_90_90;1.0;0.966;0.636;0.905;0.466;0.812;0.623;0.891;0.891;0.966;0.833;0.756;0.125
ENST00000320672_90_90;0.966;1.0;0.643;0.939;0.442;0.846;0.556;0.925;0.886;0.958;0.794;0.718;0.135
ENST00000504985_90_90;0.636;0.643;1.0;0.585;0.317;0.496;0.748;0.571;0.613;0.685;0.745;0.657;0.0
ENST00000505980_90_90;0.905;0.939;0.585;1.0;0.384;0.785;0.499;0.864;0.828;0.899;0.73;0.653;0.147
ENST00000509013_90_90;0.466;0.442;0.317;0.384;1.0;0.401;0.334;0.37;0.357;0.425;0.443;0.358;0.0
ENST00000509053_90_90;0.812;0.846;0.496;0.785;0.401;1.0;0.411;0.915;0.873;0.81;0.637;0.69;0.161
ENST00000512923_90_90;0.623;0.556;0.748;0.499;0.334;0.411;1.0;0.485;0.469;0.537;0.732;0.643;0.0
ENST00000514493_90_90;0.891;0.925;0.571;0.864;0.37;0.915;0.485;1.0;0.955;0.886;0.718;0.778;0.147
ENST00000515395_90_90;0.891;0.886;0.613;0.828;0.357;0.873;0.469;0.955;1.0;0.928;0.718;0.778;0.147
ENST00000615665_90_90;0.966;0.958;0.685;0.899;0.425;0.81;0.537;0.886;0.928;1.0;0.794;0.718;0.135
ENSMUST00000004094_90_90;0.833;0.794;0.745;0.73;0.443;0.637;0.732;0.718;0.718;0.794;1.0;0.917;0.128
ENSMUST00000042122_90_90;0.756;0.718;0.657;0.653;0.358;0.69;0.643;0.778;0.778;0.718;0.917;1.0;0.139
ENSMUST00000138488_90_90;0.125;0.135;0.0;0.147;0.0;0.161;0.0;0.147;0.147;0.135;0.128;0.139;1.0
