method;comparison
avg_L-MinCLevol;worst RF
avg_L-MinCLevol;best RF
avg_L-MinCLevol;equal RF
avg_L-MinCLevol;worst RF
avg_L-MinCLevol;worst RF
avg_L-MinCLevol;worst RF
avg_L-MinCLevol;best RF
avg_L-MinCLevol;best RF
avg_L-MinCLevol;best RF
avg_L-MinCLevol;best RF
avg_L-MinCLevol;best RF
avg_L-MinCLevol;worst RF
avg_L-MinCLevol;best RF
avg_L-MinCLevol;equal RF
avg_L-MinCLevol;equal RF
avg_L-MinCLevol;worst RF
avg_L-MinCLevol;equal RF
avg_L-MinCLevol;best RF
avg_L-MinCLevol;equal RF
avg_L-MinCLevol;best RF
avg_L-MinCLevol;best RF
avg_L-MinCLevol;best RF
avg_L-MinCLevol;equal RF
avg_L-MinCLevol;equal RF
avg_L-MinCLevol;worst RF
avg_L-MinCLevol;equal RF
avg_L-MinCLevol;worst RF
avg_L-MinCLevol;best RF
avg_L-MinCLevol;worst RF
avg_L-MinCLevol;worst RF
avg_L-MinCLevol;equal RF
avg_L-MinCLevol;equal RF
avg_L-MinCLevol;best RF
avg_L-MinCLevol;best RF
avg_L-MinCLevol;worst RF
avg_L-MinCLevol;worst RF
avg_L-MinCLevol;equal RF
avg_L-MinCLevol;worst RF
avg_L-MinCLevol;equal RF
avg_L-MinCLevol;worst RF
avg_L-MinCLevol;equal RF
avg_L-MinCLevol;best RF
avg_L-MinCLevol;best RF
avg_L-MinCLevol;worst RF
avg_L-MinCLevol;best RF
avg_L-MinCLevol;worst RF
avg_L-MinCLevol;best RF
avg_L-MinCLevol;worst RF
avg_L-MinCLevol;best RF
avg_L-MinCLevol;worst RF
avg_MinCLevol;worst RF
avg_MinCLevol;best RF
avg_MinCLevol;equal RF
avg_MinCLevol;worst RF
avg_MinCLevol;worst RF
avg_MinCLevol;equal RF
avg_MinCLevol;worst RF
avg_MinCLevol;best RF
avg_MinCLevol;best RF
avg_MinCLevol;worst RF
avg_MinCLevol;best RF
avg_MinCLevol;worst RF
avg_MinCLevol;best RF
avg_MinCLevol;best RF
avg_MinCLevol;equal RF
avg_MinCLevol;worst RF
avg_MinCLevol;best RF
avg_MinCLevol;best RF
avg_MinCLevol;equal RF
avg_MinCLevol;best RF
avg_MinCLevol;best RF
avg_MinCLevol;best RF
avg_MinCLevol;equal RF
avg_MinCLevol;equal RF
avg_MinCLevol;worst RF
avg_MinCLevol;worst RF
avg_MinCLevol;worst RF
avg_MinCLevol;best RF
avg_MinCLevol;worst RF
avg_MinCLevol;best RF
avg_MinCLevol;equal RF
avg_MinCLevol;best RF
avg_MinCLevol;best RF
avg_MinCLevol;equal RF
avg_MinCLevol;worst RF
avg_MinCLevol;worst RF
avg_MinCLevol;equal RF
avg_MinCLevol;worst RF
avg_MinCLevol;equal RF
avg_MinCLevol;worst RF
avg_MinCLevol;best RF
avg_MinCLevol;best RF
avg_MinCLevol;best RF
avg_MinCLevol;equal RF
avg_MinCLevol;best RF
avg_MinCLevol;worst RF
avg_MinCLevol;best RF
avg_MinCLevol;best RF
avg_MinCLevol;best RF
avg_MinCLevol;worst RF
max_L-MinCLevol;worst RF
max_L-MinCLevol;best RF
max_L-MinCLevol;equal RF
max_L-MinCLevol;worst RF
max_L-MinCLevol;worst RF
max_L-MinCLevol;worst RF
max_L-MinCLevol;best RF
max_L-MinCLevol;worst RF
max_L-MinCLevol;best RF
max_L-MinCLevol;equal RF
max_L-MinCLevol;equal RF
max_L-MinCLevol;worst RF
max_L-MinCLevol;best RF
max_L-MinCLevol;best RF
max_L-MinCLevol;equal RF
max_L-MinCLevol;worst RF
max_L-MinCLevol;equal RF
max_L-MinCLevol;best RF
max_L-MinCLevol;equal RF
max_L-MinCLevol;worst RF
max_L-MinCLevol;best RF
max_L-MinCLevol;best RF
max_L-MinCLevol;equal RF
max_L-MinCLevol;equal RF
max_L-MinCLevol;worst RF
max_L-MinCLevol;worst RF
max_L-MinCLevol;worst RF
max_L-MinCLevol;equal RF
max_L-MinCLevol;worst RF
max_L-MinCLevol;worst RF
max_L-MinCLevol;equal RF
max_L-MinCLevol;best RF
max_L-MinCLevol;best RF
max_L-MinCLevol;worst RF
max_L-MinCLevol;worst RF
max_L-MinCLevol;worst RF
max_L-MinCLevol;equal RF
max_L-MinCLevol;worst RF
max_L-MinCLevol;equal RF
max_L-MinCLevol;worst RF
max_L-MinCLevol;equal RF
max_L-MinCLevol;best RF
max_L-MinCLevol;equal RF
max_L-MinCLevol;worst RF
max_L-MinCLevol;best RF
max_L-MinCLevol;worst RF
max_L-MinCLevol;best RF
max_L-MinCLevol;worst RF
max_L-MinCLevol;best RF
max_L-MinCLevol;worst RF
max_MinCLevol;worst RF
max_MinCLevol;best RF
max_MinCLevol;equal RF
max_MinCLevol;worst RF
max_MinCLevol;worst RF
max_MinCLevol;best RF
max_MinCLevol;worst RF
max_MinCLevol;best RF
max_MinCLevol;best RF
max_MinCLevol;worst RF
max_MinCLevol;equal RF
max_MinCLevol;worst RF
max_MinCLevol;best RF
max_MinCLevol;best RF
max_MinCLevol;equal RF
max_MinCLevol;worst RF
max_MinCLevol;equal RF
max_MinCLevol;best RF
max_MinCLevol;equal RF
max_MinCLevol;equal RF
max_MinCLevol;best RF
max_MinCLevol;best RF
max_MinCLevol;equal RF
max_MinCLevol;equal RF
max_MinCLevol;worst RF
max_MinCLevol;worst RF
max_MinCLevol;worst RF
max_MinCLevol;best RF
max_MinCLevol;worst RF
max_MinCLevol;best RF
max_MinCLevol;equal RF
max_MinCLevol;best RF
max_MinCLevol;best RF
max_MinCLevol;worst RF
max_MinCLevol;worst RF
max_MinCLevol;worst RF
max_MinCLevol;equal RF
max_MinCLevol;worst RF
max_MinCLevol;equal RF
max_MinCLevol;worst RF
max_MinCLevol;worst RF
max_MinCLevol;best RF
max_MinCLevol;equal RF
max_MinCLevol;worst RF
max_MinCLevol;best RF
max_MinCLevol;worst RF
max_MinCLevol;best RF
max_MinCLevol;worst RF
max_MinCLevol;best RF
max_MinCLevol;worst RF
min_L-MinCLevol;worst RF
min_L-MinCLevol;best RF
min_L-MinCLevol;equal RF
min_L-MinCLevol;worst RF
min_L-MinCLevol;worst RF
min_L-MinCLevol;equal RF
min_L-MinCLevol;equal RF
min_L-MinCLevol;best RF
min_L-MinCLevol;best RF
min_L-MinCLevol;best RF
min_L-MinCLevol;best RF
min_L-MinCLevol;worst RF
min_L-MinCLevol;best RF
min_L-MinCLevol;best RF
min_L-MinCLevol;equal RF
min_L-MinCLevol;worst RF
min_L-MinCLevol;best RF
min_L-MinCLevol;best RF
min_L-MinCLevol;equal RF
min_L-MinCLevol;best RF
min_L-MinCLevol;best RF
min_L-MinCLevol;best RF
min_L-MinCLevol;equal RF
min_L-MinCLevol;equal RF
min_L-MinCLevol;worst RF
min_L-MinCLevol;worst RF
min_L-MinCLevol;worst RF
min_L-MinCLevol;best RF
min_L-MinCLevol;worst RF
min_L-MinCLevol;best RF
min_L-MinCLevol;best RF
min_L-MinCLevol;equal RF
min_L-MinCLevol;best RF
min_L-MinCLevol;equal RF
min_L-MinCLevol;worst RF
min_L-MinCLevol;worst RF
min_L-MinCLevol;equal RF
min_L-MinCLevol;worst RF
min_L-MinCLevol;equal RF
min_L-MinCLevol;worst RF
min_L-MinCLevol;equal RF
min_L-MinCLevol;best RF
min_L-MinCLevol;best RF
min_L-MinCLevol;worst RF
min_L-MinCLevol;best RF
min_L-MinCLevol;worst RF
min_L-MinCLevol;best RF
min_L-MinCLevol;best RF
min_L-MinCLevol;best RF
min_L-MinCLevol;worst RF
min_MinCLevol;worst RF
min_MinCLevol;best RF
min_MinCLevol;equal RF
min_MinCLevol;worst RF
min_MinCLevol;worst RF
min_MinCLevol;equal RF
min_MinCLevol;equal RF
min_MinCLevol;best RF
min_MinCLevol;best RF
min_MinCLevol;worst RF
min_MinCLevol;best RF
min_MinCLevol;worst RF
min_MinCLevol;best RF
min_MinCLevol;best RF
min_MinCLevol;equal RF
min_MinCLevol;worst RF
min_MinCLevol;best RF
min_MinCLevol;best RF
min_MinCLevol;equal RF
min_MinCLevol;best RF
min_MinCLevol;best RF
min_MinCLevol;best RF
min_MinCLevol;equal RF
min_MinCLevol;equal RF
min_MinCLevol;worst RF
min_MinCLevol;worst RF
min_MinCLevol;worst RF
min_MinCLevol;best RF
min_MinCLevol;worst RF
min_MinCLevol;best RF
min_MinCLevol;best RF
min_MinCLevol;equal RF
min_MinCLevol;best RF
min_MinCLevol;best RF
min_MinCLevol;worst RF
min_MinCLevol;worst RF
min_MinCLevol;equal RF
min_MinCLevol;worst RF
min_MinCLevol;equal RF
min_MinCLevol;worst RF
min_MinCLevol;equal RF
min_MinCLevol;best RF
min_MinCLevol;best RF
min_MinCLevol;worst RF
min_MinCLevol;best RF
min_MinCLevol;worst RF
min_MinCLevol;best RF
min_MinCLevol;best RF
min_MinCLevol;best RF
min_MinCLevol;worst RF
