;ENSCAFT00000022211_90_90;ENST00000324778_90_90;ENST00000367632_90_90;ENST00000367634_90_90;ENST00000367635_90_90;ENST00000415888_90_90;ENSMUST00000027886_90_90;ENSMUST00000063199_90_90;ENSMUST00000171292_90_90;ENSMUST00000172057_90_90;ENSMUST00000185198_90_90;ENSMUST00000188656_90_90;ENSMUST00000189316_90_90;ENSMUST00000189648_90_90;ENSMUST00000190648_90_90;ENSMUST00000190762_90_90;ENSMUST00000191605_90_90;ENSMUST00000192343_90_90
ENSCAFT00000022211_90_90;1.0;0.397;0.28;0.883;0.867;0.138;0.42;0.406;0.406;0.367;0.414;0.397;0.465;0.139;0.412;0.246;0.406;0.163
ENST00000324778_90_90;0.397;1.0;0.0;0.389;0.365;0.101;0.379;0.362;0.362;0.383;0.371;0.422;0.38;0.196;0.446;0.441;0.362;0.246
ENST00000367632_90_90;0.28;0.0;1.0;0.306;0.284;0.0;0.041;0.04;0.04;0.041;0.04;0.0;0.08;0.0;0.0;0.0;0.04;0.0
ENST00000367634_90_90;0.883;0.389;0.306;1.0;0.932;0.16;0.438;0.423;0.423;0.384;0.43;0.414;0.481;0.135;0.43;0.24;0.423;0.158
ENST00000367635_90_90;0.867;0.365;0.284;0.932;1.0;0.15;0.417;0.404;0.404;0.367;0.41;0.395;0.459;0.126;0.409;0.224;0.404;0.147
ENST00000415888_90_90;0.138;0.101;0.0;0.16;0.15;1.0;0.254;0.242;0.242;0.255;0.245;0.275;0.24;0.0;0.29;0.0;0.242;0.0
ENSMUST00000027886_90_90;0.42;0.379;0.041;0.438;0.417;0.254;1.0;0.956;0.956;0.903;0.867;0.776;0.774;0.131;0.811;0.233;0.956;0.153
ENSMUST00000063199_90_90;0.406;0.362;0.04;0.423;0.404;0.242;0.956;1.0;1.0;0.948;0.909;0.819;0.815;0.125;0.776;0.223;1.0;0.146
ENSMUST00000171292_90_90;0.406;0.362;0.04;0.423;0.404;0.242;0.956;1.0;1.0;0.948;0.909;0.819;0.815;0.125;0.776;0.223;1.0;0.146
ENSMUST00000172057_90_90;0.367;0.383;0.041;0.384;0.367;0.255;0.903;0.948;0.948;1.0;0.859;0.769;0.767;0.072;0.725;0.17;0.948;0.095
ENSMUST00000185198_90_90;0.414;0.371;0.04;0.43;0.41;0.245;0.867;0.909;0.909;0.859;1.0;0.835;0.832;0.127;0.791;0.227;0.909;0.148
ENSMUST00000188656_90_90;0.397;0.422;0.0;0.414;0.395;0.275;0.776;0.819;0.819;0.769;0.835;1.0;0.839;0.144;0.948;0.256;0.819;0.166
ENSMUST00000189316_90_90;0.465;0.38;0.08;0.481;0.459;0.24;0.774;0.815;0.815;0.767;0.832;0.839;1.0;0.127;0.793;0.226;0.815;0.147
ENSMUST00000189648_90_90;0.139;0.196;0.0;0.135;0.126;0.0;0.131;0.125;0.125;0.072;0.127;0.144;0.127;1.0;0.151;0.561;0.125;0.73
ENSMUST00000190648_90_90;0.412;0.446;0.0;0.43;0.409;0.29;0.811;0.776;0.776;0.725;0.791;0.948;0.793;0.151;1.0;0.27;0.776;0.175
ENSMUST00000190762_90_90;0.246;0.441;0.0;0.24;0.224;0.0;0.233;0.223;0.223;0.17;0.227;0.256;0.226;0.561;0.27;1.0;0.223;0.596
ENSMUST00000191605_90_90;0.406;0.362;0.04;0.423;0.404;0.242;0.956;1.0;1.0;0.948;0.909;0.819;0.815;0.125;0.776;0.223;1.0;0.146
ENSMUST00000192343_90_90;0.163;0.246;0.0;0.158;0.147;0.0;0.153;0.146;0.146;0.095;0.148;0.166;0.147;0.73;0.175;0.596;0.146;1.0
