;ENSCAFT00000025386_90_90;ENST00000389900_90_90;ENST00000389902_90_90;ENST00000411812_90_90;ENST00000416985_90_90;ENST00000425013_90_90;ENSMUST00000053498_90_90;ENSMUST00000197296_90_90;ENSMUST00000200430_90_90;ENSMUST00000200607_90_90
ENSCAFT00000025386_90_90;;0.361;0.875;0.077;0.033;0.785;0.778;0.173;0.101;0.877
ENST00000389900_90_90;0.361;;;;;;0.345;0.217;0.093;0.311
ENST00000389902_90_90;0.875;;;;;;0.711;0.145;0.101;0.804
ENST00000411812_90_90;0.077;;;;;;0.113;0.337;0.329;0.096
ENST00000416985_90_90;0.033;;;;;;0.047;0.228;0.331;0.04
ENST00000425013_90_90;0.785;;;;;;0.777;0.133;0.114;0.711
ENSMUST00000053498_90_90;0.778;0.345;0.711;0.113;0.047;0.777;;;;
ENSMUST00000197296_90_90;0.173;0.217;0.145;0.337;0.228;0.133;;;;
ENSMUST00000200430_90_90;0.101;0.093;0.101;0.329;0.331;0.114;;;;
ENSMUST00000200607_90_90;0.877;0.311;0.804;0.096;0.04;0.711;;;;
