;ENSCAFT00000012216_90_90;ENST00000320694_90_90;ENST00000336483_90_90;ENST00000517698_90_90;ENST00000519025_90_90;ENST00000520675_90_90;ENST00000521381_90_90;ENST00000521409_90_90;ENST00000521657_90_90;ENST00000522084_90_90;ENST00000523807_90_90;ENST00000523872_90_90;ENSMUST00000035532_90_90;ENSMUST00000055518_90_90;ENSMUST00000185795_90_90;ENSMUST00000187009_90_90
ENSCAFT00000012216_90_90;1.0;0.573;0.551;0.004;0.239;0.161;0.994;0.19;0.994;0.141;0.161;0.498;0.551;0.998;0.147;0.241
ENST00000320694_90_90;0.573;1.0;0.911;0.006;0.404;0.0;0.574;0.325;0.574;0.147;0.179;0.851;0.91;0.573;0.265;0.411
ENST00000336483_90_90;0.551;0.911;1.0;0.084;0.378;0.0;0.551;0.303;0.551;0.138;0.168;0.795;0.999;0.551;0.233;0.384
ENST00000517698_90_90;0.004;0.006;0.084;1.0;0.012;0.0;0.004;0.0;0.004;0.019;0.017;0.0;0.083;0.003;0.016;0.011
ENST00000519025_90_90;0.239;0.404;0.378;0.012;1.0;0.0;0.239;0.728;0.239;0.128;0.184;0.385;0.378;0.239;0.319;0.751
ENST00000520675_90_90;0.161;0.0;0.0;0.0;0.0;1.0;0.16;0.0;0.16;0.0;0.0;0.0;0.0;0.16;0.0;0.0
ENST00000521381_90_90;0.994;0.574;0.551;0.004;0.239;0.16;1.0;0.19;1.0;0.142;0.162;0.499;0.551;0.995;0.147;0.241
ENST00000521409_90_90;0.19;0.325;0.303;0.0;0.728;0.0;0.19;1.0;0.19;0.042;0.105;0.381;0.303;0.19;0.248;0.738
ENST00000521657_90_90;0.994;0.574;0.551;0.004;0.239;0.16;1.0;0.19;1.0;0.142;0.162;0.499;0.551;0.995;0.147;0.241
ENST00000522084_90_90;0.141;0.147;0.138;0.019;0.128;0.0;0.142;0.042;0.142;1.0;0.875;0.021;0.137;0.141;0.452;0.227
ENST00000523807_90_90;0.161;0.179;0.168;0.017;0.184;0.0;0.162;0.105;0.162;0.875;1.0;0.054;0.167;0.161;0.551;0.292
ENST00000523872_90_90;0.498;0.851;0.795;0.0;0.385;0.0;0.499;0.381;0.499;0.021;0.054;1.0;0.795;0.499;0.117;0.329
ENSMUST00000035532_90_90;0.551;0.91;0.999;0.083;0.378;0.0;0.551;0.303;0.551;0.137;0.167;0.795;1.0;0.551;0.234;0.385
ENSMUST00000055518_90_90;0.998;0.573;0.551;0.003;0.239;0.16;0.995;0.19;0.995;0.141;0.161;0.499;0.551;1.0;0.147;0.241
ENSMUST00000185795_90_90;0.147;0.265;0.233;0.016;0.319;0.0;0.147;0.248;0.147;0.452;0.551;0.117;0.234;0.147;1.0;0.468
ENSMUST00000187009_90_90;0.241;0.411;0.384;0.011;0.751;0.0;0.241;0.738;0.241;0.227;0.292;0.329;0.385;0.241;0.468;1.0
