;ENSCAFT00000017676_90_90;ENST00000249647_90_90;ENST00000349777_90_90;ENST00000397138_90_90;ENST00000561526_90_90;ENST00000563765_90_90;ENST00000563830_90_90;ENST00000563873_90_90;ENST00000564153_90_90;ENST00000566035_90_90;ENST00000566327_90_90;ENST00000567094_90_90;ENST00000568331_90_90;ENST00000568451_90_90;ENST00000568841_90_90;ENST00000568859_90_90;ENST00000626061_90_90;ENST00000627440_90_90;ENSMUST00000028743_90_90;ENSMUST00000110711_90_90;ENSMUST00000116437_90_90;ENSMUST00000142278_90_90;ENSMUST00000150611_90_90;ENSMUST00000153580_90_90
ENSCAFT00000017676_90_90;1.0;0.938;0.625;0.625;0.5;0.062;0.625;0.25;0.438;0.062;0.625;0.438;0.438;0.438;0.625;0.438;0.062;0.062;0.933;0.933;1.0;0.733;0.4;0.333
ENST00000249647_90_90;0.938;1.0;0.625;0.625;0.562;0.059;0.647;0.211;0.412;0.059;0.688;0.286;0.286;0.286;0.647;0.5;0.059;0.059;1.0;1.0;0.875;0.786;0.375;0.357
ENST00000349777_90_90;0.625;0.625;1.0;1.0;0.462;0.091;0.294;0.308;0.636;0.091;0.312;0.4;0.4;0.4;0.294;0.5;0.091;0.091;0.714;0.714;0.625;0.5;0.5;0.5
ENST00000397138_90_90;0.625;0.625;1.0;1.0;0.462;0.091;0.294;0.308;0.636;0.091;0.312;0.4;0.4;0.4;0.294;0.5;0.091;0.091;0.714;0.714;0.625;0.5;0.5;0.5
ENST00000561526_90_90;0.5;0.562;0.462;0.462;1.0;0.1;0.312;0.333;0.545;0.1;0.429;0.429;0.429;0.429;0.312;0.889;0.1;0.1;0.571;0.571;0.5;0.727;0.6;0.625
ENST00000563765_90_90;0.062;0.059;0.091;0.091;0.1;1.0;0.0;0.0;0.111;0.333;0.0;0.083;0.083;0.083;0.0;0.111;1.0;0.333;0.071;0.071;0.062;0.091;0.125;0.2
ENST00000563830_90_90;0.625;0.647;0.294;0.294;0.312;0.0;1.0;0.188;0.111;0.0;0.769;0.095;0.095;0.095;0.846;0.25;0.0;0.0;0.643;0.643;0.562;0.538;0.133;0.077
ENST00000563873_90_90;0.25;0.211;0.308;0.308;0.333;0.0;0.188;1.0;0.364;0.0;0.2;0.286;0.286;0.286;0.188;0.364;0.0;0.0;0.286;0.286;0.25;0.364;0.5;0.5
ENST00000564153_90_90;0.438;0.412;0.636;0.636;0.545;0.111;0.111;0.364;1.0;0.111;0.188;0.462;0.462;0.462;0.111;0.6;0.111;0.111;0.5;0.5;0.438;0.5;0.667;0.714
ENST00000566035_90_90;0.062;0.059;0.091;0.091;0.1;0.333;0.0;0.0;0.111;1.0;0.0;0.083;0.083;0.083;0.0;0.111;0.333;1.0;0.071;0.071;0.062;0.091;0.125;0.2
ENST00000566327_90_90;0.625;0.688;0.312;0.312;0.429;0.0;0.769;0.2;0.188;0.0;1.0;0.158;0.158;0.158;0.769;0.357;0.0;0.0;0.643;0.643;0.562;0.667;0.214;0.167
ENST00000567094_90_90;0.438;0.286;0.4;0.4;0.429;0.083;0.095;0.286;0.462;0.083;0.158;1.0;1.0;1.0;0.095;0.462;0.083;0.083;0.333;0.333;0.444;0.4;0.8;0.5
ENST00000568331_90_90;0.438;0.286;0.4;0.4;0.429;0.083;0.095;0.286;0.462;0.083;0.158;1.0;1.0;1.0;0.095;0.462;0.083;0.083;0.333;0.333;0.444;0.4;0.8;0.5
ENST00000568451_90_90;0.438;0.286;0.4;0.4;0.429;0.083;0.095;0.286;0.462;0.083;0.158;1.0;1.0;1.0;0.095;0.462;0.083;0.083;0.333;0.333;0.444;0.4;0.8;0.5
ENST00000568841_90_90;0.625;0.647;0.294;0.294;0.312;0.0;0.846;0.188;0.111;0.0;0.769;0.095;0.095;0.095;1.0;0.25;0.0;0.0;0.643;0.643;0.562;0.538;0.133;0.077
ENST00000568859_90_90;0.438;0.5;0.5;0.5;0.889;0.111;0.25;0.364;0.6;0.111;0.357;0.462;0.462;0.462;0.25;1.0;0.111;0.111;0.5;0.5;0.438;0.636;0.667;0.714
ENST00000626061_90_90;0.062;0.059;0.091;0.091;0.1;1.0;0.0;0.0;0.111;0.333;0.0;0.083;0.083;0.083;0.0;0.111;1.0;0.333;0.071;0.071;0.062;0.091;0.125;0.2
ENST00000627440_90_90;0.062;0.059;0.091;0.091;0.1;0.333;0.0;0.0;0.111;1.0;0.0;0.083;0.083;0.083;0.0;0.111;0.333;1.0;0.071;0.071;0.062;0.091;0.125;0.2
ENSMUST00000028743_90_90;0.933;1.0;0.714;0.714;0.571;0.071;0.643;0.286;0.5;0.071;0.643;0.333;0.333;0.333;0.643;0.5;0.071;0.071;1.0;1.0;0.833;0.8;0.316;0.333
ENSMUST00000110711_90_90;0.933;1.0;0.714;0.714;0.571;0.071;0.643;0.286;0.5;0.071;0.643;0.333;0.333;0.333;0.643;0.5;0.071;0.071;1.0;1.0;0.833;0.8;0.316;0.333
ENSMUST00000116437_90_90;1.0;0.875;0.625;0.625;0.5;0.062;0.562;0.25;0.438;0.062;0.562;0.444;0.444;0.444;0.562;0.438;0.062;0.062;0.833;0.833;1.0;0.667;0.273;0.278
ENSMUST00000142278_90_90;0.733;0.786;0.5;0.5;0.727;0.091;0.538;0.364;0.5;0.091;0.667;0.4;0.4;0.4;0.538;0.636;0.091;0.091;0.8;0.8;0.667;1.0;0.375;0.417
ENSMUST00000150611_90_90;0.4;0.375;0.5;0.5;0.6;0.125;0.133;0.5;0.667;0.125;0.214;0.8;0.8;0.8;0.133;0.667;0.125;0.125;0.316;0.316;0.273;0.375;1.0;0.5
ENSMUST00000153580_90_90;0.333;0.357;0.5;0.5;0.625;0.2;0.077;0.5;0.714;0.2;0.167;0.5;0.5;0.5;0.077;0.714;0.2;0.2;0.333;0.333;0.278;0.417;0.5;1.0
