;transcript28_ENSMPUG00000020072;transcript27_ENSMLUG00000027828;transcript16_ENSMLUG00000027828;transcript15_ENSMLUG00000027828;transcript12_ENSMLUG00000027828;transcript25_ENSMPUG00000020072;transcript7_ENSMPUG00000020072;transcript7_ENSCCNG00000000226;transcript12_ENSECAG00000007947;transcript23_ENSECAG00000007947;transcript31_ENSECAG00000007947;transcript33_ENSECAG00000007947;transcript32_ENSECAG00000007947;transcript7_ENSMLUG00000027828;transcript26_ENSMLUG00000027828;transcript25_ENSMLUG00000027828;transcript7_ENSSTOG00000019743
transcript28_ENSMPUG00000020072;1.0;0.63;0.699;0.855;0.867;0.856;0.098;0.941;0.861;0.861;0.861;0.867;0.888;0.085;0.724;0.737;0.935
transcript27_ENSMLUG00000027828;0.63;1.0;0.92;0.764;0.75;0.785;0.11;0.903;0.68;0.68;0.68;0.671;0.638;0.143;0.868;0.848;0.894
transcript16_ENSMLUG00000027828;0.699;0.92;1.0;0.834;0.818;0.862;0.098;0.903;0.742;0.742;0.742;0.733;0.701;0.121;0.95;0.929;0.894
transcript15_ENSMLUG00000027828;0.855;0.764;0.834;1.0;0.982;0.767;0.081;0.903;0.887;0.887;0.887;0.879;0.849;0.088;0.791;0.776;0.894
transcript12_ENSMLUG00000027828;0.867;0.75;0.818;0.982;1.0;0.787;0.079;0.903;0.903;0.903;0.903;0.894;0.865;0.085;0.776;0.796;0.894
transcript25_ENSMPUG00000020072;0.856;0.785;0.862;0.767;0.787;1.0;0.117;0.941;0.767;0.767;0.767;0.773;0.793;0.113;0.898;0.92;0.935
transcript7_ENSMPUG00000020072;0.098;0.11;0.098;0.081;0.079;0.117;1.0;0.941;0.089;0.089;0.089;0.09;0.094;0.818;0.105;0.102;0.935
transcript7_ENSCCNG00000000226;0.941;0.903;0.903;0.903;0.903;0.941;0.941;1.0;1.0;1.0;1.0;1.0;1.0;0.882;0.903;0.903;1.0
transcript12_ENSECAG00000007947;0.861;0.68;0.742;0.887;0.903;0.767;0.089;1.0;1.0;1.0;1.0;0.989;0.951;0.081;0.708;0.726;1.0
transcript23_ENSECAG00000007947;0.861;0.68;0.742;0.887;0.903;0.767;0.089;1.0;1.0;1.0;1.0;0.989;0.951;0.081;0.708;0.726;1.0
transcript31_ENSECAG00000007947;0.861;0.68;0.742;0.887;0.903;0.767;0.089;1.0;1.0;1.0;1.0;0.989;0.951;0.081;0.708;0.726;1.0
transcript33_ENSECAG00000007947;0.867;0.671;0.733;0.879;0.894;0.773;0.09;1.0;0.989;0.989;0.989;1.0;0.961;0.082;0.715;0.733;1.0
transcript32_ENSECAG00000007947;0.888;0.638;0.701;0.849;0.865;0.793;0.094;1.0;0.951;0.951;0.951;0.961;1.0;0.087;0.736;0.754;1.0
transcript7_ENSMLUG00000027828;0.085;0.143;0.121;0.088;0.085;0.113;0.818;0.882;0.081;0.081;0.081;0.082;0.087;1.0;0.134;0.128;0.871
transcript26_ENSMLUG00000027828;0.724;0.868;0.95;0.791;0.776;0.898;0.105;0.903;0.708;0.708;0.708;0.715;0.736;0.134;1.0;0.976;0.894
transcript25_ENSMLUG00000027828;0.737;0.848;0.929;0.776;0.796;0.92;0.102;0.903;0.726;0.726;0.726;0.733;0.754;0.128;0.976;1.0;0.894
transcript7_ENSSTOG00000019743;0.935;0.894;0.894;0.894;0.894;0.935;0.935;1.0;1.0;1.0;1.0;1.0;1.0;0.871;0.894;0.894;1.0
