;transcript28_ENSMPUG00000020072;transcript27_ENSMLUG00000027828;transcript16_ENSMLUG00000027828;transcript15_ENSMLUG00000027828;transcript12_ENSMLUG00000027828;transcript25_ENSMPUG00000020072;transcript7_ENSMPUG00000020072;transcript7_ENSCCNG00000000226;transcript12_ENSECAG00000007947;transcript23_ENSECAG00000007947;transcript31_ENSECAG00000007947;transcript33_ENSECAG00000007947;transcript32_ENSECAG00000007947;transcript7_ENSMLUG00000027828;transcript26_ENSMLUG00000027828;transcript25_ENSMLUG00000027828;transcript7_ENSSTOG00000019743
transcript28_ENSMPUG00000020072;1.0;0.499;0.555;0.68;0.686;0.767;0.073;0.071;0.72;0.72;0.72;0.727;0.744;0.054;0.575;0.582;0.059
transcript27_ENSMLUG00000027828;0.499;1.0;0.907;0.739;0.72;0.629;0.077;0.093;0.574;0.574;0.574;0.568;0.547;0.089;0.861;0.833;0.077
transcript16_ENSMLUG00000027828;0.555;0.907;1.0;0.815;0.793;0.696;0.07;0.084;0.631;0.631;0.631;0.627;0.606;0.081;0.954;0.923;0.07
transcript15_ENSMLUG00000027828;0.68;0.739;0.815;1.0;0.973;0.587;0.058;0.069;0.764;0.764;0.764;0.758;0.738;0.066;0.778;0.756;0.058
transcript12_ENSMLUG00000027828;0.686;0.72;0.793;0.973;1.0;0.605;0.056;0.068;0.781;0.781;0.781;0.776;0.756;0.065;0.756;0.784;0.056
transcript25_ENSMPUG00000020072;0.767;0.629;0.696;0.587;0.605;1.0;0.085;0.084;0.608;0.608;0.608;0.614;0.627;0.064;0.726;0.748;0.07
transcript7_ENSMPUG00000020072;0.073;0.077;0.07;0.058;0.056;0.085;1.0;0.869;0.065;0.065;0.065;0.066;0.068;0.679;0.074;0.071;0.738
transcript7_ENSCCNG00000000226;0.071;0.093;0.084;0.069;0.068;0.084;0.869;1.0;0.076;0.076;0.076;0.076;0.079;0.811;0.088;0.085;0.869
transcript12_ENSECAG00000007947;0.72;0.574;0.631;0.764;0.781;0.608;0.065;0.076;1.0;1.0;1.0;0.989;0.958;0.06;0.607;0.625;0.065
transcript23_ENSECAG00000007947;0.72;0.574;0.631;0.764;0.781;0.608;0.065;0.076;1.0;1.0;1.0;0.989;0.958;0.06;0.607;0.625;0.065
transcript31_ENSECAG00000007947;0.72;0.574;0.631;0.764;0.781;0.608;0.065;0.076;1.0;1.0;1.0;0.989;0.958;0.06;0.607;0.625;0.065
transcript33_ENSECAG00000007947;0.727;0.568;0.627;0.758;0.776;0.614;0.066;0.076;0.989;0.989;0.989;1.0;0.969;0.061;0.614;0.632;0.066
transcript32_ENSECAG00000007947;0.744;0.547;0.606;0.738;0.756;0.627;0.068;0.079;0.958;0.958;0.958;0.969;1.0;0.063;0.627;0.645;0.068
transcript7_ENSMLUG00000027828;0.054;0.089;0.081;0.066;0.065;0.064;0.679;0.811;0.06;0.06;0.06;0.061;0.063;1.0;0.084;0.082;0.679
transcript26_ENSMLUG00000027828;0.575;0.861;0.954;0.778;0.756;0.726;0.074;0.088;0.607;0.607;0.607;0.614;0.627;0.084;1.0;0.966;0.074
transcript25_ENSMLUG00000027828;0.582;0.833;0.923;0.756;0.784;0.748;0.071;0.085;0.625;0.625;0.625;0.632;0.645;0.082;0.966;1.0;0.071
transcript7_ENSSTOG00000019743;0.059;0.077;0.07;0.058;0.056;0.07;0.738;0.869;0.065;0.065;0.065;0.066;0.068;0.679;0.074;0.071;1.0
