;ENSCAFT00000015963_90_90;ENST00000285737_90_90;ENST00000416006_90_90;ENST00000535754_90_90;ENST00000565867_90_90;ENST00000566755_90_90;ENST00000570174_90_90;ENSMUST00000034141_90_90;ENSMUST00000121673_90_90;ENSMUST00000122188_90_90;ENSMUST00000155433_90_90;ENSMUST00000163987_90_90
ENSCAFT00000015963_90_90;1.0;0.997;0.705;0.945;0.202;0.352;0.197;0.997;0.505;0.83;0.748;0.505
ENST00000285737_90_90;0.997;1.0;0.704;0.948;0.203;0.352;0.197;0.998;0.507;0.833;0.745;0.507
ENST00000416006_90_90;0.705;0.704;1.0;0.742;0.019;0.394;0.278;0.703;0.279;0.58;0.914;0.279
ENST00000535754_90_90;0.945;0.948;0.742;1.0;0.214;0.3;0.208;0.947;0.535;0.83;0.695;0.535
ENST00000565867_90_90;0.202;0.203;0.019;0.214;1.0;0.0;0.0;0.203;0.379;0.241;0.018;0.379
ENST00000566755_90_90;0.352;0.352;0.394;0.3;0.0;1.0;0.009;0.352;0.0;0.219;0.455;0.0
ENST00000570174_90_90;0.197;0.197;0.278;0.208;0.0;0.009;1.0;0.197;0.079;0.197;0.255;0.079
ENSMUST00000034141_90_90;0.997;0.998;0.703;0.947;0.203;0.352;0.197;1.0;0.507;0.833;0.747;0.507
ENSMUST00000121673_90_90;0.505;0.507;0.279;0.535;0.379;0.0;0.079;0.507;1.0;0.608;0.261;1.0
ENSMUST00000122188_90_90;0.83;0.833;0.58;0.83;0.241;0.219;0.197;0.833;0.608;1.0;0.583;0.608
ENSMUST00000155433_90_90;0.748;0.745;0.914;0.695;0.018;0.455;0.255;0.747;0.261;0.583;1.0;0.261
ENSMUST00000163987_90_90;0.505;0.507;0.279;0.535;0.379;0.0;0.079;0.507;1.0;0.608;0.261;1.0
