;ENSCAFT00000014853_90_90;ENST00000323180_90_90;ENST00000418153_90_90;ENST00000524497_90_90;ENST00000525438_90_90;ENST00000525676_90_90;ENST00000527782_90_90;ENST00000529734_90_90;ENST00000529782_90_90;ENST00000530587_90_90;ENST00000531959_90_90;ENST00000532010_90_90;ENST00000532028_90_90;ENST00000532883_90_90;ENST00000533757_90_90;ENSMUST00000044036_90_90;ENSMUST00000068702_90_90;ENSMUST00000090586_90_90;ENSMUST00000111290_90_90;ENSMUST00000111291_90_90;ENSMUST00000111292_90_90;ENSMUST00000111293_90_90;ENSMUST00000111294_90_90;ENSMUST00000111297_90_90;ENSMUST00000128781_90_90;ENSMUST00000138995_90_90;ENSMUST00000159366_90_90;ENSMUST00000159727_90_90;ENSMUST00000159961_90_90;ENSMUST00000161067_90_90;ENSMUST00000162146_90_90;ENSMUST00000162188_90_90;ENSMUST00000162497_90_90
ENSCAFT00000014853_90_90;1.0;0.863;0.88;0.42;0.17;0.104;0.106;0.312;0.125;0.125;0.4;0.043;0.213;0.25;0.234;0.8;0.745;0.9;0.86;0.8;0.745;0.9;0.863;0.804;0.085;0.128;0.429;0.149;0.569;0.224;0.271;0.191;0.064
ENST00000323180_90_90;0.863;1.0;0.9;0.469;0.167;0.102;0.104;0.333;0.146;0.122;0.449;0.042;0.184;0.22;0.229;0.75;0.8;0.846;0.808;0.75;0.8;0.846;0.92;0.86;0.083;0.125;0.42;0.146;0.528;0.271;0.24;0.188;0.062
ENST00000418153_90_90;0.88;0.9;1.0;0.479;0.17;0.104;0.106;0.34;0.149;0.125;0.458;0.043;0.213;0.224;0.234;0.8;0.745;0.9;0.86;0.8;0.745;0.9;0.827;0.769;0.085;0.128;0.429;0.125;0.6;0.224;0.245;0.191;0.064
ENST00000524497_90_90;0.42;0.469;0.479;1.0;0.333;0.0;0.208;0.667;0.292;0.0;0.958;0.083;0.0;0.423;0.458;0.396;0.404;0.44;0.458;0.396;0.404;0.44;0.44;0.438;0.167;0.25;0.741;0.107;0.188;0.0;0.52;0.375;0.125
ENST00000525438_90_90;0.17;0.167;0.17;0.333;1.0;0.0;0.625;0.5;0.071;0.0;0.348;0.25;0.0;0.615;0.727;0.186;0.19;0.167;0.174;0.186;0.19;0.167;0.167;0.178;0.5;0.75;0.292;0.0;0.0;0.0;0.571;0.889;0.375
ENST00000525676_90_90;0.104;0.102;0.104;0.0;0.0;1.0;0.0;0.0;0.0;0.444;0.0;0.0;0.455;0.0;0.0;0.114;0.116;0.102;0.106;0.114;0.116;0.102;0.102;0.109;0.0;0.0;0.0;0.0;0.147;0.118;0.0;0.0;0.0
ENST00000527782_90_90;0.106;0.104;0.106;0.208;0.625;0.0;1.0;0.312;0.0;0.0;0.217;0.4;0.0;0.385;0.455;0.116;0.119;0.104;0.109;0.116;0.119;0.104;0.104;0.111;0.8;0.833;0.167;0.0;0.0;0.0;0.357;0.556;0.6
ENST00000529734_90_90;0.312;0.333;0.34;0.667;0.5;0.0;0.312;1.0;0.438;0.0;0.696;0.125;0.0;0.611;0.688;0.341;0.349;0.306;0.319;0.341;0.349;0.306;0.306;0.326;0.25;0.375;0.56;0.0;0.114;0.0;0.667;0.562;0.188
ENST00000529782_90_90;0.125;0.146;0.149;0.292;0.071;0.0;0.0;0.438;1.0;0.0;0.304;0.0;0.0;0.25;0.286;0.136;0.14;0.122;0.128;0.136;0.14;0.122;0.122;0.13;0.0;0.0;0.25;0.0;0.081;0.0;0.312;0.143;0.0
ENST00000530587_90_90;0.125;0.122;0.125;0.0;0.0;0.444;0.0;0.0;0.0;1.0;0.0;0.0;0.417;0.0;0.0;0.136;0.14;0.122;0.128;0.136;0.14;0.122;0.122;0.13;0.0;0.0;0.0;0.0;0.176;0.25;0.0;0.0;0.0
ENST00000531959_90_90;0.4;0.449;0.458;0.958;0.348;0.0;0.217;0.696;0.304;0.0;1.0;0.087;0.0;0.44;0.478;0.404;0.413;0.42;0.438;0.404;0.413;0.42;0.42;0.417;0.174;0.261;0.704;0.071;0.191;0.0;0.542;0.391;0.13
ENST00000532010_90_90;0.043;0.042;0.043;0.083;0.25;0.0;0.4;0.125;0.0;0.0;0.087;1.0;0.0;0.154;0.182;0.047;0.048;0.042;0.043;0.047;0.048;0.042;0.042;0.044;0.5;0.333;0.042;0.0;0.0;0.0;0.143;0.222;0.667
ENST00000532028_90_90;0.213;0.184;0.213;0.0;0.0;0.455;0.0;0.0;0.0;0.417;0.0;0.0;1.0;0.0;0.0;0.205;0.182;0.184;0.191;0.205;0.182;0.184;0.16;0.17;0.0;0.0;0.0;0.0;0.265;0.15;0.0;0.0;0.0
ENST00000532883_90_90;0.25;0.22;0.224;0.423;0.615;0.0;0.385;0.611;0.25;0.0;0.44;0.154;0.0;1.0;0.846;0.273;0.279;0.245;0.255;0.273;0.279;0.245;0.245;0.261;0.308;0.462;0.44;0.0;0.045;0.0;0.8;0.692;0.231
ENST00000533757_90_90;0.234;0.229;0.234;0.458;0.727;0.0;0.455;0.688;0.286;0.0;0.478;0.182;0.0;0.846;1.0;0.256;0.262;0.229;0.239;0.256;0.262;0.229;0.229;0.244;0.364;0.545;0.417;0.0;0.023;0.0;0.786;0.818;0.273
ENSMUST00000044036_90_90;0.8;0.75;0.8;0.396;0.186;0.114;0.116;0.341;0.136;0.136;0.404;0.047;0.205;0.273;0.256;1.0;0.889;0.896;0.854;1.0;0.889;0.896;0.82;0.796;0.093;0.14;0.435;0.064;0.727;0.244;0.295;0.209;0.07
ENSMUST00000068702_90_90;0.745;0.8;0.745;0.404;0.19;0.116;0.119;0.349;0.14;0.14;0.413;0.048;0.182;0.279;0.262;0.889;1.0;0.8;0.76;0.889;1.0;0.8;0.875;0.851;0.095;0.143;0.444;0.043;0.667;0.31;0.302;0.214;0.071
ENSMUST00000090586_90_90;0.9;0.846;0.9;0.44;0.167;0.102;0.104;0.306;0.122;0.122;0.42;0.042;0.184;0.245;0.229;0.896;0.8;1.0;0.958;0.896;0.8;1.0;0.92;0.86;0.083;0.125;0.479;0.146;0.653;0.22;0.265;0.188;0.062
ENSMUST00000111290_90_90;0.86;0.808;0.86;0.458;0.174;0.106;0.109;0.319;0.128;0.128;0.438;0.043;0.191;0.255;0.239;0.854;0.76;0.958;1.0;0.854;0.76;0.958;0.88;0.896;0.087;0.13;0.5;0.152;0.612;0.18;0.277;0.196;0.065
ENSMUST00000111291_90_90;0.8;0.75;0.8;0.396;0.186;0.114;0.116;0.341;0.136;0.136;0.404;0.047;0.205;0.273;0.256;1.0;0.889;0.896;0.854;1.0;0.889;0.896;0.82;0.796;0.093;0.14;0.435;0.064;0.727;0.244;0.295;0.209;0.07
ENSMUST00000111292_90_90;0.745;0.8;0.745;0.404;0.19;0.116;0.119;0.349;0.14;0.14;0.413;0.048;0.182;0.279;0.262;0.889;1.0;0.8;0.76;0.889;1.0;0.8;0.875;0.851;0.095;0.143;0.444;0.043;0.667;0.31;0.302;0.214;0.071
ENSMUST00000111293_90_90;0.9;0.846;0.9;0.44;0.167;0.102;0.104;0.306;0.122;0.122;0.42;0.042;0.184;0.245;0.229;0.896;0.8;1.0;0.958;0.896;0.8;1.0;0.92;0.86;0.083;0.125;0.479;0.146;0.653;0.22;0.265;0.188;0.062
ENSMUST00000111294_90_90;0.863;0.92;0.827;0.44;0.167;0.102;0.104;0.306;0.122;0.122;0.42;0.042;0.16;0.245;0.229;0.82;0.875;0.92;0.88;0.82;0.875;0.92;1.0;0.938;0.083;0.125;0.479;0.146;0.588;0.271;0.265;0.188;0.062
ENSMUST00000111297_90_90;0.804;0.86;0.769;0.438;0.178;0.109;0.111;0.326;0.13;0.13;0.417;0.044;0.17;0.261;0.244;0.796;0.851;0.86;0.896;0.796;0.851;0.86;0.938;1.0;0.089;0.133;0.511;0.156;0.56;0.234;0.283;0.2;0.067
ENSMUST00000128781_90_90;0.085;0.083;0.085;0.167;0.5;0.0;0.8;0.25;0.0;0.0;0.174;0.5;0.0;0.308;0.364;0.093;0.095;0.083;0.087;0.093;0.095;0.083;0.083;0.089;1.0;0.667;0.125;0.0;0.0;0.0;0.286;0.444;0.75
ENSMUST00000138995_90_90;0.128;0.125;0.128;0.25;0.75;0.0;0.833;0.375;0.0;0.0;0.261;0.333;0.0;0.462;0.545;0.14;0.143;0.125;0.13;0.14;0.143;0.125;0.125;0.133;0.667;1.0;0.208;0.0;0.0;0.0;0.429;0.667;0.5
ENSMUST00000159366_90_90;0.429;0.42;0.429;0.741;0.292;0.0;0.167;0.56;0.25;0.0;0.704;0.042;0.0;0.44;0.417;0.435;0.444;0.479;0.5;0.435;0.444;0.479;0.479;0.511;0.125;0.208;1.0;0.154;0.244;0.0;0.48;0.333;0.083
