;ENSCAFT00000036803_90_90;ENST00000260648_90_90;ENST00000378511_90_90;ENST00000378520_90_90;ENST00000409272_90_90;ENST00000409411_90_90;ENST00000409936_90_90;ENST00000409957_90_90;ENST00000410081_90_90;ENST00000420756_90_90;ENST00000425263_90_90;ENST00000426481_90_90;ENST00000438314_90_90;ENST00000444696_90_90;ENST00000541738_90_90;ENSMUST00000072406_90_90;ENSMUST00000171795_90_90
ENSCAFT00000036803_90_90;1.0;1.0;0.917;0.917;1.0;0.75;1.0;0.75;1.0;0.167;1.0;1.0;0.333;0.167;0.75;0.818;1.0
ENST00000260648_90_90;1.0;1.0;0.917;0.917;1.0;0.75;1.0;0.75;1.0;0.154;1.0;1.0;0.333;0.154;0.75;0.818;1.0
ENST00000378511_90_90;0.917;0.917;1.0;0.833;0.917;0.667;0.917;0.667;0.917;0.167;0.917;0.917;0.364;0.167;0.667;0.727;0.909
ENST00000378520_90_90;0.917;0.917;0.833;1.0;0.917;0.667;0.917;0.667;0.917;0.167;0.917;0.917;0.364;0.167;0.667;0.727;0.909
ENST00000409272_90_90;1.0;1.0;0.917;0.917;1.0;0.75;1.0;0.75;1.0;0.154;1.0;1.0;0.333;0.154;0.75;0.818;1.0
ENST00000409411_90_90;0.75;0.75;0.667;0.667;0.75;1.0;0.75;1.0;0.75;0.2;0.75;0.75;0.083;0.2;1.0;1.0;0.818
ENST00000409936_90_90;1.0;1.0;0.917;0.917;1.0;0.75;1.0;0.75;1.0;0.154;1.0;1.0;0.333;0.154;0.75;0.818;1.0
ENST00000409957_90_90;0.75;0.75;0.667;0.667;0.75;1.0;0.75;1.0;0.75;0.2;0.75;0.75;0.083;0.2;1.0;1.0;0.818
ENST00000410081_90_90;1.0;1.0;0.917;0.917;1.0;0.75;1.0;0.75;1.0;0.154;1.0;1.0;0.333;0.154;0.75;0.818;1.0
ENST00000420756_90_90;0.167;0.154;0.167;0.167;0.154;0.2;0.154;0.2;0.154;1.0;0.154;0.154;0.0;0.2;0.2;0.222;0.182
ENST00000425263_90_90;1.0;1.0;0.917;0.917;1.0;0.75;1.0;0.75;1.0;0.154;1.0;1.0;0.333;0.154;0.75;0.818;1.0
ENST00000426481_90_90;1.0;1.0;0.917;0.917;1.0;0.75;1.0;0.75;1.0;0.154;1.0;1.0;0.333;0.154;0.75;0.818;1.0
ENST00000438314_90_90;0.333;0.333;0.364;0.364;0.333;0.083;0.333;0.083;0.333;0.0;0.333;0.333;1.0;0.0;0.083;0.091;0.273
ENST00000444696_90_90;0.167;0.154;0.167;0.167;0.154;0.2;0.154;0.2;0.154;0.2;0.154;0.154;0.0;1.0;0.2;0.222;0.182
ENST00000541738_90_90;0.75;0.75;0.667;0.667;0.75;1.0;0.75;1.0;0.75;0.2;0.75;0.75;0.083;0.2;1.0;1.0;0.818
ENSMUST00000072406_90_90;0.818;0.818;0.727;0.727;0.818;1.0;0.818;1.0;0.818;0.222;0.818;0.818;0.091;0.222;1.0;1.0;0.818
ENSMUST00000171795_90_90;1.0;1.0;0.909;0.909;1.0;0.818;1.0;0.818;1.0;0.182;1.0;1.0;0.273;0.182;0.818;0.818;1.0
