;transcript2_ENSMLUG00000027828;transcript2_ENSSTOG00000019743;transcript17_ENSMUGG00000013649;transcript17_ENSMUGG00000013592;transcript29_ENSMUGG00000013592;transcript8_ENSPEMG00000024651;transcript8_ENSNGAG00000018584;transcript7_ENSNGAG00000018584;transcript9_ENSNGAG00000018584;transcript10_ENSNGAG00000018584;transcript18_ENSNGAG00000018584;transcript19_ENSNGAG00000018584;transcript15_ENSSTOG00000019743
transcript2_ENSMLUG00000027828;1.0;1.0;1.0;0.738;0.825;1.0;0.645;0.42;0.921;0.915;0.886;0.895;1.0
transcript2_ENSSTOG00000019743;1.0;1.0;1.0;0.738;0.824;1.0;0.633;0.409;0.916;0.908;0.876;0.889;1.0
transcript17_ENSMUGG00000013649;1.0;1.0;1.0;0.996;0.996;1.0;0.837;0.541;0.963;0.951;0.951;0.951;1.0
transcript17_ENSMUGG00000013592;0.738;0.738;0.996;1.0;0.91;0.903;0.764;0.509;0.764;0.754;0.769;0.765;0.738
transcript29_ENSMUGG00000013592;0.825;0.824;0.996;0.91;1.0;0.997;0.837;0.552;0.841;0.832;0.847;0.843;0.824
transcript8_ENSPEMG00000024651;1.0;1.0;1.0;0.903;0.997;1.0;0.863;0.576;0.96;0.948;0.948;0.948;1.0
transcript8_ENSNGAG00000018584;0.645;0.633;0.837;0.764;0.837;0.863;1.0;0.652;0.688;0.695;0.722;0.712;0.633
transcript7_ENSNGAG00000018584;0.42;0.409;0.541;0.509;0.552;0.576;0.652;1.0;0.446;0.451;0.469;0.462;0.409
transcript9_ENSNGAG00000018584;0.921;0.916;0.963;0.764;0.841;0.96;0.688;0.446;1.0;0.988;0.952;0.966;0.916
transcript10_ENSNGAG00000018584;0.915;0.908;0.951;0.754;0.832;0.948;0.695;0.451;0.988;1.0;0.964;0.978;0.908
transcript18_ENSNGAG00000018584;0.886;0.876;0.951;0.769;0.847;0.948;0.722;0.469;0.952;0.964;1.0;0.986;0.876
transcript19_ENSNGAG00000018584;0.895;0.889;0.951;0.765;0.843;0.948;0.712;0.462;0.966;0.978;0.986;1.0;0.889
transcript15_ENSSTOG00000019743;1.0;1.0;1.0;0.738;0.824;1.0;0.633;0.409;0.916;0.908;0.876;0.889;1.0
