;transcript7_MGP-PahariEiJ-G0020237;transcript9_MGP-PahariEiJ-G0020237;transcript37_MGP-PahariEiJ-G0020237;transcript39_MGP-PahariEiJ-G0020237;transcript49_MGP-PahariEiJ-G0020237;transcript50_MGP-PahariEiJ-G0020237;transcript51_MGP-PahariEiJ-G0020237;transcript52_MGP-PahariEiJ-G0020237;transcript36_ENSRNOG00000031503;transcript37_ENSRNOG00000031503;transcript44_ENSRNOG00000031503
transcript7_MGP-PahariEiJ-G0020237;1.0;0.905;0.97;0.921;0.914;0.924;0.922;0.914;0.786;0.766;0.766
transcript9_MGP-PahariEiJ-G0020237;0.905;1.0;0.879;0.982;0.99;0.832;0.83;0.823;0.714;0.696;0.696
transcript37_MGP-PahariEiJ-G0020237;0.97;0.879;1.0;0.895;0.887;0.953;0.951;0.944;0.774;0.79;0.79
transcript39_MGP-PahariEiJ-G0020237;0.921;0.982;0.895;1.0;0.992;0.848;0.845;0.839;0.725;0.706;0.706
transcript49_MGP-PahariEiJ-G0020237;0.914;0.99;0.887;0.992;1.0;0.841;0.839;0.831;0.72;0.702;0.702
transcript50_MGP-PahariEiJ-G0020237;0.924;0.832;0.953;0.848;0.841;1.0;0.94;0.932;0.743;0.758;0.758
transcript51_MGP-PahariEiJ-G0020237;0.922;0.83;0.951;0.845;0.839;0.94;1.0;0.992;0.739;0.754;0.754
transcript52_MGP-PahariEiJ-G0020237;0.914;0.823;0.944;0.839;0.831;0.932;0.992;1.0;0.734;0.75;0.75
transcript36_ENSRNOG00000031503;0.786;0.714;0.774;0.725;0.72;0.743;0.739;0.734;1.0;0.976;0.976
transcript37_ENSRNOG00000031503;0.766;0.696;0.79;0.706;0.702;0.758;0.754;0.75;0.976;1.0;1.0
transcript44_ENSRNOG00000031503;0.766;0.696;0.79;0.706;0.702;0.758;0.754;0.75;0.976;1.0;1.0
