;ENSCAFT00000031843_90_90;ENST00000372554_90_90;ENST00000372559_90_90;ENST00000372564_90_90;ENST00000416230_90_90;ENST00000416629_90_90;ENST00000417224_90_90;ENST00000425236_90_90;ENST00000455407_90_90;ENSMUST00000028214_90_90;ENSMUST00000100215_90_90;ENSMUST00000113620_90_90;ENSMUST00000113621_90_90;ENSMUST00000163668_90_90
ENSCAFT00000031843_90_90;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0
ENST00000372554_90_90;1.0;1.0;0.875;0.875;0.143;0.812;0.938;0.048;0.125;0.688;0.75;0.625;0.812;0.688
ENST00000372559_90_90;1.0;0.875;1.0;1.0;0.158;0.929;0.933;0.053;0.143;0.786;0.733;0.714;0.688;0.667
ENST00000372564_90_90;1.0;0.875;1.0;1.0;0.158;0.929;0.933;0.053;0.143;0.786;0.733;0.714;0.688;0.667
ENST00000416230_90_90;0.0;0.143;0.158;0.158;1.0;0.167;0.15;0.556;0.111;0.429;0.4;0.462;0.375;0.429
ENST00000416629_90_90;1.0;0.812;0.929;0.929;0.167;1.0;0.867;0.056;0.154;0.714;0.667;0.769;0.625;0.714
ENST00000417224_90_90;1.0;0.938;0.933;0.933;0.15;0.867;1.0;0.05;0.133;0.733;0.8;0.667;0.75;0.733
ENST00000425236_90_90;0.0;0.048;0.053;0.053;0.556;0.056;0.05;1.0;0.0;0.214;0.2;0.231;0.188;0.214
ENST00000455407_90_90;0.0;0.125;0.143;0.143;0.111;0.154;0.133;0.0;1.0;0.071;0.067;0.077;0.062;0.071
ENSMUST00000028214_90_90;1.0;0.688;0.786;0.786;0.429;0.714;0.733;0.214;0.071;1.0;0.941;0.938;0.889;0.882
ENSMUST00000100215_90_90;1.0;0.75;0.733;0.733;0.4;0.667;0.8;0.2;0.067;0.941;1.0;0.882;0.944;0.941
ENSMUST00000113620_90_90;1.0;0.625;0.714;0.714;0.462;0.769;0.667;0.231;0.077;0.938;0.882;1.0;0.833;0.938
ENSMUST00000113621_90_90;1.0;0.812;0.688;0.688;0.375;0.625;0.75;0.188;0.062;0.889;0.944;0.833;1.0;0.889
ENSMUST00000163668_90_90;1.0;0.688;0.667;0.667;0.429;0.714;0.733;0.214;0.071;0.882;0.941;0.938;0.889;1.0
