;transcript2_ENSMLUG00000027828;transcript2_ENSSTOG00000019743;transcript17_ENSMUGG00000013649;transcript17_ENSMUGG00000013592;transcript29_ENSMUGG00000013592;transcript8_ENSPEMG00000024651;transcript8_ENSNGAG00000018584;transcript7_ENSNGAG00000018584;transcript9_ENSNGAG00000018584;transcript10_ENSNGAG00000018584;transcript18_ENSNGAG00000018584;transcript19_ENSNGAG00000018584;transcript15_ENSSTOG00000019743
transcript2_ENSMLUG00000027828;1.0;1.0;1.0;0.608;0.649;1.0;0.553;0.388;0.847;0.845;0.812;0.819;1.0
transcript2_ENSSTOG00000019743;1.0;1.0;1.0;0.605;0.647;1.0;0.546;0.38;0.835;0.833;0.799;0.808;1.0
transcript17_ENSMUGG00000013649;1.0;1.0;1.0;0.991;0.991;1.0;0.815;0.569;0.928;0.924;0.924;0.924;1.0
transcript17_ENSMUGG00000013592;0.608;0.605;0.991;1.0;0.95;0.942;0.768;0.548;0.651;0.648;0.677;0.669;0.605
transcript29_ENSMUGG00000013592;0.649;0.647;0.991;0.95;1.0;0.994;0.805;0.574;0.686;0.683;0.713;0.705;0.647
transcript8_ENSPEMG00000024651;1.0;1.0;1.0;0.942;0.994;1.0;0.847;0.61;0.924;0.919;0.919;0.919;1.0
transcript8_ENSNGAG00000018584;0.553;0.546;0.815;0.768;0.805;0.847;1.0;0.698;0.658;0.66;0.69;0.682;0.546
transcript7_ENSNGAG00000018584;0.388;0.38;0.569;0.548;0.574;0.61;0.698;1.0;0.457;0.459;0.48;0.474;0.38
transcript9_ENSNGAG00000018584;0.847;0.835;0.928;0.651;0.686;0.924;0.658;0.457;1.0;0.996;0.955;0.966;0.835
transcript10_ENSNGAG00000018584;0.845;0.833;0.924;0.648;0.683;0.919;0.66;0.459;0.996;1.0;0.959;0.97;0.833
transcript18_ENSNGAG00000018584;0.812;0.799;0.924;0.677;0.713;0.919;0.69;0.48;0.955;0.959;1.0;0.989;0.799
transcript19_ENSNGAG00000018584;0.819;0.808;0.924;0.669;0.705;0.919;0.682;0.474;0.966;0.97;0.989;1.0;0.808
transcript15_ENSSTOG00000019743;1.0;1.0;1.0;0.605;0.647;1.0;0.546;0.38;0.835;0.833;0.799;0.808;1.0
