;ENSCAFT00000012325_90_90;ENSCAFT00000012333_90_90;ENST00000295951_90_90;ENST00000295952_90_90;ENST00000383718_90_90;ENST00000416658_90_90;ENST00000417128_90_90;ENST00000428312_90_90;ENST00000438794_90_90;ENST00000449503_90_90;ENST00000460223_90_90;ENST00000461354_90_90;ENST00000465203_90_90;ENST00000466255_90_90;ENST00000494088_90_90;ENST00000495364_90_90;ENSMUST00000038522_90_90;ENSMUST00000090359_90_90;ENSMUST00000102956_90_90;ENSMUST00000112330_90_90;ENSMUST00000112331_90_90;ENSMUST00000139075_90_90;ENSMUST00000142679_90_90;ENSMUST00000145738_90_90;ENSMUST00000146438_90_90
ENSCAFT00000012325_90_90;1.0;0.88;0.704;0.704;0.519;0.458;0.52;0.741;0.308;0.667;0.083;0.125;0.36;0.125;0.292;0.28;0.88;0.808;0.88;0.731;0.76;0.846;0.458;0.64;0.292
ENSCAFT00000012333_90_90;0.88;1.0;0.731;0.731;0.538;0.417;0.48;0.769;0.32;0.76;0.042;0.13;0.32;0.13;0.25;0.348;0.84;0.84;0.84;0.833;0.792;0.88;0.417;0.739;0.25
ENST00000295951_90_90;0.704;0.731;1.0;1.0;0.56;0.435;0.565;0.957;0.391;0.955;0.043;0.136;0.391;0.136;0.261;0.364;0.731;0.875;0.731;0.87;0.826;0.84;0.435;0.625;0.261
ENST00000295952_90_90;0.704;0.731;1.0;1.0;0.56;0.435;0.565;0.957;0.391;0.955;0.043;0.136;0.391;0.136;0.261;0.364;0.731;0.875;0.731;0.87;0.826;0.84;0.435;0.625;0.261
ENST00000383718_90_90;0.519;0.538;0.56;0.56;1.0;0.167;0.292;0.6;0.227;0.583;0.0;0.053;0.5;0.053;0.043;0.042;0.6;0.538;0.6;0.52;0.423;0.577;0.167;0.36;0.333
ENST00000416658_90_90;0.458;0.417;0.435;0.435;0.167;1.0;0.667;0.417;0.5;0.455;0.182;0.273;0.105;0.273;0.636;0.583;0.478;0.417;0.478;0.455;0.476;0.4;1.0;0.556;0.059
ENST00000417128_90_90;0.52;0.48;0.565;0.565;0.292;0.667;1.0;0.542;0.6;0.591;0.143;0.214;0.263;0.214;0.5;0.467;0.542;0.48;0.542;0.522;0.545;0.462;0.667;0.632;0.05
ENST00000428312_90_90;0.741;0.769;0.957;0.957;0.6;0.417;0.542;1.0;0.375;0.913;0.042;0.13;0.375;0.13;0.25;0.348;0.769;0.917;0.769;0.833;0.792;0.88;0.417;0.667;0.25
ENST00000438794_90_90;0.308;0.32;0.391;0.391;0.227;0.5;0.6;0.375;1.0;0.409;0.091;0.182;0.176;0.3;0.417;0.385;0.32;0.32;0.32;0.348;0.364;0.308;0.5;0.421;0.0
ENST00000449503_90_90;0.667;0.76;0.955;0.955;0.583;0.455;0.591;0.913;0.409;1.0;0.045;0.143;0.348;0.143;0.273;0.381;0.76;0.833;0.76;0.909;0.783;0.8;0.455;0.652;0.217
ENST00000460223_90_90;0.083;0.042;0.043;0.043;0.0;0.182;0.143;0.042;0.091;0.045;1.0;0.0;0.0;0.0;0.286;0.111;0.087;0.042;0.087;0.045;0.048;0.04;0.182;0.056;0.0
ENST00000461354_90_90;0.125;0.13;0.136;0.136;0.053;0.273;0.214;0.13;0.182;0.143;0.0;1.0;0.0;0.5;0.25;0.375;0.13;0.13;0.13;0.143;0.15;0.125;0.273;0.176;0.0
ENST00000465203_90_90;0.36;0.32;0.391;0.391;0.5;0.105;0.263;0.375;0.176;0.348;0.0;0.0;1.0;0.0;0.0;0.0;0.32;0.32;0.32;0.292;0.364;0.36;0.105;0.286;0.545
ENST00000466255_90_90;0.125;0.13;0.136;0.136;0.053;0.273;0.214;0.13;0.3;0.143;0.0;0.5;0.0;1.0;0.429;0.375;0.13;0.13;0.13;0.143;0.15;0.125;0.273;0.176;0.0
ENST00000494088_90_90;0.292;0.25;0.261;0.261;0.043;0.636;0.5;0.25;0.417;0.273;0.286;0.25;0.0;0.429;1.0;0.667;0.304;0.25;0.304;0.273;0.286;0.24;0.636;0.333;0.0
ENST00000495364_90_90;0.28;0.348;0.364;0.364;0.042;0.583;0.467;0.348;0.385;0.381;0.111;0.375;0.0;0.375;0.667;1.0;0.292;0.348;0.292;0.381;0.4;0.333;0.583;0.471;0.0
ENSMUST00000038522_90_90;0.88;0.84;0.731;0.731;0.6;0.478;0.542;0.769;0.32;0.76;0.087;0.13;0.32;0.13;0.304;0.292;1.0;0.84;1.0;0.833;0.72;0.88;0.478;0.667;0.25
ENSMUST00000090359_90_90;0.808;0.84;0.875;0.875;0.538;0.417;0.48;0.917;0.32;0.833;0.042;0.13;0.32;0.13;0.25;0.348;0.84;1.0;0.84;0.913;0.87;0.958;0.417;0.739;0.25
ENSMUST00000102956_90_90;0.88;0.84;0.731;0.731;0.6;0.478;0.542;0.769;0.32;0.76;0.087;0.13;0.32;0.13;0.304;0.292;1.0;0.84;1.0;0.833;0.72;0.88;0.478;0.667;0.25
ENSMUST00000112330_90_90;0.731;0.833;0.87;0.87;0.52;0.455;0.522;0.833;0.348;0.909;0.045;0.143;0.292;0.143;0.273;0.381;0.833;0.913;0.833;1.0;0.864;0.875;0.455;0.727;0.217
ENSMUST00000112331_90_90;0.76;0.792;0.826;0.826;0.423;0.476;0.545;0.792;0.364;0.783;0.048;0.15;0.364;0.15;0.286;0.4;0.72;0.87;0.72;0.864;1.0;0.833;0.476;0.762;0.286
ENSMUST00000139075_90_90;0.846;0.88;0.84;0.84;0.577;0.4;0.462;0.88;0.308;0.8;0.04;0.125;0.36;0.125;0.24;0.333;0.88;0.958;0.88;0.875;0.833;1.0;0.4;0.708;0.292
ENSMUST00000142679_90_90;0.458;0.417;0.435;0.435;0.167;1.0;0.667;0.417;0.5;0.455;0.182;0.273;0.105;0.273;0.636;0.583;0.478;0.417;0.478;0.455;0.476;0.4;1.0;0.556;0.059
ENSMUST00000145738_90_90;0.64;0.739;0.625;0.625;0.36;0.556;0.632;0.667;0.421;0.652;0.056;0.176;0.286;0.176;0.333;0.471;0.667;0.739;0.667;0.727;0.762;0.708;0.556;1.0;0.143
ENSMUST00000146438_90_90;0.292;0.25;0.261;0.261;0.333;0.059;0.05;0.25;0.0;0.217;0.0;0.0;0.545;0.0;0.0;0.0;0.25;0.25;0.25;0.217;0.286;0.292;0.059;0.143;1.0
