;transcript6_ENSMPUG00000020072;transcript6_ENSECAG00000007947;transcript7_ENSECAG00000007947;transcript7_ENSMLUG00000027828;transcript19_ENSECAG00000007947;transcript20_ENSECAG00000007947;transcript21_ENSECAG00000007947;transcript13_ENSMLUG00000027828;transcript15_ENSCGRG00015005362;transcript15_ENSCGRG00000018457;transcript15_ENSCGRG00001010245;transcript15_ENSPEMG00000024651;transcript15_ENSSTOG00000019743;transcript36_ENSCGRG00000018457;transcript25_ENSCPOG00000024843
transcript6_ENSMPUG00000020072;1.0;0.926;0.908;0.871;0.824;0.926;0.782;0.603;0.806;0.806;0.806;0.76;0.765;0.76;0.838
transcript6_ENSECAG00000007947;0.926;1.0;0.966;0.887;0.863;1.0;0.821;0.589;0.792;0.792;0.792;0.742;0.766;0.754;0.825
transcript7_ENSECAG00000007947;0.908;0.966;1.0;0.917;0.894;0.966;0.85;0.609;0.818;0.818;0.818;0.767;0.792;0.779;0.851
transcript7_ENSMLUG00000027828;0.871;0.887;0.917;1.0;0.822;0.887;0.782;0.671;0.858;0.858;0.858;0.811;0.791;0.826;0.881
transcript19_ENSECAG00000007947;0.824;0.863;0.894;0.822;1.0;0.863;0.95;0.629;0.897;0.897;0.897;0.841;0.874;0.855;0.786
transcript20_ENSECAG00000007947;0.926;1.0;0.966;0.887;0.863;1.0;0.821;0.589;0.792;0.792;0.792;0.742;0.766;0.754;0.825
transcript21_ENSECAG00000007947;0.782;0.821;0.85;0.782;0.95;0.821;1.0;0.657;0.861;0.861;0.861;0.805;0.844;0.887;0.747
transcript13_ENSMLUG00000027828;0.603;0.589;0.609;0.671;0.629;0.589;0.657;1.0;0.662;0.662;0.662;0.629;0.628;0.708;0.594
transcript15_ENSCGRG00015005362;0.806;0.792;0.818;0.858;0.897;0.792;0.861;0.662;1.0;1.0;1.0;0.933;0.87;0.933;0.868
transcript15_ENSCGRG00000018457;0.806;0.792;0.818;0.858;0.897;0.792;0.861;0.662;1.0;1.0;1.0;0.933;0.87;0.933;0.868
transcript15_ENSCGRG00001010245;0.806;0.792;0.818;0.858;0.897;0.792;0.861;0.662;1.0;1.0;1.0;0.933;0.87;0.933;0.868
transcript15_ENSPEMG00000024651;0.76;0.742;0.767;0.811;0.841;0.742;0.805;0.629;0.933;0.933;0.933;1.0;0.827;0.865;0.809
transcript15_ENSSTOG00000019743;0.765;0.766;0.792;0.791;0.874;0.766;0.844;0.628;0.87;0.87;0.87;0.827;1.0;0.844;0.755
transcript36_ENSCGRG00000018457;0.76;0.754;0.779;0.826;0.855;0.754;0.887;0.708;0.933;0.933;0.933;0.865;0.844;1.0;0.809
transcript25_ENSCPOG00000024843;0.838;0.825;0.851;0.881;0.786;0.825;0.747;0.594;0.868;0.868;0.868;0.809;0.755;0.809;1.0
