;ENSCAFT00000018602_90_90;ENST00000248933_90_90;ENST00000343706_90_90;ENST00000360929_90_90;ENST00000402979_90_90;ENST00000403121_90_90;ENST00000404234_90_90;ENST00000529632_90_90;ENST00000629590_90_90;ENSMUST00000075387_90_90;ENSMUST00000079491_90_90;ENSMUST00000197425_90_90;ENSMUST00000200575_90_90;ENSMUST00000212480_90_90;ENSMUST00000212758_90_90
ENSCAFT00000018602_90_90;;0.853;0.791;0.792;0.531;0.465;0.84;0.809;0.835;0.708;0.723;0.663;0.421;0.737;0.658
ENST00000248933_90_90;0.853;;;;;;;;;0.65;0.664;0.607;0.42;0.678;0.602
ENST00000343706_90_90;0.791;;;;;;;;;0.588;0.602;0.619;0.354;0.616;0.644
ENST00000360929_90_90;0.792;;;;;;;;;0.589;0.603;0.545;0.425;0.616;0.567
ENST00000402979_90_90;0.531;;;;;;;;;0.569;0.593;0.513;0.699;0.584;0.508
ENST00000403121_90_90;0.465;;;;;;;;;0.484;0.508;0.516;0.55;0.501;0.553
ENST00000404234_90_90;0.84;;;;;;;;;0.656;0.67;0.612;0.422;0.664;0.608
ENST00000529632_90_90;0.809;;;;;;;;;0.644;0.637;0.6;0.387;0.633;0.603
ENST00000629590_90_90;0.835;;;;;;;;;0.633;0.646;0.588;0.4;0.659;0.611
ENSMUST00000075387_90_90;0.708;0.65;0.588;0.589;0.569;0.484;0.656;0.644;0.633;;;;;;
ENSMUST00000079491_90_90;0.723;0.664;0.602;0.603;0.593;0.508;0.67;0.637;0.646;;;;;;
ENSMUST00000197425_90_90;0.663;0.607;0.619;0.545;0.513;0.516;0.612;0.6;0.588;;;;;;
ENSMUST00000200575_90_90;0.421;0.42;0.354;0.425;0.699;0.55;0.422;0.387;0.4;;;;;;
ENSMUST00000212480_90_90;0.737;0.678;0.616;0.616;0.584;0.501;0.664;0.633;0.659;;;;;;
ENSMUST00000212758_90_90;0.658;0.602;0.644;0.567;0.508;0.553;0.608;0.603;0.611;;;;;;
