;ENSCAFT00000011893_90_90;ENST00000265997_90_90;ENST00000412050_90_90;ENST00000614585_90_90;ENSMUST00000079754_90_90;ENSMUST00000123727_90_90;ENSMUST00000124158_90_90;ENSMUST00000126188_90_90;ENSMUST00000126781_90_90;ENSMUST00000128642_90_90;ENSMUST00000131917_90_90;ENSMUST00000132580_90_90;ENSMUST00000133988_90_90;ENSMUST00000136286_90_90;ENSMUST00000142973_90_90;ENSMUST00000154376_90_90
ENSCAFT00000011893_90_90;1.0;0.737;0.778;0.737;0.75;0.778;0.333;0.737;0.65;0.176;0.235;0.75;0.412;0.737;0.294;0.75
ENST00000265997_90_90;0.737;1.0;0.833;1.0;0.714;0.65;0.389;0.619;0.545;0.105;0.158;0.714;0.316;0.789;0.211;0.714
ENST00000412050_90_90;0.778;0.833;1.0;0.833;0.667;0.778;0.333;0.737;0.65;0.111;0.167;0.667;0.333;0.65;0.222;0.667
ENST00000614585_90_90;0.737;1.0;0.833;1.0;0.714;0.65;0.389;0.619;0.545;0.105;0.158;0.714;0.316;0.789;0.211;0.714
ENSMUST00000079754_90_90;0.75;0.714;0.667;0.714;1.0;0.842;0.421;0.895;0.8;0.211;0.263;1.0;0.421;0.895;0.316;1.0
ENSMUST00000123727_90_90;0.778;0.65;0.778;0.65;0.842;1.0;0.333;0.941;0.833;0.25;0.312;0.842;0.5;0.833;0.375;0.842
ENSMUST00000124158_90_90;0.333;0.389;0.333;0.389;0.421;0.333;1.0;0.316;0.25;0.0;0.0;0.421;0.0;0.389;0.0;0.421
ENSMUST00000126188_90_90;0.737;0.619;0.737;0.619;0.895;0.941;0.316;1.0;0.889;0.235;0.294;0.895;0.471;0.789;0.353;0.895
ENSMUST00000126781_90_90;0.65;0.545;0.65;0.545;0.8;0.833;0.25;0.889;1.0;0.235;0.294;0.8;0.471;0.7;0.353;0.8
ENSMUST00000128642_90_90;0.176;0.105;0.111;0.105;0.211;0.25;0.0;0.235;0.235;1.0;0.8;0.211;0.5;0.235;0.667;0.211
ENSMUST00000131917_90_90;0.235;0.158;0.167;0.158;0.263;0.312;0.0;0.294;0.294;0.8;1.0;0.263;0.625;0.294;0.833;0.263
ENSMUST00000132580_90_90;0.75;0.714;0.667;0.714;1.0;0.842;0.421;0.895;0.8;0.211;0.263;1.0;0.421;0.895;0.316;1.0
ENSMUST00000133988_90_90;0.412;0.316;0.333;0.316;0.421;0.5;0.0;0.471;0.471;0.5;0.625;0.421;1.0;0.471;0.75;0.421
ENSMUST00000136286_90_90;0.737;0.789;0.65;0.789;0.895;0.833;0.389;0.789;0.7;0.235;0.294;0.895;0.471;1.0;0.353;0.895
ENSMUST00000142973_90_90;0.294;0.211;0.222;0.211;0.316;0.375;0.0;0.353;0.353;0.667;0.833;0.316;0.75;0.353;1.0;0.316
ENSMUST00000154376_90_90;0.75;0.714;0.667;0.714;1.0;0.842;0.421;0.895;0.8;0.211;0.263;1.0;0.421;0.895;0.316;1.0
