;ENSCAFT00000008902_90_90;ENSCAFT00000008903_90_90;ENST00000343600_90_90;ENST00000345429_90_90;ENST00000376673_90_90;ENST00000397601_90_90;ENST00000449284_90_90;ENST00000469707_90_90;ENSMUST00000088419_90_90;ENSMUST00000167459_90_90
ENSCAFT00000008902_90_90;1.0;0.572;0.645;0.95;0.744;0.645;0.296;0.451;0.94;0.94
ENSCAFT00000008903_90_90;0.572;1.0;0.936;0.649;0.833;0.936;0.17;0.497;0.744;0.744
ENST00000343600_90_90;0.645;0.936;1.0;0.691;0.884;1.0;0.204;0.478;0.744;0.8
ENST00000345429_90_90;0.95;0.649;0.691;1.0;0.789;0.691;0.322;0.439;0.926;1.0
ENST00000376673_90_90;0.744;0.833;0.884;0.789;1.0;0.884;0.181;0.442;0.794;0.857
ENST00000397601_90_90;0.645;0.936;1.0;0.691;0.884;1.0;0.204;0.478;0.744;0.8
ENST00000449284_90_90;0.296;0.17;0.204;0.322;0.181;0.204;1.0;0.0;0.391;0.316
ENST00000469707_90_90;0.451;0.497;0.478;0.439;0.442;0.478;0.0;1.0;0.442;0.47
ENSMUST00000088419_90_90;0.94;0.744;0.744;0.926;0.794;0.744;0.391;0.442;1.0;0.926
ENSMUST00000167459_90_90;0.94;0.744;0.8;1.0;0.857;0.8;0.316;0.47;0.926;1.0
