;transcript7_ENSMSIG00000000513;transcript38_ENSMSIG00000000513;transcript38_MGP-SPRETEiJ-G0021131;transcript38_ENSMUSG00000054036;transcript52_ENSMSIG00000000513;transcript52_MGP-SPRETEiJ-G0021131;transcript58_ENSMSIG00000000513;transcript58_ENSMUSG00000054036;transcript63_MGP-SPRETEiJ-G0021131;transcript54_ENSMUSG00000054036;transcript55_ENSMUSG00000054036;transcript8_MGP-CAROLIEiJ-G0020234;transcript8_ENSRNOG00000031503;transcript47_MGP-CAROLIEiJ-G0020234;transcript39_MGP-PahariEiJ-G0020237;transcript39_ENSRNOG00000031503;transcript31_ENSRNOG00000031503;transcript32_ENSRNOG00000031503;transcript32_ENSMUGG00000013649;transcript32_ENSMUGG00000013592;transcript50_ENSRNOG00000031503;transcript50_ENSMUGG00000013649;transcript12_ENSMUGG00000013649
transcript7_ENSMSIG00000000513;1.0;0.392;0.373;0.392;0.408;0.388;0.56;0.56;0.269;0.636;0.618;0.603;0.443;0.688;0.532;0.423;0.437;0.437;0.575;0.568;0.456;0.597;0.59
transcript38_ENSMSIG00000000513;0.392;1.0;0.96;1.0;0.92;0.88;0.425;0.425;0.561;0.338;0.369;0.25;0.218;0.359;0.311;0.29;0.306;0.306;0.312;0.309;0.258;0.275;0.287
transcript38_MGP-SPRETEiJ-G0021131;0.373;0.96;1.0;0.96;0.88;0.917;0.4;0.4;0.575;0.323;0.354;0.234;0.2;0.344;0.297;0.274;0.29;0.29;0.3;0.296;0.242;0.263;0.275
transcript38_ENSMUSG00000054036;0.392;1.0;0.96;1.0;0.92;0.88;0.425;0.425;0.561;0.338;0.369;0.25;0.218;0.359;0.311;0.29;0.306;0.306;0.312;0.309;0.258;0.275;0.287
transcript52_ENSMSIG00000000513;0.408;0.92;0.88;0.92;1.0;0.957;0.447;0.447;0.512;0.349;0.338;0.258;0.226;0.371;0.284;0.258;0.274;0.274;0.287;0.284;0.246;0.266;0.263
transcript52_MGP-SPRETEiJ-G0021131;0.388;0.88;0.917;0.88;0.957;1.0;0.421;0.421;0.525;0.333;0.323;0.242;0.208;0.355;0.27;0.242;0.258;0.258;0.275;0.272;0.23;0.253;0.25
transcript58_ENSMSIG00000000513;0.56;0.425;0.4;0.425;0.447;0.421;1.0;1.0;0.291;0.516;0.5;0.403;0.321;0.492;0.387;0.338;0.333;0.333;0.4;0.395;0.308;0.38;0.375
transcript58_ENSMUSG00000054036;0.56;0.425;0.4;0.425;0.447;0.421;1.0;1.0;0.291;0.516;0.5;0.403;0.321;0.492;0.387;0.338;0.333;0.333;0.4;0.395;0.308;0.38;0.375
transcript63_MGP-SPRETEiJ-G0021131;0.269;0.561;0.575;0.561;0.512;0.525;0.291;0.291;1.0;0.578;0.609;0.446;0.397;0.53;0.48;0.446;0.439;0.439;0.487;0.481;0.394;0.45;0.463
transcript54_ENSMUSG00000054036;0.636;0.338;0.323;0.338;0.349;0.333;0.516;0.516;0.578;1.0;0.969;0.8;0.625;0.879;0.718;0.603;0.595;0.595;0.775;0.765;0.575;0.759;0.75
transcript55_ENSMUSG00000054036;0.618;0.369;0.354;0.369;0.338;0.323;0.5;0.5;0.609;0.969;1.0;0.776;0.606;0.853;0.744;0.63;0.622;0.622;0.8;0.79;0.581;0.762;0.775
transcript8_MGP-CAROLIEiJ-G0020234;0.603;0.25;0.234;0.25;0.258;0.242;0.403;0.403;0.446;0.8;0.776;1.0;0.644;0.887;0.628;0.528;0.521;0.521;0.688;0.679;0.521;0.692;0.684
transcript8_ENSRNOG00000031503;0.443;0.218;0.2;0.218;0.226;0.208;0.321;0.321;0.397;0.625;0.606;0.644;1.0;0.576;0.481;0.764;0.75;0.75;0.525;0.519;0.759;0.526;0.519
transcript47_MGP-CAROLIEiJ-G0020234;0.688;0.359;0.344;0.359;0.371;0.355;0.492;0.492;0.53;0.879;0.853;0.887;0.576;1.0;0.696;0.56;0.573;0.573;0.775;0.765;0.554;0.759;0.75
transcript39_MGP-PahariEiJ-G0020237;0.532;0.311;0.297;0.311;0.284;0.27;0.387;0.387;0.48;0.718;0.744;0.628;0.481;0.696;1.0;0.628;0.62;0.62;0.9;0.889;0.582;0.863;0.875
transcript39_ENSRNOG00000031503;0.423;0.29;0.274;0.29;0.258;0.242;0.338;0.338;0.446;0.603;0.63;0.528;0.764;0.56;0.628;1.0;0.982;0.982;0.688;0.679;0.929;0.65;0.662
transcript31_ENSRNOG00000031503;0.437;0.306;0.29;0.306;0.274;0.258;0.333;0.333;0.439;0.595;0.622;0.521;0.75;0.573;0.62;0.982;1.0;1.0;0.7;0.691;0.946;0.662;0.675
transcript32_ENSRNOG00000031503;0.437;0.306;0.29;0.306;0.274;0.258;0.333;0.333;0.439;0.595;0.622;0.521;0.75;0.573;0.62;0.982;1.0;1.0;0.7;0.691;0.946;0.662;0.675
transcript32_ENSMUGG00000013649;0.575;0.312;0.3;0.312;0.287;0.275;0.4;0.4;0.487;0.775;0.8;0.688;0.525;0.775;0.9;0.688;0.7;0.7;1.0;0.988;0.662;0.963;0.975
transcript32_ENSMUGG00000013592;0.568;0.309;0.296;0.309;0.284;0.272;0.395;0.395;0.481;0.765;0.79;0.679;0.519;0.765;0.889;0.679;0.691;0.691;0.988;1.0;0.654;0.951;0.963
transcript50_ENSRNOG00000031503;0.456;0.258;0.242;0.258;0.246;0.23;0.308;0.308;0.394;0.575;0.581;0.521;0.759;0.554;0.582;0.929;0.946;0.946;0.662;0.654;1.0;0.688;0.679
transcript50_ENSMUGG00000013649;0.597;0.275;0.263;0.275;0.266;0.253;0.38;0.38;0.45;0.759;0.762;0.692;0.526;0.759;0.863;0.65;0.662;0.662;0.963;0.951;0.688;1.0;0.987
transcript12_ENSMUGG00000013649;0.59;0.287;0.275;0.287;0.263;0.25;0.375;0.375;0.463;0.75;0.775;0.684;0.519;0.75;0.875;0.662;0.675;0.675;0.975;0.963;0.679;0.987;1.0
