;ENSCAFT00000013523_90_90;ENST00000339266_90_90;ENST00000340491_90_90;ENST00000373907_90_90;ENST00000373913_90_90;ENST00000401952_90_90;ENST00000475894_90_90;ENST00000482872_90_90;ENST00000489701_90_90;ENST00000495241_90_90;ENSMUST00000000094_90_90;ENSMUST00000070782_90_90;ENSMUST00000099145_90_90;ENSMUST00000109566_90_90;ENSMUST00000109567_90_90;ENSMUST00000109568_90_90;ENSMUST00000131157_90_90;ENSMUST00000137356_90_90;ENSMUST00000146412_90_90;ENSMUST00000169464_90_90;ENSMUST00000171030_90_90;ENSMUST00000177013_90_90
ENSCAFT00000013523_90_90;1.0;0.792;0.5;0.792;0.692;0.692;0.455;0.095;0.333;0.286;0.333;0.692;0.565;0.455;0.692;0.75;0.182;0.048;0.238;0.792;0.409;0.143
ENST00000339266_90_90;0.792;1.0;0.609;1.0;0.875;0.875;0.5;0.091;0.375;0.273;0.375;0.731;0.542;0.5;0.731;0.792;0.227;0.045;0.227;0.833;0.455;0.136
ENST00000340491_90_90;0.5;0.609;1.0;0.609;0.52;0.52;0.733;0.133;0.529;0.4;0.529;0.462;0.875;0.733;0.462;0.565;0.333;0.067;0.333;0.542;0.667;0.2
ENST00000373907_90_90;0.792;1.0;0.609;1.0;0.875;0.875;0.5;0.091;0.375;0.273;0.375;0.731;0.542;0.5;0.731;0.792;0.227;0.045;0.227;0.833;0.455;0.136
ENST00000373913_90_90;0.692;0.875;0.52;0.875;1.0;1.0;0.478;0.087;0.417;0.261;0.36;0.704;0.462;0.478;0.704;0.692;0.217;0.043;0.217;0.731;0.435;0.13
ENST00000401952_90_90;0.692;0.875;0.52;0.875;1.0;1.0;0.478;0.087;0.417;0.261;0.36;0.704;0.462;0.478;0.704;0.692;0.217;0.043;0.217;0.731;0.435;0.13
ENST00000475894_90_90;0.455;0.5;0.733;0.5;0.478;0.478;1.0;0.182;0.571;0.545;0.571;0.478;0.733;1.0;0.478;0.524;0.455;0.091;0.455;0.5;0.909;0.273
ENST00000482872_90_90;0.095;0.091;0.133;0.091;0.087;0.087;0.182;1.0;0.182;0.333;0.182;0.087;0.133;0.182;0.087;0.095;0.0;0.5;0.4;0.091;0.2;0.667
ENST00000489701_90_90;0.333;0.375;0.529;0.375;0.417;0.417;0.571;0.182;1.0;0.545;0.833;0.36;0.529;0.571;0.36;0.391;0.333;0.091;0.455;0.375;0.615;0.273
ENST00000495241_90_90;0.286;0.273;0.4;0.273;0.261;0.261;0.545;0.333;0.545;1.0;0.545;0.261;0.4;0.545;0.261;0.286;0.222;0.167;0.833;0.273;0.6;0.5
ENSMUST00000000094_90_90;0.333;0.375;0.529;0.375;0.36;0.36;0.571;0.182;0.833;0.545;1.0;0.417;0.529;0.571;0.417;0.391;0.333;0.091;0.455;0.375;0.615;0.273
ENSMUST00000070782_90_90;0.692;0.731;0.462;0.731;0.704;0.704;0.478;0.087;0.36;0.261;0.417;1.0;0.52;0.478;1.0;0.833;0.217;0.043;0.217;0.875;0.435;0.13
ENSMUST00000099145_90_90;0.565;0.542;0.875;0.542;0.462;0.462;0.733;0.133;0.529;0.4;0.529;0.52;1.0;0.733;0.52;0.636;0.333;0.067;0.333;0.609;0.667;0.2
ENSMUST00000109566_90_90;0.455;0.5;0.733;0.5;0.478;0.478;1.0;0.182;0.571;0.545;0.571;0.478;0.733;1.0;0.478;0.524;0.455;0.091;0.455;0.5;0.909;0.273
ENSMUST00000109567_90_90;0.692;0.731;0.462;0.731;0.704;0.704;0.478;0.087;0.36;0.261;0.417;1.0;0.52;0.478;1.0;0.833;0.217;0.043;0.217;0.875;0.435;0.13
ENSMUST00000109568_90_90;0.75;0.792;0.565;0.792;0.692;0.692;0.524;0.095;0.391;0.286;0.391;0.833;0.636;0.524;0.833;1.0;0.238;0.048;0.238;0.955;0.476;0.143
ENSMUST00000131157_90_90;0.182;0.227;0.333;0.227;0.217;0.217;0.455;0.0;0.333;0.222;0.333;0.217;0.333;0.455;0.217;0.238;1.0;0.0;0.111;0.227;0.5;0.0
ENSMUST00000137356_90_90;0.048;0.045;0.067;0.045;0.043;0.043;0.091;0.5;0.091;0.167;0.091;0.043;0.067;0.091;0.043;0.048;0.0;1.0;0.2;0.045;0.1;0.333
ENSMUST00000146412_90_90;0.238;0.227;0.333;0.227;0.217;0.217;0.455;0.4;0.455;0.833;0.455;0.217;0.333;0.455;0.217;0.238;0.111;0.2;1.0;0.227;0.5;0.6
ENSMUST00000169464_90_90;0.792;0.833;0.542;0.833;0.731;0.731;0.5;0.091;0.375;0.273;0.375;0.875;0.609;0.5;0.875;0.955;0.227;0.045;0.227;1.0;0.455;0.136
ENSMUST00000171030_90_90;0.409;0.455;0.667;0.455;0.435;0.435;0.909;0.2;0.615;0.6;0.615;0.435;0.667;0.909;0.435;0.476;0.5;0.1;0.5;0.455;1.0;0.3
ENSMUST00000177013_90_90;0.143;0.136;0.2;0.136;0.13;0.13;0.273;0.667;0.273;0.5;0.273;0.13;0.2;0.273;0.13;0.143;0.0;0.333;0.6;0.136;0.3;1.0
