;ENSCAFT00000039408_90_90;ENST00000246194_90_90;ENST00000333552_90_90;ENST00000375114_90_90;ENST00000413297_90_90;ENST00000442805_90_90;ENST00000448364_90_90;ENSMUST00000029120_90_90;ENSMUST00000058089_90_90;ENSMUST00000109701_90_90;ENSMUST00000116389_90_90;ENSMUST00000125872_90_90;ENSMUST00000129137_90_90;ENSMUST00000140713_90_90
ENSCAFT00000039408_90_90;1.0;1.0;0.538;0.923;0.154;0.769;0.462;1.0;0.923;0.923;1.0;0.308;0.538;0.923
ENST00000246194_90_90;1.0;1.0;0.5;0.938;0.125;0.812;0.375;1.0;0.933;0.933;1.0;0.267;0.467;0.933
ENST00000333552_90_90;0.538;0.5;1.0;0.438;0.111;0.5;0.4;0.467;0.4;0.4;0.467;0.222;0.556;0.5
ENST00000375114_90_90;0.923;0.938;0.438;1.0;0.133;0.867;0.312;0.933;1.0;1.0;0.933;0.286;0.5;0.867
ENST00000413297_90_90;0.154;0.125;0.111;0.133;1.0;0.154;0.333;0.133;0.143;0.143;0.133;0.5;0.286;0.143
ENST00000442805_90_90;0.769;0.812;0.5;0.867;0.154;1.0;0.357;0.8;0.857;0.857;0.8;0.333;0.583;0.857
ENST00000448364_90_90;0.462;0.375;0.4;0.312;0.333;0.357;1.0;0.4;0.333;0.333;0.4;0.667;0.625;0.429
ENSMUST00000029120_90_90;1.0;1.0;0.467;0.933;0.133;0.8;0.4;1.0;0.941;0.941;1.0;0.235;0.412;0.941
ENSMUST00000058089_90_90;0.923;0.933;0.4;1.0;0.143;0.857;0.333;0.941;1.0;1.0;0.941;0.25;0.438;0.882
ENSMUST00000109701_90_90;0.923;0.933;0.4;1.0;0.143;0.857;0.333;0.941;1.0;1.0;0.941;0.25;0.438;0.882
ENSMUST00000116389_90_90;1.0;1.0;0.467;0.933;0.133;0.8;0.4;1.0;0.941;0.941;1.0;0.235;0.412;0.941
ENSMUST00000125872_90_90;0.308;0.267;0.222;0.286;0.5;0.333;0.667;0.235;0.25;0.25;0.235;1.0;0.571;0.25
ENSMUST00000129137_90_90;0.538;0.467;0.556;0.5;0.286;0.583;0.625;0.412;0.438;0.438;0.412;0.571;1.0;0.438
ENSMUST00000140713_90_90;0.923;0.933;0.5;0.867;0.143;0.857;0.429;0.941;0.882;0.882;0.941;0.25;0.438;1.0
