;ENSCAFT00000031829_90_90;ENST00000327812_90_90;ENST00000372546_90_90;ENST00000406974_90_90;ENST00000412363_90_90;ENSMUST00000028209_90_90;ENSMUST00000113612_90_90;ENSMUST00000123202_90_90;ENSMUST00000137248_90_90;ENSMUST00000155196_90_90
ENSCAFT00000031829_90_90;1.0;0.545;1.0;0.909;0.455;1.0;0.9;0.4;0.5;0.4
ENST00000327812_90_90;0.545;1.0;0.545;0.6;0.833;0.5;0.556;0.125;1.0;0.8
ENST00000372546_90_90;1.0;0.545;1.0;0.909;0.455;1.0;0.9;0.4;0.5;0.4
ENST00000406974_90_90;0.909;0.6;0.909;1.0;0.5;0.9;1.0;0.3;0.556;0.444
ENST00000412363_90_90;0.455;0.833;0.455;0.5;1.0;0.4;0.444;0.143;0.8;1.0
ENSMUST00000028209_90_90;1.0;0.5;1.0;0.9;0.4;1.0;0.909;0.364;0.545;0.455
ENSMUST00000113612_90_90;0.9;0.556;0.9;1.0;0.444;0.909;1.0;0.273;0.6;0.5
ENSMUST00000123202_90_90;0.4;0.125;0.4;0.3;0.143;0.364;0.273;1.0;0.111;0.125
ENSMUST00000137248_90_90;0.5;1.0;0.5;0.556;0.8;0.545;0.6;0.111;1.0;0.833
ENSMUST00000155196_90_90;0.4;0.8;0.4;0.444;1.0;0.455;0.5;0.125;0.833;1.0
