;ENSCAFT00000022211_90_90;ENST00000324778_90_90;ENST00000367632_90_90;ENST00000367634_90_90;ENST00000367635_90_90;ENST00000415888_90_90;ENSMUST00000027886_90_90;ENSMUST00000063199_90_90;ENSMUST00000171292_90_90;ENSMUST00000172057_90_90;ENSMUST00000185198_90_90;ENSMUST00000188656_90_90;ENSMUST00000189316_90_90;ENSMUST00000189648_90_90;ENSMUST00000190648_90_90;ENSMUST00000190762_90_90;ENSMUST00000191605_90_90;ENSMUST00000192343_90_90
ENSCAFT00000022211_90_90;1.0;0.478;0.261;0.993;0.951;0.146;0.507;0.49;0.49;0.445;0.505;0.495;0.542;0.12;0.514;0.23;0.49;0.126
ENST00000324778_90_90;0.478;1.0;0.0;0.478;0.457;0.119;0.472;0.451;0.451;0.48;0.469;0.545;0.509;0.106;0.575;0.31;0.451;0.117
ENST00000367632_90_90;0.261;0.0;1.0;0.262;0.25;0.0;0.046;0.044;0.044;0.046;0.045;0.0;0.052;0.0;0.0;0.0;0.044;0.0
ENST00000367634_90_90;0.993;0.478;0.262;1.0;0.955;0.147;0.508;0.491;0.491;0.445;0.505;0.496;0.543;0.12;0.515;0.23;0.491;0.126
ENST00000367635_90_90;0.951;0.457;0.25;0.955;1.0;0.141;0.491;0.475;0.475;0.431;0.488;0.478;0.523;0.115;0.496;0.22;0.475;0.12
ENST00000415888_90_90;0.146;0.119;0.0;0.147;0.141;1.0;0.174;0.167;0.167;0.177;0.173;0.201;0.188;0.0;0.212;0.0;0.167;0.0
ENSMUST00000027886_90_90;0.507;0.472;0.046;0.508;0.491;0.174;1.0;0.956;0.956;0.897;0.863;0.77;0.818;0.119;0.805;0.228;0.956;0.124
ENSMUST00000063199_90_90;0.49;0.451;0.044;0.491;0.475;0.167;0.956;1.0;1.0;0.941;0.906;0.813;0.861;0.114;0.77;0.218;1.0;0.119
ENSMUST00000171292_90_90;0.49;0.451;0.044;0.491;0.475;0.167;0.956;1.0;1.0;0.941;0.906;0.813;0.861;0.114;0.77;0.218;1.0;0.119
ENSMUST00000172057_90_90;0.445;0.48;0.046;0.445;0.431;0.177;0.897;0.941;0.941;1.0;0.848;0.755;0.803;0.054;0.711;0.158;0.941;0.06
ENSMUST00000185198_90_90;0.505;0.469;0.045;0.505;0.488;0.173;0.863;0.906;0.906;0.848;1.0;0.845;0.894;0.118;0.799;0.226;0.906;0.123
ENSMUST00000188656_90_90;0.495;0.545;0.0;0.496;0.478;0.201;0.77;0.813;0.813;0.755;0.845;1.0;0.917;0.137;0.947;0.262;0.813;0.143
ENSMUST00000189316_90_90;0.542;0.509;0.052;0.543;0.523;0.188;0.818;0.861;0.861;0.803;0.894;0.917;1.0;0.128;0.867;0.245;0.861;0.134
ENSMUST00000189648_90_90;0.12;0.106;0.0;0.12;0.115;0.0;0.119;0.114;0.114;0.054;0.118;0.137;0.128;1.0;0.145;0.522;0.114;0.859
ENSMUST00000190648_90_90;0.514;0.575;0.0;0.515;0.496;0.212;0.805;0.77;0.77;0.711;0.799;0.947;0.867;0.145;1.0;0.277;0.77;0.151
ENSMUST00000190762_90_90;0.23;0.31;0.0;0.23;0.22;0.0;0.228;0.218;0.218;0.158;0.226;0.262;0.245;0.522;0.277;1.0;0.218;0.525
ENSMUST00000191605_90_90;0.49;0.451;0.044;0.491;0.475;0.167;0.956;1.0;1.0;0.941;0.906;0.813;0.861;0.114;0.77;0.218;1.0;0.119
ENSMUST00000192343_90_90;0.126;0.117;0.0;0.126;0.12;0.0;0.124;0.119;0.119;0.06;0.123;0.143;0.134;0.859;0.151;0.525;0.119;1.0
