;ENSCAFT00000000625_90_90;ENST00000367378_90_90;ENST00000367380_90_90;ENST00000367384_90_90;ENST00000460828_90_90;ENST00000464889_90_90;ENST00000484601_90_90;ENST00000486585_90_90;ENST00000494411_90_90;ENST00000495487_90_90;ENST00000544496_90_90;ENSMUST00000159917_90_90;ENSMUST00000159977_90_90;ENSMUST00000161123_90_90;ENSMUST00000161428_90_90;ENSMUST00000162606_90_90;ENSMUST00000162682_90_90;ENSMUST00000163085_90_90
ENSCAFT00000000625_90_90;1.0;0.98;0.861;0.991;0.375;0.98;0.37;0.153;0.362;0.334;0.859;0.983;0.077;0.328;0.477;0.993;0.228;0.934
ENST00000367378_90_90;0.98;1.0;0.877;0.98;0.379;1.0;0.374;0.154;0.367;0.337;0.877;0.995;0.077;0.327;0.478;0.976;0.229;0.946
ENST00000367380_90_90;0.861;0.877;1.0;0.859;0.26;0.877;0.256;0.174;0.251;0.271;0.754;0.875;0.0;0.211;0.368;0.857;0.159;0.826
ENST00000367384_90_90;0.991;0.98;0.859;1.0;0.378;0.98;0.373;0.154;0.365;0.336;0.859;0.976;0.077;0.326;0.477;0.991;0.228;0.927
ENST00000460828_90_90;0.375;0.379;0.26;0.378;1.0;0.379;0.839;0.337;0.803;0.115;0.43;0.376;0.181;0.733;0.132;0.375;0.134;0.328
ENST00000464889_90_90;0.98;1.0;0.877;0.98;0.379;1.0;0.374;0.154;0.367;0.337;0.877;0.995;0.077;0.327;0.478;0.976;0.229;0.946
ENST00000484601_90_90;0.37;0.374;0.256;0.373;0.839;0.374;1.0;0.327;0.78;0.113;0.424;0.371;0.185;0.885;0.13;0.37;0.131;0.324
ENST00000486585_90_90;0.153;0.154;0.174;0.154;0.337;0.154;0.327;1.0;0.314;0.0;0.174;0.153;0.0;0.356;0.0;0.153;0.0;0.16
ENST00000494411_90_90;0.362;0.367;0.251;0.365;0.803;0.367;0.78;0.314;1.0;0.11;0.414;0.364;0.168;0.681;0.127;0.362;0.127;0.318
ENST00000495487_90_90;0.334;0.337;0.271;0.336;0.115;0.337;0.113;0.0;0.11;1.0;0.214;0.335;0.226;0.119;0.54;0.334;0.678;0.353
ENST00000544496_90_90;0.859;0.877;0.754;0.859;0.43;0.877;0.424;0.174;0.414;0.214;1.0;0.873;0.088;0.371;0.366;0.855;0.115;0.824
ENSMUST00000159917_90_90;0.983;0.995;0.875;0.976;0.376;0.995;0.371;0.153;0.364;0.335;0.873;1.0;0.078;0.33;0.48;0.98;0.23;0.951
ENSMUST00000159977_90_90;0.077;0.077;0.0;0.077;0.181;0.077;0.185;0.0;0.168;0.226;0.088;0.078;1.0;0.21;0.126;0.078;0.335;0.082
ENSMUST00000161123_90_90;0.328;0.327;0.211;0.326;0.733;0.327;0.885;0.356;0.681;0.119;0.371;0.33;0.21;1.0;0.139;0.329;0.145;0.342
ENSMUST00000161428_90_90;0.477;0.478;0.368;0.477;0.132;0.478;0.13;0.0;0.127;0.54;0.366;0.48;0.126;0.139;1.0;0.478;0.372;0.502
ENSMUST00000162606_90_90;0.993;0.976;0.857;0.991;0.375;0.976;0.37;0.153;0.362;0.334;0.855;0.98;0.078;0.329;0.478;1.0;0.23;0.932
ENSMUST00000162682_90_90;0.228;0.229;0.159;0.228;0.134;0.229;0.131;0.0;0.127;0.678;0.115;0.23;0.335;0.145;0.372;0.23;1.0;0.242
ENSMUST00000163085_90_90;0.934;0.946;0.826;0.927;0.328;0.946;0.324;0.16;0.318;0.353;0.824;0.951;0.082;0.342;0.502;0.932;0.242;1.0
