id_transcript;block_sequence
ENSCAFT00000000625_90_90;0.1.2.3.6.7.8.15.16.17.18.19.20.22.23.27
ENST00000367378_90_90;0.1.2.3.4.7.8.9.16.17.18.19.20.22.23.24
ENST00000367380_90_90;0.1.2.3.4.16.17.18.19.20.22.23.24
ENST00000367384_90_90;0.1.2.3.4.7.8.9.16.17.18.19.20.22.25.27
ENST00000460828_90_90;0.1.2.3.4.7.8.9.10
ENST00000464889_90_90;0.1.2.3.4.7.8.9.16.17.18.19.20.22.23.24
ENST00000484601_90_90;0.1.2.3.4.7.8.9.12.13
ENST00000486585_90_90;3.4.5
ENST00000494411_90_90;0.1.2.3.4.7.8.9.14
ENST00000495487_90_90;8.9.16.17.18.19
ENST00000544496_90_90;0.1.2.3.4.7.8.9.16.19.20.22.23.24
ENSMUST00000159917_90_90;0.1.2.3.6.7.8.11.16.17.18.19.20.22.23.24
ENSMUST00000159977_90_90;8.11.12
ENSMUST00000161123_90_90;1.2.3.6.7.8.11.12.13
ENSMUST00000161428_90_90;7.8.11.16.17.18.19.20.21
ENSMUST00000162606_90_90;0.1.2.3.6.7.8.11.16.17.18.19.20.22.26.27
ENSMUST00000162682_90_90;8.11.16.17
ENSMUST00000163085_90_90;2.3.6.7.8.11.16.17.18.19.20.22.23.24
