;ENSCAFT00000003676_90_90;ENST00000242066_90_90;ENST00000399357_90_90;ENST00000403527_90_90;ENST00000403685_90_90;ENST00000405192_90_90;ENST00000405218_90_90;ENST00000405358_90_90;ENST00000420159_90_90;ENST00000421381_90_90;ENST00000430479_90_90;ENST00000431887_90_90;ENST00000433547_90_90;ENST00000438956_90_90;ENST00000443137_90_90;ENST00000443608_90_90;ENSMUST00000095767_90_90;ENSMUST00000159334_90_90;ENSMUST00000160244_90_90;ENSMUST00000160701_90_90;ENSMUST00000160856_90_90;ENSMUST00000160996_90_90;ENSMUST00000161164_90_90;ENSMUST00000161513_90_90;ENSMUST00000161980_90_90;ENSMUST00000162563_90_90
ENSCAFT00000003676_90_90;1.0;0.842;0.6;0.7;0.842;0.789;0.895;0.727;0.65;0.389;0.895;0.278;0.111;0.6;0.8;0.368;1.0;0.789;0.889;0.684;0.944;0.5;0.111;0.381;0.737;1.0
ENST00000242066_90_90;0.842;1.0;0.632;0.737;1.0;0.833;0.944;0.762;0.778;0.333;0.944;0.222;0.118;0.722;0.75;0.316;0.842;0.65;0.737;0.55;0.889;0.529;0.118;0.333;0.684;0.842
ENST00000399357_90_90;0.6;0.632;1.0;0.875;0.632;0.579;0.684;0.619;0.812;0.167;0.684;0.118;0.0;0.75;0.524;0.571;0.6;0.765;0.5;0.867;0.55;0.211;0.0;0.19;0.706;0.6
ENST00000403527_90_90;0.7;0.737;0.875;1.0;0.737;0.684;0.789;0.714;0.938;0.211;0.789;0.105;0.0;0.875;0.619;0.5;0.7;0.882;0.6;0.765;0.65;0.316;0.0;0.286;0.824;0.7
ENST00000403685_90_90;0.842;1.0;0.632;0.737;1.0;0.833;0.944;0.762;0.778;0.333;0.944;0.222;0.118;0.722;0.75;0.316;0.842;0.65;0.737;0.55;0.889;0.529;0.118;0.333;0.684;0.842
ENST00000405192_90_90;0.789;0.833;0.579;0.684;0.833;1.0;0.889;0.714;0.632;0.438;0.889;0.312;0.125;0.579;0.7;0.333;0.789;0.6;0.882;0.5;0.737;0.562;0.125;0.421;0.55;0.789
ENST00000405218_90_90;0.895;0.944;0.684;0.789;0.944;0.889;1.0;0.81;0.737;0.389;1.0;0.278;0.111;0.684;0.8;0.368;0.895;0.7;0.789;0.6;0.842;0.5;0.111;0.381;0.65;0.895
ENST00000405358_90_90;0.727;0.762;0.619;0.714;0.762;0.714;0.81;1.0;0.667;0.286;0.81;0.19;0.048;0.619;0.652;0.333;0.727;0.636;0.636;0.545;0.682;0.381;0.048;0.476;0.591;0.727
ENST00000420159_90_90;0.65;0.778;0.812;0.938;0.778;0.632;0.737;0.667;1.0;0.158;0.737;0.053;0.0;0.933;0.571;0.438;0.65;0.824;0.55;0.706;0.684;0.333;0.0;0.238;0.875;0.65
ENST00000421381_90_90;0.389;0.333;0.167;0.211;0.333;0.438;0.389;0.286;0.158;1.0;0.389;0.714;0.286;0.167;0.389;0.25;0.389;0.211;0.438;0.167;0.333;0.6;0.286;0.5;0.158;0.389
ENST00000430479_90_90;0.895;0.944;0.684;0.789;0.944;0.889;1.0;0.81;0.737;0.389;1.0;0.278;0.111;0.684;0.8;0.368;0.895;0.7;0.789;0.6;0.842;0.5;0.111;0.381;0.65;0.895
ENST00000431887_90_90;0.278;0.222;0.118;0.105;0.222;0.312;0.278;0.19;0.053;0.714;0.278;1.0;0.4;0.056;0.278;0.182;0.278;0.105;0.312;0.118;0.222;0.4;0.4;0.333;0.053;0.278
ENST00000433547_90_90;0.111;0.118;0.0;0.0;0.118;0.125;0.111;0.048;0.0;0.286;0.111;0.4;1.0;0.0;0.111;0.0;0.111;0.0;0.125;0.0;0.118;0.222;1.0;0.083;0.0;0.111
ENST00000438956_90_90;0.6;0.722;0.75;0.875;0.722;0.579;0.684;0.619;0.933;0.167;0.684;0.056;0.0;1.0;0.6;0.467;0.6;0.765;0.5;0.647;0.632;0.353;0.0;0.25;0.812;0.6
ENST00000443137_90_90;0.8;0.75;0.524;0.619;0.75;0.7;0.8;0.652;0.571;0.389;0.8;0.278;0.111;0.6;1.0;0.368;0.8;0.619;0.7;0.524;0.75;0.5;0.111;0.381;0.571;0.8
ENST00000443608_90_90;0.368;0.316;0.571;0.5;0.316;0.333;0.368;0.333;0.438;0.25;0.368;0.182;0.0;0.467;0.368;1.0;0.368;0.5;0.333;0.571;0.316;0.308;0.0;0.267;0.438;0.368
ENSMUST00000095767_90_90;1.0;0.842;0.6;0.7;0.842;0.789;0.895;0.727;0.65;0.389;0.895;0.278;0.111;0.6;0.8;0.368;1.0;0.789;0.889;0.684;0.944;0.5;0.111;0.381;0.737;1.0
ENSMUST00000159334_90_90;0.789;0.65;0.765;0.882;0.65;0.6;0.7;0.636;0.824;0.211;0.7;0.105;0.0;0.765;0.619;0.5;0.789;1.0;0.684;0.875;0.737;0.316;0.0;0.286;0.938;0.789
ENSMUST00000160244_90_90;0.889;0.737;0.5;0.6;0.737;0.882;0.789;0.636;0.55;0.438;0.789;0.312;0.125;0.5;0.7;0.333;0.889;0.684;1.0;0.579;0.833;0.562;0.125;0.421;0.632;0.889
ENSMUST00000160701_90_90;0.684;0.55;0.867;0.765;0.55;0.5;0.6;0.545;0.706;0.167;0.6;0.118;0.0;0.647;0.524;0.571;0.684;0.875;0.579;1.0;0.632;0.211;0.0;0.19;0.812;0.684
ENSMUST00000160856_90_90;0.944;0.889;0.55;0.65;0.889;0.737;0.842;0.682;0.684;0.333;0.842;0.222;0.118;0.632;0.75;0.316;0.944;0.737;0.833;0.632;1.0;0.529;0.118;0.333;0.778;0.944
ENSMUST00000160996_90_90;0.5;0.529;0.211;0.316;0.529;0.562;0.5;0.381;0.333;0.6;0.5;0.4;0.222;0.353;0.5;0.308;0.5;0.316;0.562;0.211;0.529;1.0;0.222;0.538;0.333;0.5
ENSMUST00000161164_90_90;0.111;0.118;0.0;0.0;0.118;0.125;0.111;0.048;0.0;0.286;0.111;0.4;1.0;0.0;0.111;0.0;0.111;0.0;0.125;0.0;0.118;0.222;1.0;0.083;0.0;0.111
ENSMUST00000161513_90_90;0.381;0.333;0.19;0.286;0.333;0.421;0.381;0.476;0.238;0.5;0.381;0.333;0.083;0.25;0.381;0.267;0.381;0.286;0.421;0.19;0.333;0.538;0.083;1.0;0.238;0.381
ENSMUST00000161980_90_90;0.737;0.684;0.706;0.824;0.684;0.55;0.65;0.591;0.875;0.158;0.65;0.053;0.0;0.812;0.571;0.438;0.737;0.938;0.632;0.812;0.778;0.333;0.0;0.238;1.0;0.737
ENSMUST00000162563_90_90;1.0;0.842;0.6;0.7;0.842;0.789;0.895;0.727;0.65;0.389;0.895;0.278;0.111;0.6;0.8;0.368;1.0;0.789;0.889;0.684;0.944;0.5;0.111;0.381;0.737;1.0
