;transcript7_MGP-CAROLIEiJ-G0020234;transcript7_ENSMUGG00000013649;transcript7_ENSMUGG00000013592;transcript7_ENSCGRG00015005362;transcript7_ENSCGRG00000018457;transcript7_ENSPEMG00000024651;transcript57_MGP-CAROLIEiJ-G0020234;transcript58_MGP-CAROLIEiJ-G0020234;transcript59_MGP-CAROLIEiJ-G0020234;transcript28_ENSMUGG00000013649;transcript42_ENSMUGG00000013649;transcript42_ENSMUGG00000013592;transcript52_ENSMUGG00000013592;transcript52_ENSCGRG00015005362;transcript53_ENSCGRG00015005362;transcript54_ENSCGRG00015005362;transcript55_ENSCGRG00015005362
transcript7_MGP-CAROLIEiJ-G0020234;1.0;0.753;0.706;0.961;0.961;0.961;0.919;0.88;0.919;0.356;0.361;0.391;0.414;0.38;0.368;0.363;0.386
transcript7_ENSMUGG00000013649;0.753;1.0;0.947;0.788;0.788;0.788;0.686;0.728;0.686;0.371;0.376;0.408;0.431;0.396;0.384;0.378;0.402
transcript7_ENSMUGG00000013592;0.706;0.947;1.0;0.741;0.741;0.741;0.64;0.685;0.64;0.351;0.356;0.393;0.416;0.375;0.362;0.358;0.381
transcript7_ENSCGRG00015005362;0.961;0.788;0.741;1.0;1.0;1.0;0.883;0.849;0.883;0.371;0.376;0.408;0.431;0.396;0.384;0.378;0.402
transcript7_ENSCGRG00000018457;0.961;0.788;0.741;1.0;1.0;1.0;0.883;0.849;0.883;0.371;0.376;0.408;0.431;0.396;0.384;0.378;0.402
transcript7_ENSPEMG00000024651;0.961;0.788;0.741;1.0;1.0;1.0;0.883;0.849;0.883;0.371;0.376;0.408;0.431;0.396;0.384;0.378;0.402
transcript57_MGP-CAROLIEiJ-G0020234;0.919;0.686;0.64;0.883;0.883;0.883;1.0;0.831;1.0;0.337;0.342;0.37;0.391;0.359;0.346;0.343;0.365
transcript58_MGP-CAROLIEiJ-G0020234;0.88;0.728;0.685;0.849;0.849;0.849;0.831;1.0;0.831;0.398;0.404;0.438;0.463;0.425;0.414;0.406;0.432
transcript59_MGP-CAROLIEiJ-G0020234;0.919;0.686;0.64;0.883;0.883;0.883;1.0;0.831;1.0;0.337;0.342;0.37;0.391;0.359;0.346;0.343;0.365
transcript28_ENSMUGG00000013649;0.356;0.371;0.351;0.371;0.371;0.371;0.337;0.398;0.337;1.0;0.985;0.874;0.844;0.937;0.869;0.98;0.922
transcript42_ENSMUGG00000013649;0.361;0.376;0.356;0.376;0.376;0.376;0.342;0.404;0.342;0.985;1.0;0.887;0.856;0.941;0.854;0.966;0.926
transcript42_ENSMUGG00000013592;0.391;0.408;0.393;0.408;0.408;0.408;0.37;0.438;0.37;0.874;0.887;1.0;0.945;0.856;0.779;0.864;0.824
transcript52_ENSMUGG00000013592;0.414;0.431;0.416;0.431;0.431;0.431;0.391;0.463;0.391;0.844;0.856;0.945;1.0;0.881;0.81;0.861;0.819
transcript52_ENSCGRG00015005362;0.38;0.396;0.375;0.396;0.396;0.396;0.359;0.425;0.359;0.937;0.941;0.856;0.881;1.0;0.898;0.955;0.915
transcript53_ENSCGRG00015005362;0.368;0.384;0.362;0.384;0.384;0.384;0.346;0.414;0.346;0.869;0.854;0.779;0.81;0.898;1.0;0.886;0.827
transcript54_ENSCGRG00015005362;0.363;0.378;0.358;0.378;0.378;0.378;0.343;0.406;0.343;0.98;0.966;0.864;0.861;0.955;0.886;1.0;0.94
transcript55_ENSCGRG00015005362;0.386;0.402;0.381;0.402;0.402;0.402;0.365;0.432;0.365;0.922;0.926;0.824;0.819;0.915;0.827;0.94;1.0
