;ENSCAFT00000011926_90_90;ENST00000419482_90_90;ENST00000438570_90_90;ENST00000444564_90_90;ENSMUST00000074301_90_90;ENSMUST00000114186_90_90;ENSMUST00000114188_90_90;ENSMUST00000129630_90_90;ENSMUST00000173297_90_90;ENSMUST00000173730_90_90
ENSCAFT00000011926_90_90;1.0;1.0;0.333;0.889;0.889;0.778;0.778;0.222;0.0;0.222
ENST00000419482_90_90;1.0;1.0;0.3;0.889;0.889;0.778;0.778;0.222;0.0;0.222
ENST00000438570_90_90;0.333;0.3;1.0;0.333;0.222;0.25;0.111;0.667;0.0;0.0
ENST00000444564_90_90;0.889;0.889;0.333;1.0;0.778;0.875;0.667;0.25;0.0;0.25
ENSMUST00000074301_90_90;0.889;0.889;0.222;0.778;1.0;0.889;0.8;0.091;0.0;0.222
ENSMUST00000114186_90_90;0.778;0.778;0.25;0.875;0.889;1.0;0.7;0.1;0.0;0.25
ENSMUST00000114188_90_90;0.778;0.778;0.111;0.667;0.8;0.7;1.0;0.0;0.1;0.222
ENSMUST00000129630_90_90;0.222;0.222;0.667;0.25;0.091;0.1;0.0;1.0;0.0;0.0
ENSMUST00000173297_90_90;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;1.0;0.0
ENSMUST00000173730_90_90;0.222;0.222;0.0;0.25;0.222;0.25;0.222;0.0;0.0;1.0
