;transcript16_ggor;transcript17_ggor;transcript11_ggor;transcript18_ggor;transcript12_ppan;transcript19_ppan;transcript20_ppan;transcript12_ptro;transcript12_hsap;transcript19_hsap;transcript20_hsap;transcript12_ggor;transcript19_ggor;transcript8_pabe;transcript18_hsap;transcript21_hsap
transcript16_ggor;1.0;1.0;0.598;0.575;0.517;0.508;0.532;0.516;0.51;0.501;0.505;0.528;0.517;0.923;0.533;0.93
transcript17_ggor;1.0;1.0;0.598;0.575;0.517;0.508;0.532;0.516;0.51;0.501;0.505;0.528;0.517;0.923;0.533;0.93
transcript11_ggor;0.598;0.598;1.0;0.964;0.424;0.413;0.389;0.424;0.416;0.405;0.357;0.436;0.423;0.594;0.885;0.6
transcript18_ggor;0.575;0.575;0.964;1.0;0.397;0.386;0.362;0.397;0.389;0.379;0.331;0.409;0.396;0.573;0.917;0.578
transcript12_ppan;0.517;0.517;0.424;0.397;1.0;0.984;0.948;0.999;0.984;0.969;0.898;0.969;0.961;0.543;0.376;0.551
transcript19_ppan;0.508;0.508;0.413;0.386;0.984;1.0;0.933;0.983;0.969;0.984;0.882;0.953;0.976;0.534;0.365;0.542
transcript20_ppan;0.532;0.532;0.389;0.362;0.948;0.933;1.0;0.947;0.933;0.917;0.946;0.917;0.909;0.515;0.341;0.522
transcript12_ptro;0.516;0.516;0.424;0.397;0.999;0.983;0.947;1.0;0.983;0.967;0.896;0.967;0.959;0.542;0.376;0.55
transcript12_hsap;0.51;0.51;0.416;0.389;0.984;0.969;0.933;0.983;1.0;0.984;0.913;0.953;0.945;0.536;0.383;0.558
transcript19_hsap;0.501;0.501;0.405;0.379;0.969;0.984;0.917;0.967;0.984;1.0;0.897;0.938;0.96;0.528;0.373;0.549
transcript20_hsap;0.505;0.505;0.357;0.331;0.898;0.882;0.946;0.896;0.913;0.897;1.0;0.867;0.859;0.489;0.357;0.509
transcript12_ggor;0.528;0.528;0.436;0.409;0.969;0.953;0.917;0.967;0.953;0.938;0.867;1.0;0.976;0.528;0.365;0.535
transcript19_ggor;0.517;0.517;0.423;0.396;0.961;0.976;0.909;0.959;0.945;0.96;0.859;0.976;1.0;0.524;0.353;0.531
transcript8_pabe;0.923;0.923;0.594;0.573;0.543;0.534;0.515;0.542;0.536;0.528;0.489;0.528;0.524;1.0;0.562;0.966
transcript18_hsap;0.533;0.533;0.885;0.917;0.376;0.365;0.341;0.376;0.383;0.373;0.357;0.365;0.353;0.562;1.0;0.584
transcript21_hsap;0.93;0.93;0.6;0.578;0.551;0.542;0.522;0.55;0.558;0.549;0.509;0.535;0.531;0.966;0.584;1.0
