;ENSCAFT00000000309_90_90;ENSCAFT00000019817_90_90;ENSCAFT00000022132_90_90;ENST00000257414_90_90;ENST00000343348_90_90;ENST00000503865_90_90;ENST00000509665_90_90;ENST00000510263_90_90;ENST00000513137_90_90;ENST00000515009_90_90;ENST00000515129_90_90;ENST00000316364_90_90;ENST00000354744_90_90;ENST00000355997_90_90;ENST00000358066_90_90;ENST00000389425_90_90;ENST00000389428_90_90;ENST00000536845_90_90;ENST00000558014_90_90;ENST00000558816_90_90;ENST00000559064_90_90;ENST00000559184_90_90;ENST00000559196_90_90;ENST00000560006_90_90;ENST00000560636_90_90;ENST00000561133_90_90;ENST00000341697_90_90;ENST00000368912_90_90;ENST00000368913_90_90;ENST00000368914_90_90;ENST00000613223_90_90;ENST00000621728_90_90;ENSMUST00000019791_90_90;ENSMUST00000076043_90_90;ENSMUST00000115449_90_90;ENSMUST00000123228_90_90;ENSMUST00000126684_90_90;ENSMUST00000135790_90_90;ENSMUST00000156422_90_90;ENSMUST00000051419_90_90;ENSMUST00000076335_90_90;ENSMUST00000077847_90_90;ENSMUST00000078621_90_90;ENSMUST00000103238_90_90;ENSMUST00000103239_90_90;ENSMUST00000103240_90_90;ENSMUST00000103241_90_90;ENSMUST00000090821_90_90;ENSMUST00000090823_90_90;ENSMUST00000107217_90_90;ENSMUST00000131620_90_90;ENSMUST00000131742_90_90;ENSMUST00000142449_90_90;ENSMUST00000168321_90_90;ENSMUST00000202315_90_90;ENSMUST00000204709_90_90
ENSCAFT00000000309_90_90;1.0;0.399;0.506;0.983;0.999;0.384;0.111;0.999;0.439;0.155;0.529;0.355;0.323;0.249;0.334;0.209;0.326;0.355;0.334;0.249;0.02;0.02;0.207;0.147;0.0;0.141;0.409;0.371;0.4;0.409;0.311;0.312;0.999;0.946;0.961;0.104;0.21;0.983;0.999;0.446;0.437;0.476;0.46;0.476;0.49;0.487;0.437;0.409;0.4;0.372;0.078;0.029;0.12;0.4;0.409;0.12
ENSCAFT00000019817_90_90;0.399;1.0;0.17;0.395;0.399;0.334;0.0;0.399;0.383;0.0;0.427;0.432;0.407;0.173;0.42;0.138;0.411;0.432;0.42;0.173;0.019;0.0;0.126;0.135;0.0;0.086;0.964;0.955;0.997;0.964;0.417;0.417;0.399;0.365;0.389;0.097;0.0;0.394;0.399;0.531;0.523;0.555;0.541;0.555;0.564;0.561;0.523;0.96;0.993;0.952;0.082;0.03;0.122;0.993;0.96;0.122
ENSCAFT00000022132_90_90;0.506;0.17;1.0;0.517;0.505;0.061;0.103;0.505;0.102;0.145;0.163;0.342;0.354;0.466;0.353;0.418;0.346;0.342;0.353;0.466;0.041;0.019;0.196;0.035;0.0;0.133;0.173;0.148;0.17;0.173;0.225;0.225;0.505;0.468;0.488;0.095;0.197;0.517;0.505;0.343;0.345;0.333;0.339;0.333;0.329;0.33;0.345;0.174;0.171;0.148;0.074;0.027;0.114;0.171;0.174;0.114
ENST00000257414_90_90;0.983;0.395;0.517;1.0;0.984;0.377;0.109;0.984;0.432;0.152;0.52;0.366;0.334;0.262;0.345;0.222;0.337;0.366;0.345;0.262;0.019;0.02;0.204;0.144;0.0;0.139;0.404;0.367;0.395;0.404;0.307;0.307;0.982;0.93;0.944;0.101;0.207;0.998;0.982;0.458;0.449;0.488;0.472;0.488;0.501;0.499;0.449;0.404;0.395;0.367;0.076;0.028;0.118;0.395;0.404;0.118
ENST00000343348_90_90;0.999;0.399;0.505;0.984;1.0;0.383;0.111;1.0;0.439;0.155;0.529;0.355;0.323;0.249;0.334;0.209;0.326;0.355;0.334;0.249;0.02;0.02;0.207;0.147;0.0;0.141;0.409;0.371;0.4;0.409;0.311;0.312;0.998;0.946;0.96;0.103;0.21;0.982;0.998;0.446;0.437;0.476;0.46;0.476;0.489;0.487;0.437;0.409;0.4;0.372;0.078;0.029;0.12;0.4;0.409;0.12
ENST00000503865_90_90;0.384;0.334;0.061;0.377;0.383;1.0;0.0;0.383;0.853;0.0;0.718;0.206;0.165;0.025;0.163;0.0;0.164;0.206;0.163;0.025;0.009;0.0;0.0;0.304;0.0;0.0;0.345;0.348;0.334;0.345;0.183;0.184;0.383;0.404;0.393;0.001;0.0;0.377;0.383;0.287;0.276;0.326;0.305;0.326;0.343;0.339;0.276;0.344;0.334;0.347;0.0;0.0;0.0;0.334;0.344;0.0
ENST00000509665_90_90;0.111;0.0;0.103;0.109;0.111;0.0;1.0;0.111;0.0;0.714;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.111;0.117;0.113;0.0;0.527;0.109;0.111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000510263_90_90;0.999;0.399;0.505;0.984;1.0;0.383;0.111;1.0;0.439;0.155;0.529;0.355;0.323;0.249;0.334;0.209;0.326;0.355;0.334;0.249;0.02;0.02;0.207;0.147;0.0;0.141;0.409;0.371;0.4;0.409;0.311;0.312;0.998;0.946;0.96;0.103;0.21;0.982;0.998;0.446;0.437;0.476;0.46;0.476;0.489;0.487;0.437;0.409;0.4;0.372;0.078;0.029;0.12;0.4;0.409;0.12
ENST00000513137_90_90;0.439;0.383;0.102;0.432;0.439;0.853;0.0;0.439;1.0;0.0;0.661;0.238;0.198;0.069;0.21;0.0;0.199;0.238;0.21;0.069;0.043;0.0;0.0;0.316;0.0;0.0;0.395;0.344;0.383;0.395;0.246;0.247;0.438;0.385;0.454;0.107;0.0;0.431;0.438;0.339;0.327;0.377;0.356;0.377;0.395;0.391;0.327;0.395;0.383;0.344;0.0;0.0;0.0;0.383;0.395;0.0
ENST00000515009_90_90;0.155;0.0;0.145;0.152;0.155;0.0;0.714;0.155;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.155;0.164;0.159;0.0;0.738;0.152;0.155;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
