;ENSCAFT00000014422_90_90;ENSCAFT00000021670_90_90;ENST00000265969_90_90;ENST00000379472_90_90;ENST00000638366_90_90;ENST00000638825_90_90;ENST00000639325_90_90;ENST00000639495_90_90;ENST00000640318_90_90;ENST00000640461_90_90;ENST00000640909_90_90;ENST00000302127_90_90;ENST00000315987_90_90;ENST00000369697_90_90;ENSMUST00000079169_90_90;ENSMUST00000098761_90_90;ENSMUST00000118360_90_90;ENSMUST00000025202_90_90;ENSMUST00000160433_90_90
ENSCAFT00000014422_90_90;1.0;1.0;0.992;0.881;0.165;0.1;0.129;0.3;0.78;0.067;0.52;0.879;0.931;0.879;0.935;0.883;0.935;0.861;1.0
ENSCAFT00000021670_90_90;1.0;1.0;0.821;0.863;0.216;0.045;0.19;0.345;0.657;0.105;0.445;0.919;1.0;0.919;1.0;0.919;1.0;0.863;0.821
ENST00000265969_90_90;0.992;0.821;1.0;0.838;0.164;0.118;0.127;0.289;0.729;0.071;0.542;0.741;0.788;0.741;0.79;0.743;0.79;0.863;0.993
ENST00000379472_90_90;0.881;0.863;0.838;1.0;0.164;0.034;0.139;0.32;0.661;0.079;0.394;0.78;0.863;0.78;0.863;0.78;0.863;1.0;0.857
ENST00000638366_90_90;0.165;0.216;0.164;0.164;1.0;0.16;0.476;0.38;0.191;0.276;0.29;0.156;0.214;0.156;0.214;0.156;0.214;0.167;0.171
ENST00000638825_90_90;0.1;0.045;0.118;0.034;0.16;1.0;0.108;0.073;0.139;0.142;0.218;0.0;0.045;0.0;0.045;0.0;0.045;0.035;0.111
ENST00000639325_90_90;0.129;0.19;0.127;0.139;0.476;0.108;1.0;0.486;0.243;0.586;0.218;0.13;0.19;0.13;0.19;0.13;0.19;0.148;0.138
ENST00000639495_90_90;0.3;0.345;0.289;0.32;0.38;0.073;0.486;1.0;0.411;0.349;0.51;0.288;0.345;0.288;0.345;0.288;0.345;0.336;0.309
ENST00000640318_90_90;0.78;0.657;0.729;0.661;0.191;0.139;0.243;0.411;1.0;0.144;0.544;0.587;0.636;0.587;0.637;0.588;0.637;0.718;0.787
ENST00000640461_90_90;0.067;0.105;0.071;0.079;0.276;0.142;0.586;0.349;0.144;1.0;0.124;0.043;0.105;0.043;0.105;0.043;0.105;0.083;0.077
ENST00000640909_90_90;0.52;0.445;0.542;0.394;0.29;0.218;0.218;0.51;0.544;0.124;1.0;0.375;0.429;0.375;0.43;0.376;0.43;0.405;0.525
ENST00000302127_90_90;0.879;0.919;0.741;0.78;0.156;0.0;0.13;0.288;0.587;0.043;0.375;1.0;0.919;1.0;0.919;1.0;0.919;0.78;0.738
ENST00000315987_90_90;0.931;1.0;0.788;0.863;0.214;0.045;0.19;0.345;0.636;0.105;0.429;0.919;1.0;0.919;1.0;0.919;1.0;0.863;0.784
ENST00000369697_90_90;0.879;0.919;0.741;0.78;0.156;0.0;0.13;0.288;0.587;0.043;0.375;1.0;0.919;1.0;0.919;1.0;0.919;0.78;0.738
ENSMUST00000079169_90_90;0.935;1.0;0.79;0.863;0.214;0.045;0.19;0.345;0.637;0.105;0.43;0.919;1.0;0.919;1.0;0.919;1.0;0.863;0.786
ENSMUST00000098761_90_90;0.883;0.919;0.743;0.78;0.156;0.0;0.13;0.288;0.588;0.043;0.376;1.0;0.919;1.0;0.919;1.0;0.919;0.78;0.74
ENSMUST00000118360_90_90;0.935;1.0;0.79;0.863;0.214;0.045;0.19;0.345;0.637;0.105;0.43;0.919;1.0;0.919;1.0;0.919;1.0;0.863;0.786
ENSMUST00000025202_90_90;0.861;0.863;0.863;1.0;0.167;0.035;0.148;0.336;0.718;0.083;0.405;0.78;0.863;0.78;0.863;0.78;0.863;1.0;0.838
ENSMUST00000160433_90_90;1.0;0.821;0.993;0.857;0.171;0.111;0.138;0.309;0.787;0.077;0.525;0.738;0.784;0.738;0.786;0.74;0.786;0.838;1.0
