;ENSCAFT00000025386_90_90;ENST00000389900_90_90;ENST00000389902_90_90;ENST00000411812_90_90;ENST00000416985_90_90;ENST00000425013_90_90;ENSMUST00000053498_90_90;ENSMUST00000197296_90_90;ENSMUST00000200430_90_90;ENSMUST00000200607_90_90
ENSCAFT00000025386_90_90;1.0;0.432;0.974;0.087;0.036;0.869;0.875;0.225;0.127;1.0
ENST00000389900_90_90;0.432;1.0;0.448;0.094;0.066;0.504;0.471;0.317;0.146;0.403
ENST00000389902_90_90;0.974;0.448;1.0;0.055;0.035;0.897;0.844;0.193;0.133;0.968
ENST00000411812_90_90;0.087;0.094;0.055;1.0;0.326;0.062;0.129;0.419;0.434;0.106
ENST00000416985_90_90;0.036;0.066;0.035;0.326;1.0;0.04;0.05;0.228;0.331;0.042
ENST00000425013_90_90;0.869;0.504;0.897;0.062;0.04;1.0;0.961;0.181;0.16;0.844
ENSMUST00000053498_90_90;0.875;0.471;0.844;0.129;0.05;0.961;1.0;0.217;0.151;0.875
ENSMUST00000197296_90_90;0.225;0.317;0.193;0.419;0.228;0.181;0.217;1.0;0.248;0.225
ENSMUST00000200430_90_90;0.127;0.146;0.133;0.434;0.331;0.16;0.151;0.248;1.0;0.127
ENSMUST00000200607_90_90;1.0;0.403;0.968;0.106;0.042;0.844;0.875;0.225;0.127;1.0
