;transcript6_ENSPCIG00000036398;transcript7_ENSMUNG00000007775;transcript19_ENSMUNG00000007775;transcript22_ENSMUNG00000007775;transcript23_ENSMUNG00000007775;transcript7_ENSMUNG00000002377;transcript19_ENSMUNG00000002377;transcript27_ENSMUNG00000002377;transcript28_ENSMUNG00000002377;transcript7_ENSMUNG00000002391;transcript3_ENSPNYG00000024266;transcript3_ENSXMAG00000026005
transcript6_ENSPCIG00000036398;1.0;0.457;0.616;0.457;0.616;0.457;0.616;0.616;0.616;0.457;0.679;0.679
transcript7_ENSMUNG00000007775;0.457;1.0;0.811;1.0;0.811;1.0;0.811;0.811;0.811;1.0;0.603;0.603
transcript19_ENSMUNG00000007775;0.616;0.811;1.0;0.811;1.0;0.811;1.0;1.0;1.0;0.811;0.745;0.745
transcript22_ENSMUNG00000007775;0.457;1.0;0.811;1.0;0.811;1.0;0.811;0.811;0.811;1.0;0.603;0.603
transcript23_ENSMUNG00000007775;0.616;0.811;1.0;0.811;1.0;0.811;1.0;1.0;1.0;0.811;0.745;0.745
transcript7_ENSMUNG00000002377;0.457;1.0;0.811;1.0;0.811;1.0;0.811;0.811;0.811;1.0;0.603;0.603
transcript19_ENSMUNG00000002377;0.616;0.811;1.0;0.811;1.0;0.811;1.0;1.0;1.0;0.811;0.745;0.745
transcript27_ENSMUNG00000002377;0.616;0.811;1.0;0.811;1.0;0.811;1.0;1.0;1.0;0.811;0.745;0.745
transcript28_ENSMUNG00000002377;0.616;0.811;1.0;0.811;1.0;0.811;1.0;1.0;1.0;0.811;0.745;0.745
transcript7_ENSMUNG00000002391;0.457;1.0;0.811;1.0;0.811;1.0;0.811;0.811;0.811;1.0;0.603;0.603
transcript3_ENSPNYG00000024266;0.679;0.603;0.745;0.603;0.745;0.603;0.745;0.745;0.745;0.603;1.0;1.0
transcript3_ENSXMAG00000026005;0.679;0.603;0.745;0.603;0.745;0.603;0.745;0.745;0.745;0.603;1.0;1.0
