;transcript7_ENSMPUG00000020072;transcript7_ENSSTOG00000019743;transcript7_ENSCCNG00000000226;transcript7_ENSCPOG00000024843;transcript10_ENSMPUG00000020072;transcript10_ENSECAG00000007947;transcript17_ENSMPUG00000020072;transcript17_ENSECAG00000007947;transcript17_ENSSTOG00000019743;transcript17_ENSCPOG00000024843;transcript20_ENSMPUG00000020072;transcript22_ENSMPUG00000020072;transcript22_ENSMLUG00000027828;transcript23_ENSMPUG00000020072;transcript24_ENSMPUG00000020072;transcript24_ENSCCNG00000000226;transcript24_ENSCPOG00000024843;transcript25_ENSMPUG00000020072;transcript12_ENSECAG00000007947;transcript9_ENSMLUG00000027828;transcript9_ENSSTOG00000019743;transcript9_ENSCCNG00000000226;transcript9_ENSCPOG00000024843;transcript13_ENSMLUG00000027828;transcript14_ENSMLUG00000027828;transcript26_ENSSTOG00000019743;transcript26_ENSCCNG00000000226;transcript18_ENSCCNG00000000226;transcript18_ENSCPOG00000024843;transcript32_ENSCPOG00000024843;transcript33_ENSCPOG00000024843
transcript7_ENSMPUG00000020072;1.0;0.426;0.453;0.503;0.541;0.504;0.544;0.507;0.479;0.498;0.544;0.7;0.51;0.58;0.615;0.523;0.508;0.545;0.507;0.094;0.085;0.093;0.101;0.491;0.511;0.462;0.459;0.428;0.525;0.527;0.498
transcript7_ENSSTOG00000019743;0.426;1.0;0.846;0.476;0.464;0.481;0.466;0.483;0.535;0.472;0.466;0.363;0.479;0.484;0.438;0.502;0.384;0.475;0.483;0.1;0.1;0.096;0.099;0.504;0.533;0.582;0.512;0.602;0.363;0.362;0.472
transcript7_ENSCCNG00000000226;0.453;0.846;1.0;0.522;0.493;0.516;0.495;0.519;0.485;0.494;0.495;0.39;0.452;0.517;0.467;0.578;0.414;0.504;0.519;0.094;0.092;0.1;0.099;0.492;0.519;0.526;0.591;0.698;0.4;0.399;0.494
transcript7_ENSCPOG00000024843;0.503;0.476;0.522;1.0;0.509;0.533;0.509;0.533;0.501;0.53;0.509;0.547;0.499;0.525;0.556;0.557;0.593;0.491;0.533;0.093;0.083;0.093;0.102;0.502;0.508;0.542;0.483;0.422;0.691;0.684;0.53
transcript10_ENSMPUG00000020072;0.541;0.464;0.493;0.509;1.0;0.89;0.995;0.887;0.848;0.92;0.995;0.772;0.674;0.933;0.879;0.79;0.814;0.976;0.887;0.051;0.049;0.051;0.055;0.87;0.824;0.785;0.806;0.686;0.723;0.728;0.92
transcript10_ENSECAG00000007947;0.504;0.481;0.516;0.533;0.89;1.0;0.885;0.995;0.851;0.921;0.885;0.694;0.68;0.829;0.788;0.806;0.837;0.867;0.995;0.052;0.05;0.052;0.056;0.883;0.832;0.793;0.834;0.718;0.737;0.743;0.921
transcript17_ENSMPUG00000020072;0.544;0.466;0.495;0.509;0.995;0.885;1.0;0.889;0.85;0.915;1.0;0.776;0.678;0.938;0.883;0.794;0.809;0.981;0.889;0.051;0.05;0.051;0.055;0.872;0.825;0.787;0.801;0.681;0.724;0.729;0.915
transcript17_ENSECAG00000007947;0.507;0.483;0.519;0.533;0.887;0.995;0.889;1.0;0.855;0.916;0.889;0.697;0.684;0.833;0.792;0.81;0.832;0.871;1.0;0.053;0.05;0.053;0.056;0.887;0.836;0.797;0.829;0.713;0.738;0.744;0.916
transcript17_ENSSTOG00000019743;0.479;0.535;0.485;0.501;0.848;0.851;0.85;0.855;1.0;0.881;0.85;0.668;0.72;0.798;0.757;0.768;0.799;0.831;0.855;0.053;0.053;0.051;0.053;0.922;0.869;0.918;0.781;0.67;0.709;0.711;0.881
transcript17_ENSCPOG00000024843;0.498;0.472;0.494;0.53;0.92;0.921;0.915;0.916;0.881;1.0;0.915;0.71;0.689;0.858;0.808;0.815;0.894;0.897;0.916;0.05;0.047;0.05;0.054;0.912;0.863;0.81;0.832;0.705;0.768;0.775;1.0
