;ENSCAFT00000044998_90_90;ENST00000158771_90_90;ENST00000570848_90_90;ENST00000571476_90_90;ENST00000571971_90_90;ENST00000572834_90_90;ENST00000573637_90_90;ENST00000574952_90_90;ENST00000575605_90_90;ENST00000576551_90_90;ENSMUST00000018586_90_90;ENSMUST00000108523_90_90;ENSMUST00000131340_90_90;ENSMUST00000132198_90_90;ENSMUST00000143850_90_90;ENSMUST00000171041_90_90
ENSCAFT00000044998_90_90;1.0;0.924;0.633;0.394;0.8;0.366;0.188;0.188;0.518;0.407;0.244;0.676;0.394;0.278;0.714;0.502
ENST00000158771_90_90;0.924;1.0;0.586;0.414;0.739;0.405;0.173;0.173;0.456;0.379;0.244;0.508;0.418;0.285;0.538;0.395
ENST00000570848_90_90;0.633;0.586;1.0;0.487;0.811;0.525;0.206;0.206;0.415;0.622;0.239;0.357;0.529;0.349;0.345;0.177
ENST00000571476_90_90;0.394;0.414;0.487;1.0;0.397;0.523;0.213;0.213;0.089;0.773;0.46;0.24;0.573;0.583;0.231;0.033
ENST00000571971_90_90;0.8;0.739;0.811;0.397;1.0;0.427;0.178;0.178;0.474;0.51;0.204;0.508;0.429;0.289;0.491;0.34
ENST00000572834_90_90;0.366;0.405;0.525;0.523;0.427;1.0;0.331;0.331;0.066;0.526;0.455;0.304;0.321;0.453;0.292;0.075
ENST00000573637_90_90;0.188;0.173;0.206;0.213;0.178;0.331;1.0;1.0;0.0;0.231;0.217;0.104;0.071;0.203;0.1;0.0
ENST00000574952_90_90;0.188;0.173;0.206;0.213;0.178;0.331;1.0;1.0;0.0;0.231;0.217;0.104;0.071;0.203;0.1;0.0
ENST00000575605_90_90;0.518;0.456;0.415;0.089;0.474;0.066;0.0;0.0;1.0;0.166;0.0;0.344;0.215;0.049;0.377;0.524
ENST00000576551_90_90;0.407;0.379;0.622;0.773;0.51;0.526;0.231;0.231;0.166;1.0;0.321;0.3;0.511;0.505;0.288;0.093
ENSMUST00000018586_90_90;0.244;0.244;0.239;0.46;0.204;0.455;0.217;0.217;0.0;0.321;1.0;0.446;0.303;0.556;0.446;0.05
ENSMUST00000108523_90_90;0.676;0.508;0.357;0.24;0.508;0.304;0.104;0.104;0.344;0.3;0.446;1.0;0.175;0.283;0.94;0.554
ENSMUST00000131340_90_90;0.394;0.418;0.529;0.573;0.429;0.321;0.071;0.071;0.215;0.511;0.303;0.175;1.0;0.509;0.175;0.0
ENSMUST00000132198_90_90;0.278;0.285;0.349;0.583;0.289;0.453;0.203;0.203;0.049;0.505;0.556;0.283;0.509;1.0;0.283;0.0
ENSMUST00000143850_90_90;0.714;0.538;0.345;0.231;0.491;0.292;0.1;0.1;0.377;0.288;0.446;0.94;0.175;0.283;1.0;0.603
ENSMUST00000171041_90_90;0.502;0.395;0.177;0.033;0.34;0.075;0.0;0.0;0.524;0.093;0.05;0.554;0.0;0.0;0.603;1.0
