;ENSCAFT00000020388_90_90;ENSCAFT00000043901_90_90;ENST00000256953_90_90;ENST00000393736_90_90;ENST00000536465_90_90;ENST00000537647_90_90;ENST00000538313_90_90;ENST00000545567_90_90;ENST00000546331_90_90;ENSMUST00000032347_90_90;ENSMUST00000117919_90_90;ENSMUST00000119610_90_90;ENSMUST00000149100_90_90;ENSMUST00000203003_90_90
ENSCAFT00000020388_90_90;1.0;0.815;0.818;0.084;0.818;0.2;0.818;0.426;0.731;0.818;0.818;0.731;0.0;0.301
ENSCAFT00000043901_90_90;0.815;1.0;1.0;0.194;1.0;0.322;1.0;0.393;0.905;0.998;0.998;0.903;0.101;0.3
ENST00000256953_90_90;0.818;1.0;1.0;0.194;1.0;0.312;1.0;0.344;0.905;0.998;0.998;0.903;0.1;0.3
ENST00000393736_90_90;0.084;0.194;0.194;1.0;0.194;0.552;0.194;0.137;0.103;0.193;0.193;0.101;0.504;0.0
ENST00000536465_90_90;0.818;1.0;1.0;0.194;1.0;0.312;1.0;0.344;0.905;0.998;0.998;0.903;0.1;0.3
ENST00000537647_90_90;0.2;0.322;0.312;0.552;0.312;1.0;0.312;0.313;0.22;0.32;0.32;0.224;0.308;0.079
ENST00000538313_90_90;0.818;1.0;1.0;0.194;1.0;0.312;1.0;0.344;0.905;0.998;0.998;0.903;0.1;0.3
ENST00000545567_90_90;0.426;0.393;0.344;0.137;0.344;0.313;0.344;1.0;0.263;0.349;0.349;0.266;0.0;0.364
ENST00000546331_90_90;0.731;0.905;0.905;0.103;0.905;0.22;0.905;0.263;1.0;0.903;0.903;0.998;0.11;0.332
ENSMUST00000032347_90_90;0.818;0.998;0.998;0.193;0.998;0.32;0.998;0.349;0.903;1.0;1.0;0.905;0.09;0.3
ENSMUST00000117919_90_90;0.818;0.998;0.998;0.193;0.998;0.32;0.998;0.349;0.903;1.0;1.0;0.905;0.09;0.3
ENSMUST00000119610_90_90;0.731;0.903;0.903;0.101;0.903;0.224;0.903;0.266;0.998;0.905;0.905;1.0;0.098;0.331
ENSMUST00000149100_90_90;0.0;0.101;0.1;0.504;0.1;0.308;0.1;0.0;0.11;0.09;0.09;0.098;1.0;0.0
ENSMUST00000203003_90_90;0.301;0.3;0.3;0.0;0.3;0.079;0.3;0.364;0.332;0.3;0.3;0.331;0.0;1.0
