;ENSCAFT00000004512_90_90;ENST00000344157_90_90;ENST00000355665_90_90;ENST00000505251_90_90;ENST00000507529_90_90;ENST00000510746_90_90;ENST00000579690_90_90;ENSMUST00000038384_90_90;ENSMUST00000119339_90_90;ENSMUST00000120498_90_90;ENSMUST00000156363_90_90
ENSCAFT00000004512_90_90;1.0;0.961;0.922;0.078;0.079;0.035;0.988;0.585;0.547;0.587;0.831
ENST00000344157_90_90;0.961;1.0;0.965;0.071;0.095;0.031;0.953;0.655;0.615;0.657;0.826
ENST00000355665_90_90;0.922;0.965;1.0;0.074;0.099;0.033;0.92;0.612;0.643;0.615;0.868
ENST00000505251_90_90;0.078;0.071;0.074;1.0;0.0;0.419;0.067;0.116;0.127;0.116;0.106
ENST00000507529_90_90;0.079;0.095;0.099;0.0;1.0;0.0;0.091;0.0;0.0;0.0;0.0
ENST00000510746_90_90;0.035;0.031;0.033;0.419;0.0;1.0;0.03;0.054;0.059;0.054;0.047
ENST00000579690_90_90;0.988;0.953;0.92;0.067;0.091;0.03;1.0;0.653;0.614;0.656;0.824
ENSMUST00000038384_90_90;0.585;0.655;0.612;0.116;0.0;0.054;0.653;1.0;0.916;0.961;0.549
ENSMUST00000119339_90_90;0.547;0.615;0.643;0.127;0.0;0.059;0.614;0.916;1.0;0.952;0.579
ENSMUST00000120498_90_90;0.587;0.657;0.615;0.116;0.0;0.054;0.656;0.961;0.952;1.0;0.561
ENSMUST00000156363_90_90;0.831;0.826;0.868;0.106;0.0;0.047;0.824;0.549;0.579;0.561;1.0
