;ENSCAFT00000031843_90_90;ENST00000372554_90_90;ENST00000372559_90_90;ENST00000372564_90_90;ENST00000416230_90_90;ENST00000416629_90_90;ENST00000417224_90_90;ENST00000425236_90_90;ENST00000455407_90_90;ENSMUST00000028214_90_90;ENSMUST00000100215_90_90;ENSMUST00000113620_90_90;ENSMUST00000113621_90_90;ENSMUST00000163668_90_90
ENSCAFT00000031843_90_90;1.0;0.016;0.016;0.016;0.0;0.016;0.016;0.0;0.0;0.023;0.023;0.024;0.023;0.023
ENST00000372554_90_90;0.016;1.0;0.978;0.978;0.265;0.926;0.99;0.095;0.059;0.936;0.948;0.884;0.958;0.896
ENST00000372559_90_90;0.016;0.978;1.0;1.0;0.271;0.947;0.988;0.098;0.061;0.957;0.945;0.904;0.936;0.892
ENST00000372564_90_90;0.016;0.978;1.0;1.0;0.271;0.947;0.988;0.098;0.061;0.957;0.945;0.904;0.936;0.892
ENST00000416230_90_90;0.0;0.265;0.271;0.271;1.0;0.286;0.268;0.416;0.162;0.3;0.296;0.316;0.293;0.312
ENST00000416629_90_90;0.016;0.926;0.947;0.947;0.286;1.0;0.935;0.103;0.064;0.904;0.892;0.955;0.884;0.942
ENST00000417224_90_90;0.016;0.99;0.988;0.988;0.268;0.935;1.0;0.096;0.06;0.945;0.958;0.892;0.948;0.905
ENST00000425236_90_90;0.0;0.095;0.098;0.098;0.416;0.103;0.096;1.0;0.0;0.116;0.115;0.123;0.114;0.121
ENST00000455407_90_90;0.0;0.059;0.061;0.061;0.162;0.064;0.06;0.0;1.0;0.053;0.052;0.056;0.052;0.055
ENSMUST00000028214_90_90;0.023;0.936;0.957;0.957;0.3;0.904;0.945;0.116;0.053;1.0;0.988;0.947;0.978;0.935
ENSMUST00000100215_90_90;0.023;0.948;0.945;0.945;0.296;0.892;0.958;0.115;0.052;0.988;1.0;0.935;0.99;0.948
ENSMUST00000113620_90_90;0.024;0.884;0.904;0.904;0.316;0.955;0.892;0.123;0.056;0.947;0.935;1.0;0.926;0.987
ENSMUST00000113621_90_90;0.023;0.958;0.936;0.936;0.293;0.884;0.948;0.114;0.052;0.978;0.99;0.926;1.0;0.938
ENSMUST00000163668_90_90;0.023;0.896;0.892;0.892;0.312;0.942;0.905;0.121;0.055;0.935;0.948;0.987;0.938;1.0
