;ENSCAFT00000014853_90_90;ENST00000323180_90_90;ENST00000418153_90_90;ENST00000524497_90_90;ENST00000525438_90_90;ENST00000525676_90_90;ENST00000527782_90_90;ENST00000529734_90_90;ENST00000529782_90_90;ENST00000530587_90_90;ENST00000531959_90_90;ENST00000532010_90_90;ENST00000532028_90_90;ENST00000532883_90_90;ENST00000533757_90_90;ENSMUST00000044036_90_90;ENSMUST00000068702_90_90;ENSMUST00000090586_90_90;ENSMUST00000111290_90_90;ENSMUST00000111291_90_90;ENSMUST00000111292_90_90;ENSMUST00000111293_90_90;ENSMUST00000111294_90_90;ENSMUST00000111297_90_90;ENSMUST00000128781_90_90;ENSMUST00000138995_90_90;ENSMUST00000159366_90_90;ENSMUST00000159727_90_90;ENSMUST00000159961_90_90;ENSMUST00000161067_90_90;ENSMUST00000162146_90_90;ENSMUST00000162188_90_90;ENSMUST00000162497_90_90
ENSCAFT00000014853_90_90;1.0;0.863;0.882;0.451;0.157;0.098;0.098;0.314;0.157;0.118;0.431;0.039;0.196;0.294;0.216;0.885;0.827;0.981;0.942;0.885;0.827;0.981;0.942;0.885;0.077;0.115;0.519;0.135;0.673;0.192;0.327;0.173;0.058
ENST00000323180_90_90;0.863;1.0;0.927;0.545;0.17;0.093;0.113;0.434;0.264;0.111;0.527;0.057;0.167;0.217;0.245;0.782;0.811;0.873;0.836;0.782;0.811;0.873;0.925;0.868;0.102;0.143;0.472;0.143;0.545;0.224;0.236;0.204;0.082
ENST00000418153_90_90;0.882;0.927;1.0;0.545;0.17;0.093;0.113;0.434;0.264;0.111;0.527;0.057;0.189;0.217;0.245;0.815;0.778;0.907;0.87;0.815;0.778;0.907;0.855;0.8;0.102;0.143;0.472;0.12;0.604;0.2;0.236;0.204;0.082
ENST00000524497_90_90;0.451;0.545;0.545;1.0;0.281;0.0;0.188;0.719;0.438;0.0;0.969;0.094;0.0;0.333;0.406;0.444;0.462;0.482;0.5;0.444;0.462;0.482;0.491;0.491;0.172;0.241;0.706;0.091;0.226;0.0;0.455;0.345;0.138
ENST00000525438_90_90;0.157;0.17;0.17;0.281;1.0;0.0;0.667;0.391;0.045;0.0;0.29;0.333;0.0;0.45;0.692;0.184;0.191;0.167;0.173;0.184;0.191;0.167;0.17;0.18;0.556;0.778;0.226;0.0;0.0;0.0;0.474;0.9;0.444
ENST00000525676_90_90;0.098;0.093;0.093;0.0;0.0;1.0;0.0;0.0;0.0;0.444;0.0;0.0;0.455;0.0;0.0;0.102;0.106;0.093;0.096;0.102;0.106;0.093;0.094;0.1;0.0;0.0;0.0;0.0;0.139;0.143;0.0;0.0;0.0
ENST00000527782_90_90;0.098;0.113;0.113;0.188;0.667;0.0;1.0;0.261;0.0;0.0;0.194;0.5;0.0;0.3;0.462;0.122;0.128;0.111;0.115;0.122;0.128;0.111;0.113;0.12;0.833;0.857;0.129;0.0;0.0;0.0;0.316;0.6;0.667
ENST00000529734_90_90;0.314;0.434;0.434;0.719;0.391;0.0;0.261;1.0;0.609;0.0;0.742;0.13;0.0;0.433;0.565;0.408;0.426;0.37;0.385;0.408;0.426;0.37;0.377;0.4;0.25;0.35;0.581;0.0;0.167;0.0;0.5;0.5;0.2
ENST00000529782_90_90;0.157;0.264;0.264;0.438;0.045;0.0;0.0;0.609;1.0;0.0;0.452;0.0;0.0;0.172;0.227;0.224;0.234;0.204;0.212;0.224;0.234;0.204;0.208;0.22;0.0;0.0;0.379;0.0;0.175;0.0;0.2;0.105;0.0
ENST00000530587_90_90;0.118;0.111;0.111;0.0;0.0;0.444;0.0;0.0;0.0;1.0;0.0;0.0;0.417;0.0;0.0;0.122;0.128;0.111;0.115;0.122;0.128;0.111;0.113;0.12;0.0;0.0;0.0;0.0;0.167;0.308;0.0;0.0;0.0
