;transcript8_ENSMPUG00000020072;transcript8_ENSECAG00000007947;transcript6_ENSMPUG00000020072;transcript13_ENSMPUG00000020072;transcript10_ENSMPUG00000020072;transcript6_ENSECAG00000007947;transcript17_ENSECAG00000007947;transcript4_ENSECAG00000007947;transcript7_ENSECAG00000007947;transcript21_ENSECAG00000007947;transcript14_ENSECAG00000007947;transcript18_ENSECAG00000007947;transcript19_ENSECAG00000007947;transcript16_ENSECAG00000007947;transcript15_ENSECAG00000007947;transcript20_ENSECAG00000007947
transcript8_ENSMPUG00000020072;1.0;1.0;0.601;0.596;0.511;0.601;0.601;0.607;0.581;0.581;0.453;0.453;0.453;0.511;0.505;0.495
transcript8_ENSECAG00000007947;1.0;1.0;0.601;0.596;0.511;0.599;0.599;0.602;0.576;0.576;0.448;0.448;0.448;0.504;0.501;0.487
transcript6_ENSMPUG00000020072;0.601;0.601;1.0;0.994;0.882;1.0;1.0;0.994;0.952;0.952;0.685;0.685;0.685;0.882;0.876;0.866
transcript13_ENSMPUG00000020072;0.596;0.596;0.994;1.0;0.876;0.994;0.994;0.989;0.946;0.946;0.689;0.689;0.689;0.876;0.871;0.86
transcript10_ENSMPUG00000020072;0.511;0.511;0.882;0.876;1.0;0.882;0.882;0.887;0.93;0.93;0.591;0.591;0.591;1.0;0.994;0.844
transcript6_ENSECAG00000007947;0.601;0.599;1.0;0.994;0.882;1.0;1.0;0.997;0.954;0.954;0.692;0.692;0.692;0.883;0.88;0.865
transcript17_ENSECAG00000007947;0.601;0.599;1.0;0.994;0.882;1.0;1.0;0.997;0.954;0.954;0.692;0.692;0.692;0.883;0.88;0.865
transcript4_ENSECAG00000007947;0.607;0.602;0.994;0.989;0.887;0.997;0.997;1.0;0.957;0.957;0.695;0.695;0.695;0.885;0.883;0.868
transcript7_ENSECAG00000007947;0.581;0.576;0.952;0.946;0.93;0.954;0.954;0.957;1.0;1.0;0.665;0.665;0.665;0.928;0.926;0.911
transcript21_ENSECAG00000007947;0.581;0.576;0.952;0.946;0.93;0.954;0.954;0.957;1.0;1.0;0.665;0.665;0.665;0.928;0.926;0.911
transcript14_ENSECAG00000007947;0.453;0.448;0.685;0.689;0.591;0.692;0.692;0.695;0.665;0.665;1.0;1.0;1.0;0.593;0.59;0.576
transcript18_ENSECAG00000007947;0.453;0.448;0.685;0.689;0.591;0.692;0.692;0.695;0.665;0.665;1.0;1.0;1.0;0.593;0.59;0.576
transcript19_ENSECAG00000007947;0.453;0.448;0.685;0.689;0.591;0.692;0.692;0.695;0.665;0.665;1.0;1.0;1.0;0.593;0.59;0.576
transcript16_ENSECAG00000007947;0.511;0.504;0.882;0.876;1.0;0.883;0.883;0.885;0.928;0.928;0.593;0.593;0.593;1.0;0.997;0.84
transcript15_ENSECAG00000007947;0.505;0.501;0.876;0.871;0.994;0.88;0.88;0.883;0.926;0.926;0.59;0.59;0.59;0.997;1.0;0.837
transcript20_ENSECAG00000007947;0.495;0.487;0.866;0.86;0.844;0.865;0.865;0.868;0.911;0.911;0.576;0.576;0.576;0.84;0.837;1.0
